id|nct_id|result_group_id|ctgov_group_code|units|scope|count
12259739|NCT00924326|59481847|BG000|Participants|overall|8
12259740|NCT00924326|59481848|BG001|Participants|overall|2
12259741|NCT00924326|59481849|BG002|Participants|overall|5
12259742|NCT00924326|59481850|BG003|Participants|overall|6
12259743|NCT00924326|59481851|BG004|Participants|overall|7
12259744|NCT00924326|59481852|BG005|Participants|overall|10
12259745|NCT00924326|59481853|BG006|Participants|overall|1
12259746|NCT00924326|59481854|BG007|Participants|overall|2
12259747|NCT00924326|59481855|BG008|Participants|overall|2
12259748|NCT00924326|59481856|BG009|Participants|overall|43
12261617|NCT03289455|59489142|BG000|Participants|overall|4
12261618|NCT03289455|59489143|BG001|Participants|overall|5
12261619|NCT03289455|59489144|BG002|Participants|overall|6
12261620|NCT03289455|59489145|BG003|Participants|overall|15
12228316|NCT04160195|59359958|BG000|Participants|overall|2
12228317|NCT04160195|59359959|BG001|Participants|overall|0
12228318|NCT04160195|59359960|BG002|Participants|overall|2
12297390|NCT01454596|59629717|BG000|Participants|overall|1
12297391|NCT01454596|59629718|BG001|Participants|overall|1
12297392|NCT01454596|59629719|BG002|Participants|overall|1
12297393|NCT01454596|59629720|BG003|Participants|overall|1
12297394|NCT01454596|59629721|BG004|Participants|overall|1
12297395|NCT01454596|59629722|BG005|Participants|overall|1
12297396|NCT01454596|59629723|BG006|Participants|overall|1
12297397|NCT01454596|59629724|BG007|Participants|overall|3
12297398|NCT01454596|59629725|BG008|Participants|overall|3
12297399|NCT01454596|59629726|BG009|Participants|overall|3
12297400|NCT01454596|59629727|BG010|Participants|overall|1
12297401|NCT01454596|59629728|BG011|Participants|overall|1
12297402|NCT01454596|59629729|BG012|Participants|overall|18
12297501|NCT02215967|59630137|BG000|Participants|overall|3
12297502|NCT02215967|59630138|BG001|Participants|overall|3
12297503|NCT02215967|59630139|BG002|Participants|overall|5
12297504|NCT02215967|59630140|BG003|Participants|overall|19
12297505|NCT02215967|59630141|BG004|Participants|overall|30
12130311|NCT01460901|58983651|BG000|Participants|overall|5
12266412|NCT04097301|59508040|BG000|Participants|overall|8
12169232|NCT03602612|59131548|BG000|Participants|overall|6
12169233|NCT03602612|59131549|BG001|Participants|overall|3
12169234|NCT03602612|59131550|BG002|Participants|overall|2
12169235|NCT03602612|59131551|BG003|Participants|overall|3
12169236|NCT03602612|59131552|BG004|Participants|overall|3
12169237|NCT03602612|59131553|BG005|Participants|overall|8
12169238|NCT03602612|59131554|BG006|Participants|overall|1
12169239|NCT03602612|59131555|BG007|Participants|overall|8
12169240|NCT03602612|59131556|BG008|Participants|overall|1
12169241|NCT03602612|59131557|BG009|Participants|overall|35
12135181|NCT03049449|59002666|BG000|Participants|overall|3
12135182|NCT03049449|59002667|BG001|Participants|overall|3
12135183|NCT03049449|59002668|BG002|Participants|overall|7
12135184|NCT03049449|59002669|BG003|Participants|overall|5
12135185|NCT03049449|59002670|BG004|Participants|overall|3
12135186|NCT03049449|59002671|BG005|Participants|overall|1
12135187|NCT03049449|59002672|BG006|Participants|overall|1
12135188|NCT03049449|59002673|BG007|Participants|overall|1
12135189|NCT03049449|59002674|BG008|Participants|overall|24
12198527|NCT03330834|59242898|BG000|Participants|overall|1
12137175|NCT01583686|59010238|BG000|Participants|overall|3
12137176|NCT01583686|59010239|BG001|Participants|overall|3
12137177|NCT01583686|59010240|BG002|Participants|overall|3
12137178|NCT01583686|59010241|BG003|Participants|overall|3
12137179|NCT01583686|59010242|BG004|Participants|overall|3
12137180|NCT01583686|59010243|BG005|Participants|overall|15
12268156|NCT03318861|59514955|BG000|Participants|overall|3
12268157|NCT03318861|59514956|BG001|Participants|overall|4
12268158|NCT03318861|59514957|BG002|Participants|overall|3
12268159|NCT03318861|59514958|BG003|Participants|overall|4
12268160|NCT03318861|59514959|BG004|Participants|overall|3
12268161|NCT03318861|59514960|BG005|Participants|overall|17
12200437|NCT03761056|59250082|BG000|Participants|overall|40
12274307|NCT02601313|59538434|BG000|Participants|overall|10
12274308|NCT02601313|59538435|BG001|Participants|overall|68
