id|nct_id|result_group_id|ctgov_group_code|classification|category|title|description|units|param_type|param_value|param_value_num|dispersion_type|dispersion_value|dispersion_value_num|dispersion_lower_limit|dispersion_upper_limit|explanation_of_na|number_analyzed|number_analyzed_units|population_description|calculate_percentage
135928988|NCT02348216|59613212|BG000||<65 years|Age, Customized||Participants|Count of Participants|4|4.0|||||||7|||No
135928989|NCT02348216|59613213|BG001||<65 years|Age, Customized||Participants|Count of Participants|60|60.0|||||||77|||No
135928990|NCT02348216|59613214|BG002||<65 years|Age, Customized||Participants|Count of Participants|17|17.0|||||||24|||No
135928991|NCT02348216|59613215|BG003||<65 years|Age, Customized||Participants|Count of Participants|30|30.0|||||||38|||No
135928992|NCT02348216|59613216|BG004||<65 years|Age, Customized||Participants|Count of Participants|28|28.0|||||||41|||No
135928993|NCT02348216|59613217|BG005||<65 years|Age, Customized||Participants|Count of Participants|35|35.0|||||||50|||No
135928994|NCT02348216|59613218|BG006||<65 years|Age, Customized||Participants|Count of Participants|20|20.0|||||||40|||No
135928995|NCT02348216|59613219|BG007||<65 years|Age, Customized||Participants|Count of Participants|194|194.0|||||||277|||No
135928996|NCT02348216|59613212|BG000||≥65 years|Age, Customized||Participants|Count of Participants|3|3.0|||||||7|||No
135928997|NCT02348216|59613213|BG001||≥65 years|Age, Customized||Participants|Count of Participants|17|17.0|||||||77|||No
135928998|NCT02348216|59613214|BG002||≥65 years|Age, Customized||Participants|Count of Participants|7|7.0|||||||24|||No
135928999|NCT02348216|59613215|BG003||≥65 years|Age, Customized||Participants|Count of Participants|8|8.0|||||||38|||No
135929000|NCT02348216|59613216|BG004||≥65 years|Age, Customized||Participants|Count of Participants|13|13.0|||||||41|||No
135929001|NCT02348216|59613217|BG005||≥65 years|Age, Customized||Participants|Count of Participants|15|15.0|||||||50|||No
135929002|NCT02348216|59613218|BG006||≥65 years|Age, Customized||Participants|Count of Participants|20|20.0|||||||40|||No
135929003|NCT02348216|59613219|BG007||≥65 years|Age, Customized||Participants|Count of Participants|83|83.0|||||||277|||No
135929004|NCT02348216|59613212|BG000||Female|Sex: Female, Male||Participants|Count of Participants|2|2.0|||||||7|||No
135929005|NCT02348216|59613213|BG001||Female|Sex: Female, Male||Participants|Count of Participants|27|27.0|||||||77|||No
135929006|NCT02348216|59613214|BG002||Female|Sex: Female, Male||Participants|Count of Participants|6|6.0|||||||24|||No
135929007|NCT02348216|59613215|BG003||Female|Sex: Female, Male||Participants|Count of Participants|17|17.0|||||||38|||No
135929008|NCT02348216|59613216|BG004||Female|Sex: Female, Male||Participants|Count of Participants|13|13.0|||||||41|||No
135929009|NCT02348216|59613217|BG005||Female|Sex: Female, Male||Participants|Count of Participants|14|14.0|||||||50|||No
135929010|NCT02348216|59613218|BG006||Female|Sex: Female, Male||Participants|Count of Participants|17|17.0|||||||40|||No
135929011|NCT02348216|59613219|BG007||Female|Sex: Female, Male||Participants|Count of Participants|96|96.0|||||||277|||No
135929012|NCT02348216|59613212|BG000||Male|Sex: Female, Male||Participants|Count of Participants|5|5.0|||||||7|||No
135929013|NCT02348216|59613213|BG001||Male|Sex: Female, Male||Participants|Count of Participants|50|50.0|||||||77|||No
135929014|NCT02348216|59613214|BG002||Male|Sex: Female, Male||Participants|Count of Participants|18|18.0|||||||24|||No
135929015|NCT02348216|59613215|BG003||Male|Sex: Female, Male||Participants|Count of Participants|21|21.0|||||||38|||No
135929016|NCT02348216|59613216|BG004||Male|Sex: Female, Male||Participants|Count of Participants|28|28.0|||||||41|||No
135929017|NCT02348216|59613217|BG005||Male|Sex: Female, Male||Participants|Count of Participants|36|36.0|||||||50|||No
135929018|NCT02348216|59613218|BG006||Male|Sex: Female, Male||Participants|Count of Participants|23|23.0|||||||40|||No
135929019|NCT02348216|59613219|BG007||Male|Sex: Female, Male||Participants|Count of Participants|181|181.0|||||||277|||No
135929020|NCT02348216|59613212|BG000||Hispanic or Latino|Ethnicity (NIH/OMB)||Participants|Count of Participants|1|1.0|||||||7|||No
135929021|NCT02348216|59613213|BG001||Hispanic or Latino|Ethnicity (NIH/OMB)||Participants|Count of Participants|16|16.0|||||||77|||No
135929022|NCT02348216|59613214|BG002||Hispanic or Latino|Ethnicity (NIH/OMB)||Participants|Count of Participants|2|2.0|||||||24|||No
135929023|NCT02348216|59613215|BG003||Hispanic or Latino|Ethnicity (NIH/OMB)||Participants|Count of Participants|5|5.0|||||||38|||No
135929024|NCT02348216|59613216|BG004||Hispanic or Latino|Ethnicity (NIH/OMB)||Participants|Count of Participants|0|0.0|||||||41|||No
135929025|NCT02348216|59613217|BG005||Hispanic or Latino|Ethnicity (NIH/OMB)||Participants|Count of Participants|1|1.0|||||||50|||No
135929026|NCT02348216|59613218|BG006||Hispanic or Latino|Ethnicity (NIH/OMB)||Participants|Count of Participants|2|2.0|||||||40|||No
135929027|NCT02348216|59613219|BG007||Hispanic or Latino|Ethnicity (NIH/OMB)||Participants|Count of Participants|27|27.0|||||||277|||No
135929028|NCT02348216|59613212|BG000||Not Hispanic or Latino|Ethnicity (NIH/OMB)||Participants|Count of Participants|6|6.0|||||||7|||No
135929029|NCT02348216|59613213|BG001||Not Hispanic or Latino|Ethnicity (NIH/OMB)||Participants|Count of Participants|61|61.0|||||||77|||No
135929030|NCT02348216|59613214|BG002||Not Hispanic or Latino|Ethnicity (NIH/OMB)||Participants|Count of Participants|22|22.0|||||||24|||No
135929031|NCT02348216|59613215|BG003||Not Hispanic or Latino|Ethnicity (NIH/OMB)||Participants|Count of Participants|33|33.0|||||||38|||No
135929032|NCT02348216|59613216|BG004||Not Hispanic or Latino|Ethnicity (NIH/OMB)||Participants|Count of Participants|40|40.0|||||||41|||No
135929033|NCT02348216|59613217|BG005||Not Hispanic or Latino|Ethnicity (NIH/OMB)||Participants|Count of Participants|49|49.0|||||||50|||No
135929034|NCT02348216|59613218|BG006||Not Hispanic or Latino|Ethnicity (NIH/OMB)||Participants|Count of Participants|38|38.0|||||||40|||No
135929035|NCT02348216|59613219|BG007||Not Hispanic or Latino|Ethnicity (NIH/OMB)||Participants|Count of Participants|249|249.0|||||||277|||No
135929036|NCT02348216|59613212|BG000||Unknown or Not Reported|Ethnicity (NIH/OMB)||Participants|Count of Participants|0|0.0|||||||7|||No
135929037|NCT02348216|59613213|BG001||Unknown or Not Reported|Ethnicity (NIH/OMB)||Participants|Count of Participants|0|0.0|||||||77|||No
135929038|NCT02348216|59613214|BG002||Unknown or Not Reported|Ethnicity (NIH/OMB)||Participants|Count of Participants|0|0.0|||||||24|||No
135929039|NCT02348216|59613215|BG003||Unknown or Not Reported|Ethnicity (NIH/OMB)||Participants|Count of Participants|0|0.0|||||||38|||No
135929040|NCT02348216|59613216|BG004||Unknown or Not Reported|Ethnicity (NIH/OMB)||Participants|Count of Participants|1|1.0|||||||41|||No
135929041|NCT02348216|59613217|BG005||Unknown or Not Reported|Ethnicity (NIH/OMB)||Participants|Count of Participants|0|0.0|||||||50|||No
