id|nct_id|description
33096319|NCT03767751|CAR-T cell therapy has shown promising results for the treatment of relapsed or refractory Multiple Myeloma,however, a subset of patients relapse due to the loss of target in tumor cells.Dual Specificity CD38 and BCMA CAR-T cells can recognize and kill the malignant cells through recognition of CD38 or BCMA. This is a phase 1/2 study designed to determine the safety of dual specificity CD38 and BCMA CAR-T cells and the feasibility of making enough to treat patients with relapsed or refractory Multiple Myeloma.
33096661|NCT03751293|This is a single-center, non-randomized study to evaluate the safety and efficacy of C-CAR088 in relapsed or refractory multiple myeloma patient.
33097139|NCT04077866|This is a randomized, parallel-arm, phase I/II study to evaluate the safety and efficacy of B7-H3 CAR-T in between Temozolomide cycles comparing to Temozolomide alone in treating patients with glioblastoma that has come back or does not respond to the standard treatment. The antigen B7-H3 is highly expressed in glioblastoma of a subset of patients. B7-H3 CAR-T, made from isolated patient peripheral blood mononuclear cells, can specifically attack patient glioblastoma cells that expressing B7-H3.
32819378|NCT05509530|This is an open label, single-arm, Phase 2 study to evaluate the efficacy and safety of Anti-BCMA/GPRC5D CAR-T in subjects with relapsed and refractory multiple myeloma. A leukapheresis procedure will be performed to manufacture Anti-BCMA/GPRC5D chimeric antigen receptor (CAR) modified T cells. Prior to Anti-BCMA/GPRC5D infusion subjects will receive lymphodepleting therapy with fludarabine and cyclophosphamide.
33004452|NCT03741127|Subjects are enrolled in this study following completion or early discontinuation from a Poseida sponsored or supported study of P-BCMA-101 T cells and will be followed for a total of 15 years post treatment from the last P-BCMA-101 treatment. Subjects will be monitored for safety and efficacy to assess the risk of delayed adverse events (AEs) and assess long-term efficacy, and PK and quantification of P-BCMA-101 T cells. Rimiducid may be administered as indicated.
32911043|NCT05576181|This is a a phase 1, open label study to assess the safety and efficacy of ThisCART19 (Allogeneic CAR-T targeting CD19) Bridging Hematopoietic Stem Cell Transplantation in patients with refractory or relapsed B cell acute lymphoblastic leukemia (r/r B-ALL).
33004462|NCT03601078|This study is a multi-cohort, open-label, multicenter Phase 2 study to evaluate the efficacy and safety of bb2121 in subjects with relapsed and refractory MM (Cohort 1), in subjects with MM having progressed within 18 months of initial treatment including autologous stem cell transplantation (ASCT) (Cohort 2a), or without ASCT (Cohort 2b) or, in subjects with inadequate response post ASCT during initial treatment (Cohort 2c). Approximately 235 subjects will be enrolled into one of three cohorts. Cohort 1 will enroll approximately 97 RRMM subjects with ≥ 3 prior anti-myeloma treatment regimens. Cohort 2a will enroll approximately 39 MM subjects, with 1 prior anti-myeloma therapy including ASCT and with early relapse. Cohort 2b will enroll approximately 39 MM subjects with 1 prior anti-myeloma therapy not including ASCT and with early relapse. Cohort 2c will enroll approximately 30 MM subjects with inadequate response to ASCT during their initial anti-myeloma therapy. The cohorts will start in parallel and independently. Cohort 3 will enroll approximately 30 newly diagnosed multiple myeloma (NDMM) participants with suboptimal response to ASCT.
32911054|NCT05640713|This is a a phase 1, open label study to assess the safety and efficacy of ThisCART19 (Allogeneic CAR-T targeting CD19) in adult patients with B cell malignancies after failure of autologous chimeric antigen receptor T- cell(CAR-T) therapy in china.
33097636|NCT05268172|The purpose of this study was to evaluate the efficacy of IFN- Y combined with T cells in the treatment of refractory malignant pleural effusion and acties, using a multicenter, single-arm, open design.
33004814|NCT05286164|"Treatment with chimeric antigen receptor-T cell (CAR-T) is successful in patients who have not responded to chemotherapy or bone marrow transplantation but it may provoke side effects and long-term complications. Early and specific side effects include cytokine release syndrome and neurological toxicity. In addition, there are also late side effects. The most prominent of which is bone marrow damage and lack of recovery of blood counts after treatment.~In this study, patients with prolong aplasia after CAR-T will recieve eltrombopag to enahnce bone marrow recovery."
33189878|NCT02443831|This study aims to evaluate the safety, efficacy and duration of response of CD19/22 Chimeric Antigen Receptor (CAR) redirected autologous T-cells in children with high risk, relapsed CD19+ and/ or CD22+ haematological malignancies.
32820118|NCT04544592|This phase I/II trial will investigate a new CD19 directed CAR-T therapy manufactured locally with the goals to expedite infusion to wider patient inclusion that includes those who were previously excluded, such as pediatric patients with B-cell NHL and patients in primary relapse.
33189926|NCT05202782|This phase II trial studies the effect of zanubrutinib and CAR T-cell therapy in treating patients with aggressive B-cell non-Hodgkin's lymphoma or transformed indolent B-cell lymphoma that has come back (recurrent) or does not respond to treatment (refractory). Zanubrutinib may stop the growth of cancer cells by blocking some of the enzymes needed for cell growth. T cells are infection fighting blood cells that can kill tumor cells. The T cells given in this study will come from the patient and will have a new gene put in them that makes them able to recognize CAR, a protein on the surface of cancer cells. These CAR-specific T cells may help the body's immune system identify and kill cancer cells. Giving zanubrutinib together with CAR T-cell therapy may kill more cancer cells.
33189993|NCT05191472|This phase II trial tests whether pembrolizumab works to shrink tumors in patients with multiple myeloma whose cancer has come back (relapsed) or did not respond to previous treatment (refractory) with anti-BCMA CAR-T therapies. Immunotherapy with pembrolizumab, may induce changes in body's immune system and may interfere with the ability of cancer cells to grow and spread.
33005367|NCT03614858|This is a single center, open-label ,phase 1/2 study to evaluate the safety and efficacy of targeted CD19/CD22 chimeric antigen receptor engineered T cell immunotherapy (CART) in the treatment of CD19/CD22 positive Relapsed or Refractory B-Cell Acute Lymphoblastic Leukemia.
33005408|NCT05064787|"The aim of this study is to evaluate the feasibility of a digital health coaching program for, and to describe quality of life of, individuals in the 6 months following chimeric antigen receptor (CAR) T cell therapy. Up to 50 English-speaking individuals aged 18 and older who are to receive treatment with a CAR T cell therapy will be enrolled, all at The University of Texas MD Anderson Cancer Center. Participants must have internet access via smart phone, tablet, a computer, or another device with the capacity to receive calls, texts, or e-mails, as well as the electronic study assessments and will be excluded if they are unable to provide informed consent or have a prognosis of 6 months or less.~Consented participants will be enrolled in a 6-month digital health coaching program delivered via weekly calls from a Health Advisor coupled with the digital delivery of content. The program focuses on identification and escalation of treatment-related toxicity, communication with providers, and physical and psychosocial health following treatment. Health related quality of life (HRQoL) will be assessed with the Functional Assessment of Cancer Therapy-Lymphoma (FACT-L), health self-efficacy will be assessed by the Cancer Behavior Inventory-Brief (CBI-B), physical and mental health outcomes will be measured by the National Institutes of Health (NIH) Patient Reported Outcomes Measurement Information System (PROMIS) Global Health 10. Patient experience in managing CAR T specific care will be assessed with a 5-item questionnaire developed specifically for use in this study, focused on participants' confidence in understanding, identifying and managing symptoms, and communicating with providers. Study outcomes will contribute to knowledge about if and how a digital health intervention may be used to support individuals post-CAR T cell therapy."
33005742|NCT04712864|This is a Phase 1, first-in-human (FIH), open-label, multicenter, study of LB1901 administered to adult subjects with histologically confirmed CD4+ relapsed or refractory Peripheral T-cell lymphoma (PTCL) (PTCL not otherwise specified [PTCL-NOS] and angioimmunoblastic [AITL]), or relapsed or refractory cutaneous T-cell lymphoma (CTCL) (Sézary syndrome [SS] and mycosis fungoides [MF]).
33190453|NCT04219163|"Patients eligible for this study have a type of blood cancer Acute Myeloid Leukemia (AML) which has come back or has not gone away after treatment.~The body has different ways of fighting disease and infection, and this research study combines two different ways of fighting cancer with antibodies and T cells with the hope that they will work together. T cells (also called T lymphocytes) are special infection-fighting blood cells that can kill other cells including tumor cells. Antibodies are types of proteins that protect the body from bacterial and other infectious diseases. Both antibodies and T cells have been used to treat patients with cancers; they have shown promise, but have not been strong enough to cure most patients when used alone.~T lymphocytes can kill tumor cells but there normally are not enough of them to kill all the tumor cells. Some researchers have taken T cells from a person's blood, grown more of them in the laboratory and then given them back to the person. The antibody used in this study targets CLL-1. This antibody sticks to AML cells because of a substance (protein) on the outside of these cells called CLL-1. For this study, the antibody to CLL-1 has been changed so that instead of floating free in the blood, it is now joined to the T cells. When T-cells contain an antibody that is joined to them, they are called chimeric antigen receptor T-cells or CAR-T cells.~In the laboratory, the investigators have also found that T cells work better if proteins that stimulate T cells are also added, such as one called CD28. Adding the CD28 makes the cells grow better and last longer in the body, thus giving the cells a better chance of killing the leukemia or lymphoma cells. In this study we are going to attach the CLL-1 chimeric receptor that has CD28 added to it to the patient's T cells. We will then test how long the cells last.~These CLL-1 chimeric antigen receptor T cells with CD28 are investigational products not approved by the Food and Drug Administration."
32911734|NCT03960060|This clinical study is to investigate the safety and tolerability of CAR modified autologous T cells (CCT301-59) in subjects with recurrent or refractory solid tumors.
33006487|NCT03617198|This research study is being carried out to study a new way to possibly treat HIV. As part of this study, doctors will take some of your own white blood cells, called T-cells, and modify them so that they can identify and target your HIV cells. The purpose of the study is to evaluate the safety of these modified T cells and determine whether they have any effect on HIV infection.
33006508|NCT02844062|Chimeric antigen receptor (CAR)-modified T cells can mediate long-term durable remissions in recurrent or refractory CD19+ B cell malignancies, and are a promising therapy to treat glioblastoma, which is the most dangerous and aggressive form of brain cancer. EGFRvIII mutation (epidermal growth factor receptor variant III, EGFRvIII) is the results of tumor specific gene rearrangement naturally happened in about 30% of glioblastoma patients and produces a mutated protein with neo-antigen that is tumor specific and is not expressed in normal human tissues. Therefore, EGFRvIII is an attractive target for CAR T cell therapy. We have constructed a lentiviral vector that contains a chimeric antigen receptor that recognizes the EGFRvIII tumor antigen. A truncated EGFR (tEGFR) which lacks of the ligand binding domain and cytoplasmic kinase domain of wildtype EGFR is incorporated into the CAR vector and is used for in vivo tracking and ablation of CAR T cells in necessary. This pilot study is to determine the safety and efficacy of autologous anti-EGFRvIII CAR T cells in patients with recurrent glioblastoma.
32821349|NCT04394650|"This is a Phase 1, multicenter, open-label study of CC-98633, BCMA-Targeted NEX-T Chimeric Antigen Receptor (CAR) T Cells, in participants with relapsed and/or refractory multiple myeloma.~The study will consist of 2 parts: dose-escalation (Part A) and dose-expansion (Part B). The dose-escalation part (Part A) of the study is to evaluate the safety and tolerability of increasing dose levels of CC-98633 to establish a recommended Phase 2 dose RP2D(s); and the dose-expansion part (Part B) of the study is to further evaluate the safety, pharmacokinetics/pharmacodynamics, and efficacy of CC-98633 at the RP2D(s)."
32821367|NCT03081910|"Patients eligible for this study have a type of blood cancer called T-cell leukemia or lymphoma (lymph gland cancer).~The body has different ways of fighting infection and disease. No one way seems perfect for fighting cancers. This research study combines two different ways of fighting disease, antibodies and T cells, hoping that they will work together. Antibodies are types of proteins that protect the body from bacterial and other diseases. T cells, also called T lymphocytes, are special infection-fighting blood cells that can kill other cells including tumor cells. Both antibodies and T cells have been used to treat patients with cancers; they have shown promise, but have not been strong enough to cure most patients.~T lymphocytes can kill tumor cells but there normally are not enough of them to kill all the tumor cells. Some researchers have taken T cells from a person's blood, grown more of them in the laboratory and then given them back to the person. In some patients who have recently had a bone marrow or stem cell transplant, the number of T cells in their blood may not be enough to grow in the laboratory. In this situation, T cells may be collected from their previous transplant donor, who has a similar tissue type.~The antibody used in this study is called anti-CD5. It first came from mice that have developed immunity to human leukemia. This antibody sticks to T-cell leukemia or lymphoma cells because of a substance on the outside of these cells called CD5. CD5 antibodies have been used to treat people with T-cell leukemia and lymphoma. For this study, anti-CD5 has been changed so that instead of floating free in the blood it is now joined to the T cells. When an antibody is joined to a T cell in this way it is called a chimeric receptor.~In the laboratory, the investigators have also found that T cells work better if proteins that stimulate T cells are also added, such as one called CD28. Adding the CD28 makes the cells grow better and last longer in the body, thus giving the cells a better chance of killing the leukemia or lymphoma cells.~In this study investigators are going to attach the CD5 chimeric receptor with CD28 added to it to the patient's T cells or the previous bone marrow transplant donor's T cells. The investigators will then test how long the cells last. The decision to use the bone marrow transplant donor's T cells instead of the patient's will be based on 1) whether there is an available and willing donor and 2) the likelihood of the patient's T cells being able to grow in the lab. These CD5 chimeric receptor T cells with CD28 are investigational products not approved by the Food and Drug Administration."
32912851|NCT01818323|"The overall goal of this study is to investigate the safety of T4 immunotherapy when administered to treat loco-regional disease in Squamous Cell Cancer of the Head and Neck (SCCHN) that is not suitable for conventional active therapy.~The investigators propose to conduct an open-labelled, non-randomized, dose-escalation phase I trial in which autologous T4+ T-cells are administered to patients with SCCHN. T-cells will be engineered to express a second generation chimeric antigen receptor (CAR) named T1E28z. Engineered T-cells will be injected directly into the tumour site. Patients will not be lymphodepleted. A classical 3+3 design will be employed, with dose escalation from 10^7 through to 10^9 transduced T4+ T-cells, dependent upon toxicity monitoring. It is anticipated that up to 30 patients will be enrolled over the course of the study."
33190853|NCT05206357|"The most common types of mature B-cell lymphomas (MBLs) in children are Burkitt lymphoma (BL) and diffuse large B-cell lymphoma (DLBCL). Initial treatment cures 90% - 95% of children with these malignancies, leaving a very small population of relapsed/refractory disease with a poor prognosis. The purpose of this study is to assess the safety and tolerability of epcoritamab in pediatric participants with relapsed/refractory aggressive mature B-cell neoplasms and young adult participants with Burkitt's or Burkitt-like lymphoma/leukemia. Adverse events and change in disease activity will be assessed.~Epcoritamab is an investigational drug being developed for the treatment of relapsed/refractory aggressive mature B-cell neoplasms. Participants will receive subcutaneous (SC) of epcoritamab. Approximately 15 pediatric participants with a diagnosis of relapsed/refractory aggressive mature B-cell neoplasms and and young adult participants, ages of 18-25, with a diagnosis of Burkitt's or Burkitt-like lymphoma/leukemia will be enrolled at 50 sites globally.~Participants will receive subcutaneous epcoritamab in 28-day cycles. Participants will be followed for a minimum of 3 years after enrollment.~There may be higher treatment burden for participants in this trial compared to their standard of care. Participants will attend regular visits during the study at an approved institution (hospital or clinic). The effect of the treatment will be frequently checked by medical assessments, blood tests, questionnaires and side effects."
32822019|NCT04605666|Relapsed and refractory B cell acute lymphoblastic leukemia (B-ALL) shows unfavorable prognosis, especially for adult patients. Besides, minimal residual disease (MRD) positive at transplant has been considered risk factor for relapse after transplantation. Worse yet, there is no standard management for these patients. Chimeric antigen receptor T cells (CAR-T cells) has been recognized a promising treatment option for treating B cell derived malignancy. The purpose of this study is to evaluate the efficacy and safety of chimeric antigen receptor 19 (CD19-CAR-T2 Cells) infusions in patients with CD19+ ALL.
32822022|NCT04531046|This is a phase 2, open-label, multicenter study evaluating axicabtagene ciloleucel (axi-cel) as a 2nd line therapy in patients with Relapsed/Refractory aggressive B-NHL who are ineligible to receive Autologous Stem Cell Transplantation but eligible to receive CAR T-cell therapy.
33007071|NCT04237428|To evaluate the safety and efficacy of targeted CD19 chimeric antigen receptor T cell infusion in the treatment of relapsed or refractory CD19 positive non-Hodgkin's lymphoma.
33190953|NCT04577326|This study will test the safety of MSLN-targeted CAR-T cells at different doses to find the safest dose to give to people with MPM. The researchers want to see what effects, if any, the study treatment has on people with this type of cancer. This study is the first time that an MSLN-targeted CAR-T cell treatment with an anti-PD1 component is being given to people.
33099077|NCT02186860|Traditional standard treatments of B cell acute lymphoblastic leukemia is not perfect for fighting cancer. Many people do not respond to the standard treatments of ALL. One possible treatment is chimeric antigen receptor (CAR) modified T cell infusions. This study aims to evaluate the safety and efficacy of novel CARTs (targeting CD19) in the treatment of refractory or recurrent ALL.The investigators start Phase I study aimed to chemotherapy resistant or refractory acute lymphoblastic leukemia patients. The purpose of this study is to assess the safety and effectiveness of CAR-T cells in patients.
33191052|NCT03792633|This is a phase 2 study to evaluate humanized CD19 redirected autologous T cells (or huCART19 cells) with CD19 expressing relapsed and refractory B-cell acute lymphoblastic leukemia. This study is targeting pediatric and young adult patients aged 1-29 years with CD19+ B cell malignancies in newly diagnosed B-ALL patients predicted to have an exceedingly poor outcome with conventional chemotherapy, in high-risk first relapse, or and in second or greater relapse in this phase 2 trial. In addition, a second cohort will test the efficacy of huCART19 in patients with poor response to prior B cell directed engineered cell therapy.
33007553|NCT05627323|This is a phase 1b study to evaluate the safety of chimeric antigen receptor (CAR) T cells with a chlorotoxin tumor-targeting domain (ie, CHM-1101, the study treatment) to determine the best dose of CHM-1101, and to assess the effectiveness of CHM-1101 in treating MMP2+ glioblastoma that has come back (recurrent) or that is growing, spreading, or getting worse (progressive).
33007665|NCT05117008|This is a multicenter phase II, open-label study evaluating the efficacy and safety of belantamab mafodotin maintenance in participants with relapsed and/or refractory multiple myeloma (RRMM) who have received commercially available anti-BCMA CAR-T-cell therapy. Subjects will be enrolled 60-130 days after chimeric antigen receptor T-cell therapy (CAR-T) and receive belantamab mafodotin as maintenance therapy. Each maintenance cycle will have a duration of 56 days (+/- three days) and belantamab mafodotin will be administered at a dose of 2.5 mg/kg IV on day 1 of each cycle.
33007686|NCT04984356|The main purpose of this study is to evaluate the safety, recommended dose, and preliminary anti-tumor activity of WU-CART-007 in patients with relapsed or refractory (R/R) T-cell acute lymphoblastic leukemia (T-ALL) or lymphoblastic lymphoma (LBL).
32914477|NCT05020444|"This research study involves the study of TriPRIL CAR T Cells for treating people with relapsed or refractory multiple myeloma and to understand the side effects when treated with TriPRIL CAR T Cells.~This research study involves the study drugs:.~TriPRIL CAR T Cells~Fludarabine and Cyclophosphamide: Standardly used chemotherapy drugs as part of lymphodepleting process"
32914593|NCT04214392|This phase I trial studies the side effects and best dose of chimeric antigen receptor (CAR) T cells with a chlorotoxin tumor-targeting domain in treating patients with MPP2+ glioblastoma that has come back (recurrent) or that is growing, spreading, or getting worse (progressive). Vaccines made from a gene-modified virus may help the body build an effective immune response to kill tumor cells.
33099682|NCT02259556|Chimeric antigen receptor-modified T cells (CART) holds great promise for treatment of tumors. In this trial, CD30 positive Hodgkin's lymphoma and Non-Hodgkin's lymphoma will be treated by CD30-specific CART cells (CART30).
33100080|NCT05239676|Clinical Study on the Safety and Effectiveness of Autologous Hematopoietic Stem Cell Transplantation Combined With CAR-T Cells in the Treatment of Refractory and Relapsed Malignant Lymphoma
32823513|NCT05621096|"The goal of this clinical trial is to learn about treatment for people with B-cell lymphoma that did not respond to treatment or that has gotten worse after treatment. The aim of this trial is to answer the following questions:~If it is realistic to give people radiation treatment before they receive a chimeric antigen receptor (CAR) T-cell treatment for their cancer~If it is safe to give people radiation treatment before they receive a CAR T-cell treatment for their cancer"
33008631|NCT05168748|This is a first-in-human study to evaluate the feasibility, safety and preliminary antitumor efficacy of autologous chimeric antigen receptor (CAR) T cells targeting both CD19 and CD22, manufactured with T-Charge(TM) process. CAR-T cells will be investigated as single agent in pediatric and adult acute lymphoblastic leukemia (ALL).
32916251|NCT05432882|The purpose of this study is to assess the feasibility, safety and efficacy of anti-CD19/22 bi-specific CAR-T cell therapy in patients with CD19 and/or CD22 positive B cell malignancies. Another goal of the study is to learn more about the safety and function of the anti-CD19/22 bi-specific CAR-T cells and their persistency in patients.
32916284|NCT02958384|The overall purpose of this study is to explore the therapeutic effect of LeY-targeted chimeric antigen receptor T(CAR-T) cells in the treatment of myeloid malignancies.
32917238|NCT04727008|Multiple myeloma (MM) is an incurable plasma cell cancer that almost all patients eventually relapse despite advancement in treatment strategies. B-cell maturation antigen (BCMA) is a cell surface receptor that expressed primarily by malignant and normal plasma cells. This study aims to evaluate the safety and tolerance CXCR4 modified BCMA CAR T cells in treating standard treatment failed refractory/relapsed multiple myeloma, and will follow dose-escalating cohorts. The efficacy of CXCR4 modified BCMA CAR T will also be investigated.
33009007|NCT02772198|This phase 1 / 2 study will evaluate the response of B-cell malignancies expressing CD19 to autologous T cells transduced with a second generation anti-CD19 chimeric antigen receptor in children and young adults.
32824318|NCT05070156|This is an Open-label, Single Arm study to observe the safety and tolerability of B010-A in the treatment of advanced hepatocellular carcinoma.
32824329|NCT05013372|The safety and preliminary effectiveness of CD147-CAR T cells in patients with relapsed or refractory T cell non-Hodgkin's lymphoma will be investigated in this pioneering study.
32824336|NCT04214886|In this protocol, the investigators hypothesize that modifying the process of producing CAR+ T-cells can help to improve responses and reduce toxicities. Building on previous in vitro studies that have shown successful production of CAR+ T-cells using a new production approach, the investigators are now studying the ability to produce these CAR+ T-cells and determine how well they work in the clinical setting.
32824354|NCT05621486|This is a first in human (FIH), open-label, dose escalation and expansion study to evaluate the safety, tolerability, pharmacokinetics, and antitumor activity of B4T2-001 Autologous CAR T cells in subjects with advanced solid tumors including but not limited to advanced gastric or gastroesophageal junction (GEJ) adenocarcinoma, advanced pancreatic cancer, advanced non-small cell lung cancer (NSCLC), colorectal cancers (CRC) and metastatic breast cancer that tests positive for BT-001 target antigen according to Immunohistochemistry (IHC).
33100762|NCT01109095|"This study is for patients that have a type of brain cancer called glioblastoma multiforme (GBM).~The body has different ways of fighting infection and disease. No single way seems perfect for fighting cancers. This research study combines two different ways of fighting cancer: antibodies and T cells. Antibodies are types of proteins that protect the body from infectious diseases and possibly cancer. T cells, also called T lymphocytes, are special infection-fighting blood cells that can kill other cells, including cells infected with viruses and tumor cells. Both antibodies and T cells have been used to treat patients with cancers. They have shown promise, but have not been strong enough to cure most patients.~The antibody used in this study is called anti-HER2 (Human Epidermal Growth Factor Receptor 2). This antibody sticks to GBM cells because of a substance on the outside of these cells called HER2. Up to 80% of GBMs are positive for HER2. HER2 antibodies have been used to treat people with HER2-positive cancers. For this study, the HER2 antibody has been changed so that instead of floating free in the blood it is now attached to T cells. When an antibody is joined to a T cell in this way it is called a chimeric receptor. These chimeric receptor-T cells seem to be able to kill tumors like GBM, but they don't last very long and so their chances of fighting the cancer are limited. Therefore, developing ways to prolong the life of these T cells should help them fight cancer.~We found that T cells work better if we also attach a protein called CD28 to the HER2 chimeric receptor (HER2-CAR). In this study we placed this HER2-CAR into T cells that were pre-selected for their ability to recognize Cytomegalovirus (CMV). This virus exists in most people. These CMV-specific cytotoxic T cells (CMV-T cells) will be more active since they will react to the virus as well as to tumor cells. These HER2-CD28 CMV-T cells are an investigational product not approved by the Food and Drug Administration.~The purpose of this study is to find the largest safe dose of HER2-CD28 CMV-T cells, to learn what the side effects are, and to see whether this therapy might help patients with GBM."
33187447|NCT01953900|"The purpose of this study is to find the largest safe dose of GD2-T cells (also called iC9-GD2-CAR-VZV-CTLs) in combination with a varicella zoster vaccine and lymohodepleting chemotherapy. Additionally, we will learn what the side effects of this treatment are and to see whether this therapy might help patients with advanced osteosarcoma and neuroblastoma. Because there is no standard treatment for recurrent/refractory osteosarcoma and neuroblastoma at this time or because the currently used treatments do not work fully in all cases, patients are being asked to volunteer to take part in a gene transfer research study using special immune cells.~The body has different ways of fighting infection and disease. No single way seems perfect for fighting cancers. This research study combines two different ways of fighting cancer: antibodies and T cells. Antibodies are types of proteins that protect the body from infectious diseases and possibly cancer. T cells, also called T lymphocytes, are special infection-fighting blood cells that can kill other cells, including cells infected with viruses and tumor cells. Both antibodies and T cells have been used to treat patients with cancers. They have shown promise, but have not been strong enough to cure most patients.~Investigators have found from previous research that a new gene can be put into T cells that will make them recognize cancer cells and kill them. Investigators now want to see if a new gene can be put in these cells that will let the T cells recognize and kill sarcoma and neuroblastoma cells. The new gene is called a chimeric antigen receptor (CAR) and consists of an antibody called 14g2a that recognizes GD2, a protein that is found on sarcoma and neuroblastoma cells (GD2-CAR). In addition, it contains parts of the CD28 and OX40 genes which can stimulate T cells to make them live longer.~Investigators have found that CAR-T cells can kill some of the tumor, but they don't last very long in the body and so the tumor eventually comes back. T cells that recognize the virus that causes chicken pox, varicella zoster virus (VZV), remain in the bloodstream for many years especially if they are stimulated or boosted by the VZV vaccine. Investigators will therefore insert the GD2-CAR gene into T cells that recognize VZV. These cells are called iC9-GD2-CAR-VZV-specific T cells but are referred to as GD2-T cells for simplicity."
32919142|NCT02963038|Chimeric antigen receptor (CAR) T cells targeting CD19 will be evaluated for safety and efficacy in patients with B cell malignancy including lymphoma or leukemia.
33101253|NCT05371093|The goal of this clinical study is test how well the study drug, axicabtagene ciloleucel, works in participants with relapsed/refractory follicular lymphoma
