id|nct_id|mesh_term|downcase_mesh_term|mesh_type
209898850|NCT04049383|Leukemia, Lymphoid|leukemia, lymphoid|mesh-list
209960035|NCT04473937|Lymphoma|lymphoma|mesh-list
209752529|NCT04703686|Lymphatic Diseases|lymphatic diseases|mesh-ancestor
209775657|NCT02601313|Lymphoma|lymphoma|mesh-list
209794264|NCT02303821|Leukemia|leukemia|mesh-list
209797218|NCT02439788|Neoplasms|neoplasms|mesh-ancestor
210180919|NCT05290155|Lymphoma|lymphoma|mesh-list
210258433|NCT01454596|Glioma|glioma|mesh-list
210258834|NCT02215967|Paraproteinemias|paraproteinemias|mesh-ancestor
209892107|NCT03252171|Glioma|glioma|mesh-list
209892108|NCT03252171|Neoplasms, Neuroepithelial|neoplasms, neuroepithelial|mesh-ancestor
209892109|NCT03252171|Neuroectodermal Tumors|neuroectodermal tumors|mesh-ancestor
209892110|NCT03252171|Neoplasms, Germ Cell and Embryonal|neoplasms, germ cell and embryonal|mesh-ancestor
209892111|NCT03252171|Neoplasms by Histologic Type|neoplasms by histologic type|mesh-ancestor
209892112|NCT03252171|Neoplasms|neoplasms|mesh-ancestor
209892113|NCT03252171|Neoplasms, Glandular and Epithelial|neoplasms, glandular and epithelial|mesh-ancestor
209892114|NCT03252171|Neoplasms, Nerve Tissue|neoplasms, nerve tissue|mesh-ancestor
208584489|NCT05199961|Neoplasms|neoplasms|mesh-ancestor
209895491|NCT05354375|Prostatic Neoplasms|prostatic neoplasms|mesh-list
209895492|NCT05354375|Genital Neoplasms, Male|genital neoplasms, male|mesh-ancestor
209895493|NCT05354375|Urogenital Neoplasms|urogenital neoplasms|mesh-ancestor
209895494|NCT05354375|Neoplasms by Site|neoplasms by site|mesh-ancestor
209895495|NCT05354375|Neoplasms|neoplasms|mesh-ancestor
209895496|NCT05354375|Genital Diseases, Male|genital diseases, male|mesh-ancestor
209895497|NCT05354375|Genital Diseases|genital diseases|mesh-ancestor
209895498|NCT05354375|Urogenital Diseases|urogenital diseases|mesh-ancestor
209895499|NCT05354375|Prostatic Diseases|prostatic diseases|mesh-ancestor
209895500|NCT05354375|Male Urogenital Diseases|male urogenital diseases|mesh-ancestor
209897938|NCT04855253|Lymphoma|lymphoma|mesh-list
209897939|NCT04855253|Lymphoma, B-Cell|lymphoma, b-cell|mesh-list
209897940|NCT04855253|Lymphoma, Large B-Cell, Diffuse|lymphoma, large b-cell, diffuse|mesh-list
209897941|NCT04855253|Neoplasms by Histologic Type|neoplasms by histologic type|mesh-ancestor
209897942|NCT04855253|Neoplasms|neoplasms|mesh-ancestor
209897943|NCT04855253|Lymphoproliferative Disorders|lymphoproliferative disorders|mesh-ancestor
209897944|NCT04855253|Lymphatic Diseases|lymphatic diseases|mesh-ancestor
209897945|NCT04855253|Immunoproliferative Disorders|immunoproliferative disorders|mesh-ancestor
209897946|NCT04855253|Immune System Diseases|immune system diseases|mesh-ancestor
209897947|NCT04855253|Lymphoma, Non-Hodgkin|lymphoma, non-hodgkin|mesh-ancestor
209898190|NCT04715191|Neoplasms|neoplasms|mesh-list
209898191|NCT04715191|Rhabdomyosarcoma|rhabdomyosarcoma|mesh-list
209898192|NCT04715191|Wilms Tumor|wilms tumor|mesh-list
209898193|NCT04715191|Liposarcoma|liposarcoma|mesh-list
209898194|NCT04715191|Endodermal Sinus Tumor|endodermal sinus tumor|mesh-list
209898195|NCT04715191|Rhabdoid Tumor|rhabdoid tumor|mesh-list
209898196|NCT04715191|Neoplasms by Site|neoplasms by site|mesh-ancestor
209898197|NCT04715191|Myosarcoma|myosarcoma|mesh-ancestor
209898198|NCT04715191|Neoplasms, Muscle Tissue|neoplasms, muscle tissue|mesh-ancestor
209898199|NCT04715191|Neoplasms, Connective and Soft Tissue|neoplasms, connective and soft tissue|mesh-ancestor
209898200|NCT04715191|Neoplasms by Histologic Type|neoplasms by histologic type|mesh-ancestor
209898201|NCT04715191|Sarcoma|sarcoma|mesh-ancestor
209898202|NCT04715191|Neoplasms, Complex and Mixed|neoplasms, complex and mixed|mesh-ancestor
209898203|NCT04715191|Kidney Neoplasms|kidney neoplasms|mesh-ancestor
209898204|NCT04715191|Urologic Neoplasms|urologic neoplasms|mesh-ancestor
209898205|NCT04715191|Urogenital Neoplasms|urogenital neoplasms|mesh-ancestor
209898206|NCT04715191|Neoplastic Syndromes, Hereditary|neoplastic syndromes, hereditary|mesh-ancestor
209898207|NCT04715191|Female Urogenital Diseases|female urogenital diseases|mesh-ancestor
209898208|NCT04715191|Female Urogenital Diseases and Pregnancy Complications|female urogenital diseases and pregnancy complications|mesh-ancestor
209898209|NCT04715191|Urogenital Diseases|urogenital diseases|mesh-ancestor
209898210|NCT04715191|Kidney Diseases|kidney diseases|mesh-ancestor
209898211|NCT04715191|Urologic Diseases|urologic diseases|mesh-ancestor
209898212|NCT04715191|Male Urogenital Diseases|male urogenital diseases|mesh-ancestor
209898213|NCT04715191|Genetic Diseases, Inborn|genetic diseases, inborn|mesh-ancestor
209898214|NCT04715191|Neoplasms, Adipose Tissue|neoplasms, adipose tissue|mesh-ancestor
209898215|NCT04715191|Mesonephroma|mesonephroma|mesh-ancestor
209898216|NCT04715191|Neoplasms, Germ Cell and Embryonal|neoplasms, germ cell and embryonal|mesh-ancestor
209898551|NCT04377932|Neoplasms|neoplasms|mesh-list
209898552|NCT04377932|Rhabdomyosarcoma|rhabdomyosarcoma|mesh-list
209898553|NCT04377932|Wilms Tumor|wilms tumor|mesh-list
209898554|NCT04377932|Liposarcoma|liposarcoma|mesh-list
209898555|NCT04377932|Endodermal Sinus Tumor|endodermal sinus tumor|mesh-list
209898556|NCT04377932|Rhabdoid Tumor|rhabdoid tumor|mesh-list
209898557|NCT04377932|Neoplasms by Site|neoplasms by site|mesh-ancestor
209898558|NCT04377932|Myosarcoma|myosarcoma|mesh-ancestor
209898559|NCT04377932|Neoplasms, Muscle Tissue|neoplasms, muscle tissue|mesh-ancestor
209898560|NCT04377932|Neoplasms, Connective and Soft Tissue|neoplasms, connective and soft tissue|mesh-ancestor
209898561|NCT04377932|Neoplasms by Histologic Type|neoplasms by histologic type|mesh-ancestor
209898562|NCT04377932|Sarcoma|sarcoma|mesh-ancestor
209898563|NCT04377932|Neoplasms, Complex and Mixed|neoplasms, complex and mixed|mesh-ancestor
209898564|NCT04377932|Kidney Neoplasms|kidney neoplasms|mesh-ancestor
209898565|NCT04377932|Urologic Neoplasms|urologic neoplasms|mesh-ancestor
209898566|NCT04377932|Urogenital Neoplasms|urogenital neoplasms|mesh-ancestor
209898567|NCT04377932|Neoplastic Syndromes, Hereditary|neoplastic syndromes, hereditary|mesh-ancestor
209898568|NCT04377932|Female Urogenital Diseases|female urogenital diseases|mesh-ancestor
209898569|NCT04377932|Female Urogenital Diseases and Pregnancy Complications|female urogenital diseases and pregnancy complications|mesh-ancestor
209898570|NCT04377932|Urogenital Diseases|urogenital diseases|mesh-ancestor
209898571|NCT04377932|Kidney Diseases|kidney diseases|mesh-ancestor
209898572|NCT04377932|Urologic Diseases|urologic diseases|mesh-ancestor
209898573|NCT04377932|Male Urogenital Diseases|male urogenital diseases|mesh-ancestor
209898574|NCT04377932|Genetic Diseases, Inborn|genetic diseases, inborn|mesh-ancestor
209898575|NCT04377932|Neoplasms, Adipose Tissue|neoplasms, adipose tissue|mesh-ancestor
209898576|NCT04377932|Mesonephroma|mesonephroma|mesh-ancestor
209898577|NCT04377932|Neoplasms, Germ Cell and Embryonal|neoplasms, germ cell and embryonal|mesh-ancestor
209898744|NCT04240808|Lymphoma|lymphoma|mesh-list
209898745|NCT04240808|Lymphoma, Non-Hodgkin|lymphoma, non-hodgkin|mesh-list
209898746|NCT04240808|Lymphoma, B-Cell|lymphoma, b-cell|mesh-list
209898747|NCT04240808|Neoplasms by Histologic Type|neoplasms by histologic type|mesh-ancestor
209898748|NCT04240808|Neoplasms|neoplasms|mesh-ancestor
209898749|NCT04240808|Lymphoproliferative Disorders|lymphoproliferative disorders|mesh-ancestor
209898750|NCT04240808|Lymphatic Diseases|lymphatic diseases|mesh-ancestor
209898751|NCT04240808|Immunoproliferative Disorders|immunoproliferative disorders|mesh-ancestor
209898752|NCT04240808|Immune System Diseases|immune system diseases|mesh-ancestor
209898848|NCT04049383|Leukemia|leukemia|mesh-list
209898849|NCT04049383|Precursor Cell Lymphoblastic Leukemia-Lymphoma|precursor cell lymphoblastic leukemia-lymphoma|mesh-list
209898851|NCT04049383|Neoplasms by Histologic Type|neoplasms by histologic type|mesh-ancestor
209898852|NCT04049383|Neoplasms|neoplasms|mesh-ancestor
209898853|NCT04049383|Lymphoproliferative Disorders|lymphoproliferative disorders|mesh-ancestor
209898854|NCT04049383|Lymphatic Diseases|lymphatic diseases|mesh-ancestor
209898855|NCT04049383|Immunoproliferative Disorders|immunoproliferative disorders|mesh-ancestor
209898856|NCT04049383|Immune System Diseases|immune system diseases|mesh-ancestor
209900289|NCT03564977|Neoplasm, Residual|neoplasm, residual|mesh-list
209900290|NCT03564977|Lymphoma, B-Cell|lymphoma, b-cell|mesh-list
209900291|NCT03564977|Leukemia, B-Cell|leukemia, b-cell|mesh-list
209900292|NCT03564977|Neoplasms|neoplasms|mesh-ancestor
209900293|NCT03564977|Neoplastic Processes|neoplastic processes|mesh-ancestor
209900294|NCT03564977|Pathologic Processes|pathologic processes|mesh-ancestor
209900295|NCT03564977|Lymphoma, Non-Hodgkin|lymphoma, non-hodgkin|mesh-ancestor
209900296|NCT03564977|Lymphoma|lymphoma|mesh-ancestor
209900297|NCT03564977|Neoplasms by Histologic Type|neoplasms by histologic type|mesh-ancestor
