id|nct_id|mesh_term|downcase_mesh_term|mesh_type
103670441|NCT01953900|Cyclophosphamide|cyclophosphamide|mesh-list
103670442|NCT01953900|Fludarabine|fludarabine|mesh-list
103670443|NCT01953900|Immunosuppressive Agents|immunosuppressive agents|mesh-ancestor
103670444|NCT01953900|Immunologic Factors|immunologic factors|mesh-ancestor
103670445|NCT01953900|Physiological Effects of Drugs|physiological effects of drugs|mesh-ancestor
103670446|NCT01953900|Antirheumatic Agents|antirheumatic agents|mesh-ancestor
103670447|NCT01953900|Antineoplastic Agents, Alkylating|antineoplastic agents, alkylating|mesh-ancestor
103670448|NCT01953900|Alkylating Agents|alkylating agents|mesh-ancestor
103670449|NCT01953900|Molecular Mechanisms of Pharmacological Action|molecular mechanisms of pharmacological action|mesh-ancestor
103670450|NCT01953900|Antineoplastic Agents|antineoplastic agents|mesh-ancestor
103670451|NCT01953900|Myeloablative Agonists|myeloablative agonists|mesh-ancestor
103670656|NCT03528421|Cyclophosphamide|cyclophosphamide|mesh-list
103670657|NCT03528421|Fludarabine|fludarabine|mesh-list
103670658|NCT03528421|Immunosuppressive Agents|immunosuppressive agents|mesh-ancestor
103670659|NCT03528421|Immunologic Factors|immunologic factors|mesh-ancestor
103670660|NCT03528421|Physiological Effects of Drugs|physiological effects of drugs|mesh-ancestor
103670661|NCT03528421|Antirheumatic Agents|antirheumatic agents|mesh-ancestor
103670662|NCT03528421|Antineoplastic Agents, Alkylating|antineoplastic agents, alkylating|mesh-ancestor
103670663|NCT03528421|Alkylating Agents|alkylating agents|mesh-ancestor
103670664|NCT03528421|Molecular Mechanisms of Pharmacological Action|molecular mechanisms of pharmacological action|mesh-ancestor
103670665|NCT03528421|Antineoplastic Agents|antineoplastic agents|mesh-ancestor
103670666|NCT03528421|Myeloablative Agonists|myeloablative agonists|mesh-ancestor
103672515|NCT04581473|Paclitaxel|paclitaxel|mesh-list
103672516|NCT04581473|Irinotecan|irinotecan|mesh-list
103672517|NCT04581473|Apatinib|apatinib|mesh-list
103672518|NCT04581473|Antibodies|antibodies|mesh-list
