id|nct_id|number_of_facilities|number_of_nsae_subjects|number_of_sae_subjects|registered_in_calendar_year|nlm_download_date|actual_duration|were_results_reported|months_to_report_results|has_us_facility|has_single_facility|minimum_age_num|maximum_age_num|minimum_age_unit|maximum_age_unit|number_of_primary_outcomes_to_measure|number_of_secondary_outcomes_to_measure|number_of_other_outcomes_to_measure
265866274|NCT04219319|3|||2019||7|f||f|f|18|75|Years|Years|4|6|
265805312|NCT03181126|15|||2017||36|f||t|f|4||Years||5|6|
265781834|NCT04014881|1|||2019|||f||f|t|18|70|Years|Years|1|6|
265779876|NCT03356795|1|||2017||14|f||f|t|18|70|Years|Years|1|2|
265698598|NCT05268172|1|||2021|||f||f|t|18||Years||2|3|
265743350|NCT04010877|1|||2019|||f||f|t|6|75|Months|Years|1|1|
265804621|NCT05190185|1|||2021|||f||f|t|18|70|Years|Years|1|5|
265712977|NCT04337606|1|||2020|||f||f|t|18|65|Years|Years|2||
265529458|NCT03060356|1|||2017||39|f||t|t|18||Years||1|4|
265466846|NCT04268706|5|||2020|||f||t|f|12|75|Years|Years|2|11|
265665778|NCT04657965|1|||2020|||f||f|t|||||2|12|
265713606|NCT04336501|1|||2020|||f||f|t|3|65|Years|Years|1||
265854732|NCT04951141|1|||2021|||f||f|t|18|69|Years|Years|1|2|
265692166|NCT04534634|1|||2020|||f||f|t|12|65|Years|Years|1|5|
265671891|NCT04601181|1|||2020|||f||f|t|3|70|Years|Years|2|2|
265722251|NCT05531708|1|||2022|||f||f|t|18|70|Years|Years|3|2|
265479870|NCT03155191|11|||2017|||f||f|f|16||Years||2||
265655702|NCT03528421|1|||2018|||f||f|t|18||Years||1|1|
265476604|NCT05085444|1|||2021|||f||f|t|||||2|6|
265881123|NCT03240328|1|||2017|||f||f|t|18|60|Years|Years|1|2|1
265473044|NCT03615313|1|||2018|||f||f|t|18|80|Years|Years|1|3|2
265865277|NCT03366350|1|||2017|||f||f|t||70||Years|1|3|
265525486|NCT04318327|9|||2020|||f||t|f|18||Years||3|13|
265730343|NCT05654077|1|||2022|||f||f|t|18|75|Years|Years|1|6|
265503024|NCT05510596|1|||2022|||f||f|t|18||Years||1|16|
265828340|NCT03182803|1|||2017|||f||f|t|18|80|Years|Years|1|1|5
265524422|NCT03624036|22|228|19|2018||27|t|12|t|f|18||Years||1|3|
265487380|NCT04191941|1|||2019|||f||f|t||70||Years|1|5|
265666292|NCT03497533|1|||2018|||f||f|t|18|68|Years|Years|1|5|
265712170|NCT05239676|1|||2021|||f||f|t|18||Years||2|4|
265643019|NCT05379569|1|||2022|||f||f|t|18|55|Years|Years|1|3|
265614452|NCT05451212|5|||2022|||f||t|f|18||Years||1|4|5
265615302|NCT05077527||||2021|||f|||f|18||Years||2|4|2
265892382|NCT03890198|1|||2019||10|f||f|t|18|75|Years|Years|5|4|
