id|nct_id|name|downcase_name
56308378|NCT04781634|B-ALL|b-all
56370819|NCT01953900|Osteosarcoma|osteosarcoma
56297347|NCT02194374|Leukemia|leukemia
56298352|NCT03672253|Multiple Myeloma|multiple myeloma
56298353|NCT03672253|Multiple Myeloma in Relapse|multiple myeloma in relapse
56298354|NCT03672253|Multiple Myeloma Progression|multiple myeloma progression
56298368|NCT02905188|Hepatocellular Carcinoma|hepatocellular carcinoma
56298533|NCT04952272|Lung Cancer|lung cancer
56298534|NCT04952272|Hepatocellular Carcinoma|hepatocellular carcinoma
56298535|NCT04952272|Solid Tumor|solid tumor
56300558|NCT04969354|Immunotherapy|immunotherapy
56301685|NCT04732845|Non Hodgkin Lymphoma|non hodgkin lymphoma
56301686|NCT04732845|Acute Lymphoblastic Leukemia|acute lymphoblastic leukemia
56301687|NCT04732845|Chronic Lymphocytic Leukemia|chronic lymphocytic leukemia
56302041|NCT03434769|Non-Hodgkin Lymphoma|non-hodgkin lymphoma
56303706|NCT04430530|CD19 Negative B-cell Malignancies|cd19 negative b-cell malignancies
56303965|NCT04861480|Multiple Myeloma in Relapse|multiple myeloma in relapse
56303966|NCT04861480|Multiple Myeloma, Refractory|multiple myeloma, refractory
56304129|NCT04429438|B Cell Lymphoma (BCL)|b cell lymphoma (bcl)
56304487|NCT04850560|Objective Response Rate|objective response rate
56304969|NCT01475058|Philadelphia Chromosome Negative Adult Precursor Acute Lymphoblastic Leukemia|philadelphia chromosome negative adult precursor acute lymphoblastic leukemia
56304970|NCT01475058|Philadelphia Chromosome Positive Adult Precursor Acute Lymphoblastic Leukemia|philadelphia chromosome positive adult precursor acute lymphoblastic leukemia
56304971|NCT01475058|Recurrent Adult Acute Lymphoblastic Leukemia|recurrent adult acute lymphoblastic leukemia
56304972|NCT01475058|Recurrent Adult Diffuse Large Cell Lymphoma|recurrent adult diffuse large cell lymphoma
56304973|NCT01475058|Recurrent Adult Immunoblastic Large Cell Lymphoma|recurrent adult immunoblastic large cell lymphoma
56304974|NCT01475058|Recurrent Mantle Cell Lymphoma|recurrent mantle cell lymphoma
56304975|NCT01475058|Refractory Chronic Lymphocytic Leukemia|refractory chronic lymphocytic leukemia
56305290|NCT03463928|B Cell Leukemia|b cell leukemia
56305553|NCT04697940|Relapsed and Refractory B-cell Non-Hodgkin's Lymphoma|relapsed and refractory b-cell non-hodgkin's lymphoma
56305554|NCT04697940|Decitabine-primed Tandem CD19/CD20 CAR T Cells|decitabine-primed tandem cd19/cd20 car t cells
56306254|NCT04828174|Peripheral T Cell Lymphoma|peripheral t cell lymphoma
