id|nct_id|name|removed
45965785|NCT04966143|China|f
45448317|NCT03602612|United States|f
45577803|NCT05400109|United States|f
45578553|NCT05035407|United States|f
45578633|NCT05003895|United States|f
45966515|NCT04430595|China|f
45579855|NCT04420754|United States|f
45579857|NCT04416984|United States|f
45579858|NCT04416984|Canada|f
45837344|NCT05155189|China|f
45580035|NCT04227275|United States|f
45449365|NCT02050347|United States|f
45967325|NCT04853277|United States|f
45837484|NCT00924326|United States|f
45449540|NCT03287817|United States|f
45449541|NCT03287817|United Kingdom|f
45449542|NCT03287817|Netherlands|t
45580287|NCT04029038|United States|f
45967741|NCT03232619|China|f
45967801|NCT04792593|China|f
45449689|NCT05445765|China|f
45967872|NCT05473221|China|f
45968074|NCT04745559|United States|f
45968132|NCT05554575|China|f
45968133|NCT01318317|United States|f
45968157|NCT04325841|China|f
45968370|NCT05538195|China|f
45450533|NCT05141253|China|f
45838037|NCT03483688|China|f
45969514|NCT05515185|China|f
45451535|NCT03029273|China|f
45581570|NCT02315612|United States|f
45969652|NCT03173417|China|f
45838541|NCT03716856|China|f
45838576|NCT03902197|China|f
45451924|NCT04499573|Russian Federation|f
45452497|NCT04351022|China|f
45452588|NCT04835519|China|f
45970205|NCT04280133|United States|f
45707553|NCT04185038|United States|f
45838953|NCT03881761|China|f
45970851|NCT05422521|France|f
45583223|NCT05539430|United States|f
45453965|NCT02959151|China|f
45454077|NCT05362331|United States|t
45839849|NCT03711864|China|f
45972093|NCT03191773|China|f
45583768|NCT01853631|United States|f
45972284|NCT03182803|China|f
45841139|NCT05470777|China|f
45841495|NCT04257175|Israel|f
45841606|NCT03931421|China|f
45841646|NCT04823091|China|f
45972659|NCT05385263|Israel|f
45972747|NCT05085431|China|f
45707741|NCT02723942|China|f
45707744|NCT05015972|China|f
45707759|NCT02715362|China|f
45584372|NCT04601831|United States|f
45842096|NCT03814447|China|f
45584416|NCT04316624|China|f
45842140|NCT05164042|China|f
45842308|NCT03815383|China|f
45584503|NCT04036019|China|f
45454748|NCT04827745|United States|f
45973257|NCT04846439|China|f
45455045|NCT02445222|United States|f
45455046|NCT02445222|Australia|f
45455047|NCT02445222|Austria|f
45455048|NCT02445222|Belgium|f
45455049|NCT02445222|Canada|f
45455050|NCT02445222|Denmark|f
45455051|NCT02445222|Finland|f
45455052|NCT02445222|France|f
45455053|NCT02445222|Germany|f
45455054|NCT02445222|Italy|f
45455055|NCT02445222|Japan|f
45455056|NCT02445222|Netherlands|f
45455057|NCT02445222|Norway|f
45455058|NCT02445222|Singapore|f
45455059|NCT02445222|Spain|f
45455060|NCT02445222|Taiwan|f
45455061|NCT02445222|United Kingdom|f
45973378|NCT02659943|United States|f
45455123|NCT02976857|China|f
45455239|NCT04003649|United States|f
45455345|NCT02975687|China|f
45973560|NCT05017883|China|f
45455909|NCT03430011|United States|f
45708082|NCT02706782|China|f
45708320|NCT04154709|China|f
45457560|NCT04740203|China|f
45457692|NCT00586391|United States|f
45457926|NCT05445011|China|f
45458391|NCT05326243|Taiwan|f
45974741|NCT05131763|China|f
45974770|NCT05097443|China|f
45843280|NCT03790891|China|f
45459054|NCT03019055|United States|f
45588386|NCT05373147|China|f
45843537|NCT05438368|China|f
45843566|NCT05234190|United Kingdom|f
45460602|NCT05620342|United States|f
45461172|NCT05257083|Australia|f
45461173|NCT05257083|Belgium|f
45461174|NCT05257083|Canada|f
45461175|NCT05257083|Czechia|f
45461176|NCT05257083|France|f
45461177|NCT05257083|Germany|f
45461178|NCT05257083|Greece|f
45461179|NCT05257083|Israel|f
45461180|NCT05257083|Italy|f
45461181|NCT05257083|Japan|f
45461182|NCT05257083|Korea, Republic of|f
45461183|NCT05257083|Netherlands|f
45461184|NCT05257083|Norway|f
45461185|NCT05257083|Spain|f
45461186|NCT05257083|Sweden|f
45461187|NCT05257083|Switzerland|f
45461188|NCT05257083|United Kingdom|f
45589868|NCT03085173|United States|f
45461662|NCT05032820|United States|f
45461749|NCT05000450|United States|f
45462036|NCT04855136|United States|f
45462037|NCT04855136|Spain|f
45462091|NCT04792489|United States|f
45975625|NCT05302037|Singapore|f
45709932|NCT04033302|China|f
45462672|NCT04467853|China|f
45590984|NCT04514029|United States|f
45462970|NCT04093596|United States|f
