id|nct_id|design_group_id|intervention_id
73449949|NCT02081937|59923946|56545651
73450619|NCT05472610|59924564|56546171
73451321|NCT05243212|59925162|56546697
73451322|NCT05243212|59925161|56546697
73451373|NCT05128786|59925206|56546736
73451510|NCT04782193|59925329|56546840
73451511|NCT04781634|59925330|56546841
73451512|NCT04776330|59925331|56546842
73451568|NCT04649983|59925381|56546892
73451569|NCT04648475|59925382|56546893
73657111|NCT05483491|60091062|56693790
73657112|NCT05483491|60091062|56693791
73451630|NCT04511871|59925442|56546937
73451659|NCT04348643|59925469|56546965
73451688|NCT04272151|59925494|56546981
73451689|NCT04272125|59925495|56546982
73451690|NCT04271800|59925496|56546983
73451691|NCT04271644|59925497|56546984
73451692|NCT04271410|59925498|56546985
73451693|NCT04265963|59925499|56546986
72833498|NCT05315778|59411531|56058911
73452277|NCT04788472|59925914|56547394
72628203|NCT04410900|59249830|55904047
72628204|NCT04410900|59249829|55904047
72628205|NCT04410900|59249830|55904048
72628206|NCT04410900|59249829|55904048
72628327|NCT04025216|59249935|55904134
72628328|NCT04025216|59249934|55904134
72628329|NCT04025216|59249935|55904135
72628330|NCT04025216|59249934|55904135
72628331|NCT04025216|59249935|55904136
72628332|NCT04025216|59249934|55904136
72835054|NCT05464719|59412689|56059979
72835232|NCT05274451|59412833|56060112
72836028|NCT04432506|59413368|56060589
72836029|NCT04432506|59413368|56060590
72836030|NCT04432506|59413368|56060591
72836031|NCT04432506|59413368|56060592
72836344|NCT04071366|59413499|56060781
72836345|NCT04071366|59413500|56060781
72836346|NCT04071366|59413499|56060782
72836347|NCT04071366|59413500|56060783
72836348|NCT04071366|59413500|56060784
72836594|NCT03435796|59413656|56060962
73247094|NCT03980691|59756258|56397096
72837204|NCT01087294|59413974|56061311
72837205|NCT01087294|59413975|56061311
72837206|NCT01087294|59413974|56061312
72837207|NCT01087294|59413975|56061312
72837208|NCT01087294|59413976|56061313
72837688|NCT03882840|59414481|56061677
72837712|NCT03198546|59414497|56061692
73456426|NCT02915445|59929483|56550466
73042550|NCT04322292|59587860|56242106
72629882|NCT05650749|59251010|55905136
72629883|NCT05650749|59251011|55905136
72838110|NCT03590574|59414806|56061995
73457034|NCT04703686|59930037|56550925
73457035|NCT04703686|59930037|56550926
72630162|NCT05480449|59251163|55905280
72630163|NCT05480449|59251164|55905280
72630698|NCT04789408|59251592|55905601
72630699|NCT04789408|59251592|55905602
72630700|NCT04789408|59251592|55905603
72630925|NCT04318678|59251737|55905747
72630926|NCT04318678|59251737|55905748
72630927|NCT04318678|59251737|55905749
72630928|NCT04318678|59251737|55905750
72630929|NCT04318678|59251737|55905751
72631209|NCT03829540|59251909|55905918
73457707|NCT03366350|59930672|56551429
73458649|NCT04503980|59931480|56552145
72839528|NCT05665062|59415936|56062985
72839529|NCT05665062|59415936|56062986
72839530|NCT05665062|59415936|56062987
72839531|NCT05665062|59415936|56062988
72632716|NCT01460901|59252958|55907008
72632755|NCT04888468|59252994|55907044
72839590|NCT05322330|59415995|56063037
72839591|NCT05322330|59415995|56063038
72839592|NCT05322330|59415995|56063039
72839593|NCT05322330|59415995|56063040
72632809|NCT04556266|59253031|55907105
72632810|NCT04556266|59253032|55907105
72632811|NCT04556266|59253033|55907105
72632812|NCT04556266|59253034|55907105
72634791|NCT04196205|59254499|55908587
72636434|NCT02992834|59255846|55909831
72636435|NCT02992834|59255847|55909832
