id|nct_id|group_type|title|description
59799637|NCT05666700|Experimental|Cilta-cel|
59294207|NCT05066646|Experimental|CT103A in relapsed and refractory multiple myeloma patients|CT103A autologous CAR-T cells will be infused at RP2D of 1.0 x 10^6 CAR+ T cells after receiving lymphodepleting chemotherapy
59799938|NCT03854994|Experimental|Anti-CD19 CAR-T Cells Injection|Dosage form：injection Dosage:1-5x10^6/kg, 70ml/time, The CAR-T cells will be administered by i.v. injection over 20-30 minutes Frequency: total one time
59968973|NCT04935580|Experimental|GC012F treatment|GC012F will be infused at a dose of1- 3 x 10^5 CAR+ T cells/kg after receiving lymphodepleting chemotherapy. Lenalidomide maintenance therapy will be given post month 6 at physicians' choice.
59800453|NCT03631576|Experimental|Arm 1|CD123/CLL1 CAR-T Cells treat
59632081|NCT02729493|Experimental|Single-arm|Name:The Chimeric Antigen Receptor T Cell Immunotherapy (CAR-T) Dosage form：injection Dosage:100ml/time Frequency:0 days,the first day,the second day,28days,29days Duration:total five times
59366710|NCT04003649|Experimental|Arm I (nivolumab, ipilimumab, IL13Ralpha2 CAR T cells)|Patients receive nivolumab intravenously (IV) over 60 minutes and ipilimumab IV over 90 minutes on day -14. Patients then receive IL13Ralpha2 CAR T cells infusion over 5 minutes via Rickham catheter (ICV/intracranital ICT) every week and nivolumab IV over 30 minutes every other week. Treatment repeats weekly for up to 4 cycles in the absence of disease progression or unacceptable toxicity. After cycle 4, patients may receive additional CAR T cells weekly and nivolumab IV every other week or monthly at the discretion of the principal investigator and oncologist.
59295705|NCT04488354|Experimental|CLBR001 treated patients|Patients who have been administered with CLBR001
59366711|NCT04003649|Experimental|Arm II (nivolumab, IL13Ra2 CAR T cells)|Patients receive IL13Ralpha2 CAR T cells infusion over 5 minutes via Rickham catheter (ICV/ICT) every week and nivolumab IV over 30 minutes every other week. Treatment repeats weekly for up to 4 cycles in the absence of disease progression or unacceptable toxicity. After cycle 4, patients may receive additional CAR T cells weekly and nivolumab IV every other week or monthly at the discretion of the principal investigator and oncologist.
59801751|NCT05404048|Experimental|PD-L1 PET-imaging|The main intervention of this study is 89Zr-atezolizumab PET-scan combined with a low-dose CT-scan. The PET/CT scan will be performed before infusion of CAR T-cell therapy. In patients with an end-of-treatment F-FDG positive PET-signal a second 89Zr-atezolizumab PET/CT-scan will be performed.
59296095|NCT05310591|Experimental|Patients with MRD negative disease status: Time to Event Continual Reassessment Method (TITE-CRM)|
59296096|NCT05310591|Experimental|For relapsed patients|
59366712|NCT04003649|Experimental|Arm III (IL13Ra2 CAR T cells)|Patients receive IL13Ralpha2 CAR T cells infusion over 5 minutes via Rickham catheter (ICV/ICT) every week. Treatment repeats weekly for up to 4 cycles in the absence of disease progression or unacceptable toxicity. After cycle 4, patients may receive additional CAR T cells weekly at the discretion of the principal investigator and oncologist.
59971224|NCT03252171|Experimental|Experimental: CAR-T cell immunotherapy|Enrolled patients will receive CAR-T cell immunotherapy with a novel specific Chimeric antigen receptor aiming at GD2 antigen by infusion.
59971225|NCT03252171|No Intervention|No Intervention|
59296863|NCT05063682|Experimental|Treatment|Patients receive EGFRvIII -CAR T cells intracerebroventricular over 15 minutes on day 1. Patients may receive additional cycles based on the persistence of the cells.
59296997|NCT05060796|Experimental|EGFR CAR-T|Group: 3 dose levels
59972244|NCT05354375|Experimental|CAR-T cell immunotherapy|The registered patients will receive CAR-T cell immunotherapy for the new specific chimeric antigen receptor of PSMA antigen by infusion.
