id|nct_id|outcome_type|measure|time_frame|population|description
190331809|NCT02965092|primary|Number of participants with adverse events|5 years||Therapy-related adverse events were recorded and assessed according to the National Cancer Institute's Common Terminology Criteria for Adverse Events (CTCAE, Version 4.0)
190331810|NCT02965092|secondary|One-month remission rate|1 month||Response of B-ALL to CAR-T therapy was assessed on day 30 (±2), against the National Comprehensive Cancer Network (NCCN, Version 1.2015).
190331811|NCT02965092|secondary|Overall survival|5 years||OS was calculated from the first CAR-T cell infusion to death or last follow-up (censored).
190331812|NCT02965092|secondary|Event-free survival|5 years||EFS was calculated from the first CAR-T cell infusion to death, progression of the disease, relapse or gene recurrence, whichever came first, or last visit (censored).
190331813|NCT02965092|secondary|Relapse-free survival|5 years||RFS was calculated from the first CAR-T cell infusion to relapse or last visit (censored).
190331814|NCT02965092|secondary|Rate and quantity of anti-CD19 CAR-T cells in bone marrow cells and peripheral blood cells|5 years||In vivo (bone marrow and peripheral blood) rate and quantity of CAR-T cells were determined by means of flow cytometry and qPCR.
190890089|NCT02765243|primary|Number of patients with adverse events.|1yr||Determine the toxicity profile of the 4SCAR-GD2-modified T cells with Common Toxicity Criteria for Adverse Effects (CTCAE) version 4.0.
190890090|NCT02765243|secondary|Anti-tumor effects|1yr||Response will be determined by the evaluation of CT/MRI scans and bone marrow biopsy. Assessment of tumour response from baseline according to International Neuroblastoma Response Criteria (INRC).
190890091|NCT02765243|secondary|To evaluate the expansion and persistence of anti-GD2 CAR T cells|1yr||Investigators will monitor the expansion and functional persistence of 4SCAR-GD2 T cells in the peripheral blood of patients and the correlation with antitumor effects.
190890092|NCT02765243|secondary|Survival time of the patients|1yr||Evaluate the survival time of the patients treated with the 4SCAR-GD2 T cells, including progression free survival (PFS) and overall survival (OS)
191993821|NCT03322735|primary|Incidence of Treatment-Emergent Adverse Events|1 year||number of participants with adverse events
191993822|NCT03322735|secondary|Persistence of the BCMA CAR+ T cells|1 year||determine duration of in vivo survival of BCMA CAR-T cells
191993823|NCT03322735|secondary|anti-tumor responses of BCMA CAR-T cells|1 year||
191443617|NCT03370198|primary|The occurrence of DLTs until 14 days after the last NKR-2 study treatment administration (Visit Day 43)|From study treatment start (Day 1) till 14 days after the last NKR-2 study treatment administration (Day 43)||A DLT is defined as any Grade 3 or higher toxicity and any Grade 2 or higher autoimmune toxicity
