id|nct_id|allocation|intervention_model|observational_model|primary_purpose|time_perspective|masking|masking_description|intervention_model_description|subject_masked|caregiver_masked|investigator_masked|outcomes_assessor_masked
32726631|NCT04093648||Sequential Assignment||Treatment||None (Open Label)||||||
32634756|NCT03765177|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32635150|NCT03682744|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32572408|NCT05616468|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32635332|NCT05638828|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32542469|NCT03084380|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32635623|NCT05618041|N/A|Single Group Assignment||Treatment||None (Open Label)|Open Label|Single Group Assignment||||
32911958|NCT04473937|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32636422|NCT05641428|Randomized|Parallel Assignment||Treatment||None (Open Label)||||||
32637198|NCT02958397|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32912158|NCT04923919|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32638879|NCT05432401|N/A|Single Group Assignment||Treatment||None (Open Label)||TAA05 Injection||||
32639324|NCT05576181|N/A|Single Group Assignment||Treatment||None (Open Label)||Single Group Assignment||||
32639335|NCT05640713|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32639984|NCT03960060|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32641069|NCT01818323|N/A|Single Group Assignment||Treatment||None (Open Label)|Open label|"In this dose escalation study, the intervention consists of intratumoral delivery of panErbB-specific CAR T cells, administered alone or following lymphodepleting chemotherapy with fludarabine and cyclophosphamide. In cohort 7, patients will also receive 3 doses of Nivolumab, the first of which is administered 24h before CAR T-cells~This note has been added in response to the warning  WARNING: Phase 1/Phase 2 studies typically have at least one Intervention Type of Drug, Biological/Vaccine or Combination Product."||||
32642635|NCT05020444|Non-Randomized|Single Group Assignment||Treatment||None (Open Label)||||||
32642750|NCT04214392|Non-Randomized|Sequential Assignment||Treatment||None (Open Label)||||||
32910384|NCT02203825|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32644342|NCT05432882|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32644374|NCT02958384|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32645303|NCT04727008|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32544683|NCT05370430|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32647157|NCT02963038|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32647506|NCT02968472|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32819230|NCT03574168|N/A|Single Group Assignment||Treatment||None (Open Label)||||||
32544840|NCT04381741|N/A|Sequential Assignment||Treatment||None (Open Label)||||||
