id|nct_id|description
22173192|NCT05020444|"This is a two-part, non-randomized, open label, single-site Phase 1 study of TriPRIL CAR T Cells as a treatment for relapsed or refractory multiple myeloma.~This study consists of 2 parts:~Part A (Dose Escalation) : The investigators are looking to find the highest dose of the study intervention that can be administered safely without severe or unmanageable side effects, not everyone who participates in this research study will receive the same dose of the study intervention. The dose given will depend on the number of participants who have been enrolled prior and how well the dose was tolerated Once determined, this highest dose will then be used in the dose expansion part of the study.~Part B (Expansion Cohort):Participants will be treated at the respective dose as determined during Part A (Dose Escalation).~TriPRIL CAR T Cells is an investigational treatment that uses a person's own immune cells, called T cells, to try to kill their cancerous cells. T cells fight infections and can also kill cancer cells in some cases. The U.S. Food and Drug Administration (FDA) has not approved TriPRIL CAR T Cells as a treatment for any disease.This is the first time that TriPRIL CAR T Cells will be given to humans.~The research study procedures include screening for eligibility and study treatment including evaluations and follow up visits.~Participants will receive one infusion of the study treatment and will be followed for up to 2 years.~It is expected that about 18 people will take part in this research study."
22173273|NCT04214392|"PRIMARY OBJECTIVES:~I. Assess the feasibility and safety of dual delivery of chlorotoxin (EQ)-CD28-CD3zeta-CD19t-expressing CAR T-lymphocytes NCI SYs (chlorotoxin [CLTX]-CAR T cells) for participants with MMP2+ recurrent or progressive glioblastoma.~II. Determine the maximum tolerated dose schedule (MTD) and a recommended phase 2 dosing plan (RP2D) for dual delivery of CLTX-CAR T cells for participants with MMP2+ recurrent or progressive glioblastoma.~SECONDARY OBJECTIVES:~I. Describe persistence, expansion, and phenotype of endogenous and CLTX-CAR CAR T cells in tumor cyst fluid (TCF), peripheral blood (PB), and cerebrospinal fluid (CSF).~II. Describe cytokine levels in PB, TCF, and CSF over the study period.~III. In research participants who receive the full schedule of 3 cycles of CLTX-CAR T cells:~IIIa. Estimate the six month progression free survival (PFS) rate. IIIb. Estimate the nine month overall survival (OS) rate. IIIc. Estimate disease response rates. IIId. Estimate median overall survival (OS).~IV. In study participants who undergo an additional biopsy/resection or autopsy:~IVa. Evaluate CAR T cell persistence in the tumor tissue and the location of the CAR T cells with respect to the injection site.~IVb. Evaluate CLTX-targeted antigen expression levels on tumor tissue pre and post CAR T cell therapy.~V. Use mathematical modeling of tumor growth to evaluate benefit of treatment.~OUTLINE: This is a dose-escalation study.~Patients receive chlorotoxin (EQ)-CD28-CD3zeta-CD19t-expressing CAR T-lymphocytes NCI SYs via dual delivery starting on day 0 for 3 weekly cycles over 28 days. Each treatment cycle begins with one or two CAR T cell infusions (one at each catheter site) and lasts for 1 week. Beginning 1 week after cycle 3, patients may continue with CAR T treatment per principal investigator and patient discretion. Treatment continues in the absence of disease progression or unacceptable toxicity.~After completion of study treatment, patients are followed up at 30 days, 3, 6, 9, and 12 months, and then yearly for up to 15 years."
22235743|NCT05627323|"This is a phase 1b, multicenter, feasibility/safety study of the dual delivery (administered through both intracavitary/intratumoral [ICT] and intraventricular [ICV] catheters) of CHM-1101, an autologous chlorotoxin-chimeric antigen receptor (CLTX-CAR) cell product, in participants with recurrent or progressive GBM. The investigational product is identified as CHM-1101 (CLTX(EQ)28ζ/CD19t+ CAR T cells).~PRIMARY OBJECTIVE~• To determine the recommended phase 2 dose (RP2D) for dual ICT and ICV delivery of CHM-1101 in participants with MMP2+ recurrent or progressive GBM.~SECONDARY OBJECTIVES~To assess the feasibility and safety of dual delivery of CHM-1101.~To describe the persistence, expansion, immunogenicity, and phenotype of CHM-1101 and endogenous cells tumor cyst fluid (TCF), peripheral blood (PB), and cerebrospinal fluid (CSF).~In participants who receive at least 2 of the 3 planned doses of CHM-1101 in Cycle 1:~Estimate the progression-free survival (PFS) rates~Estimate the overall survival (OS) rates~To evaluate the disease response rate."
22235822|NCT05117008|"INTERVENTION DESCRIPTION:~Subjects will receive belantamab mafodotin as maintenance therapy. Belantamab mafodotin will be administered IV over approximately 30 minutes at the recommended dose of 2.5 mg/kg IV over 30 minutes on day 1 of every eight-week (+/- three days) cycle for a maximum of 12 cycles. Maintenance therapy with belantamab mafodotin will continue until progressive disease (PD), death, unacceptable toxicity, withdrawal of consent or end of study (maximum of 12 cycles), whichever occurs first. Dose interruptions or reductions may be required to address potential drug-associated toxicities. The dose to be administered will be based on actual body weight calculated at baseline. However, if the change in body weight is greater than 10%, the dose will be recalculated based on the actual body weight at the time of dosing. The dose may be reduced to address toxicity."
22298913|NCT05155189|This study plans to enroll 4-20 patients to assess the safety of C-CAR031. Subjects who meet the eligibility criteria will receive a single dose of C-CAR031 injection, and will be followed up post treatment for safety monitoring. The follow up period will last 12 months.
22298984|NCT00924326|"BACKGROUND:~We have constructed a retroviral vector that encodes an anti-cluster of differentiation 19 (CD19) chimeric antigen receptor (CAR) that recognizes the CD19 antigen. This chimeric receptor also contains the signaling domains of cluster of differentiation 28 (CD28) and cluster of differentiation 3 (CD3)-zeta. The retroviral vector can be used to mediate genetic transfer of this CAR to T cells with high efficiency (> 50%) without the need to perform any selection.~In co-cultures with CD19-expressing target cells, anti-CD19-CAR-transduced T-cells secreted significant amounts of interferon gamma (IFN-y) and interleukin 2 (IL-2).~We have developed a process for cryopreserving the cell product which may lead to the ability for this product to be manufactured at a central location and shipped to other institutions for treatment of a broader patient population~OBJECTIVE:~- Primary objective:~--With the approval of amendment S, to determine the safety and feasibility of the administration of cryopreserved anti-CD19-CAR engineered peripheral blood lymphocytes with a non-myeloablative conditioning regimen in patients with Bcell lymphomas.~ELIGIBILITY:~Patients of 18 years of age or older must:~Have a CD19-expressing B-cell lymphoma~Be a non-responder to, or recurred after one or more standard chemotherapy-containing regimens for their malignancy~Currently require treatment due to progressive malignancy~Be deemed to be incurable by standard therapy~Patients may not have:~A history of allogeneic stem cell transplantation~Central nervous system (CNS) disease~DESIGN:~Peripheral blood mononuclear cells (PBMC) obtained by leukapheresis (approximately 5.0x 10^9 cells) will be cultured in the presence of anti-CD3 (muromonab-CD3 (OKT3)) and aldesleukin in order to stimulate T-cell proliferation.~Transduction is initiated by exposure of approximately 1.0x 10^8 to 5.0x 10^8 cells to retroviral vector supernatant containing the anti-CD19 CAR.~With the approval of Amendment S, patients will receive fludarabine and cyclophosphamide chemotherapy (NMA) for lymphodepletion, followed by cryopreserved anti-CD19-CAR-transduced T-cells.~Patients will be followed until disease progression.~Patients who have responded to treatment and then progress may receive one retreatment."
22235841|NCT04984356|This is a first-in-human, multicenter, Phase 1/2, single-agent study in patients with R/R T-ALL/T-LBL who have exhausted other treatment options. The study will consist of two phases, Phase 1 and Phase 2. During the Dose Escalation segment (Phase 1) up to 24 patients will be treated with 1 dose of WU-CART-007, in up to 4 dose levels until maximum tolerated dose (MTD) or maximum administered dose (MAD) is determined. The dose escalation segment will enroll successive cohorts of 3 to 6 patients using a standard 3 + 3 design. Once the recommended phase 2 dose (RP2D) is defined, the Phase 2 portion (Cohort Expansion) will enroll expansion cohorts.
22299286|NCT03483688|The study will include the following sequential phases: Screening, Pre- Treatment (Cell Product Preparation; Lymphodepleting Chemotherapy), Treatment and Follow-up
22361645|NCT04447573|"This is a study to evaluate the safety, feasibility and efficacy of BCMA CAR-T in the treatment of relapsed or refractory multiple myeloma.~The Main research objectives:~To evaluate the safety and efficacy of BCMA CAR-T in patients with relapsed or refractory multiple myeloma~The Secondary research objectives:~To investigate the cytokinetic characteristics of BCMA CAR-T in patients with relapsed or refractory multiple myeloma."
22361924|NCT04506983|GPC3-CAR-T cells is a novel CAR-T cells which designed for the cell membrane protein Glypican-3. Patients with hepatocellular carcinoma will be enrolled, and GPC3-CAR-T cells will be intravenously infused with a escalated dose of 1×106, 3×106, 10×106 GPC3-CAR-T cells. Tumor markers and GPC3-CAR-T cell proliferation will be monitored in the scheduled time (day 0, day 4, day 7, day 10, day 14, day 28). The aim of this clinical trial is to evaluate the safety and efficacy of GPC3-CAR-T cells therapy in patients with hepatocellular carcinoma. The primary endpoint is the safety of CAR-T cells including the effect ratio of CRS and ICANS, ORR. The secondary endpoint is the CAR-T ratio and CAR gene copied number in PB, PFS, OS and DOR.
22362002|NCT03380039|"This study is designed to determine the safety, tolerability and engraftment potential of anti-BCMA lentivirus-transduced autologous T cells in patients with refractory or relapsed multiple myeloma.~Primary objectives:~Determine the safety and tolerability of CAR-BCMA T cells (autologous T cells transduced with chimeric antigen receptors recognizing BCMA) in patients with refractory or relapsed multiple myeloma.~Observe the cytokinetics of CAR-BCMA T cells.~Secondary objectives:~Observe the anti-tumor response of CAR-BCMA T cells to refractory or relapsed multiple myeloma (evaluated by diagnostic criteria International Myeloma Working Group (IMWG2014 version) as CR, sCR, ICR, MCR or VGPR).~Make an evaluation on the distribution and in vivo survival of CAR-BCMA T cells in peripheral blood, lymph node, and bone marrow.~Observe the immunogenicity of CAR-BCMA T cells, and determine if there is anti-BCMA scFv cellular immune response and anti-BCMA scFv humoral immune response.~Observe the changes of cell subsets of CAR-BCMA T cells against T cells (Tcm, central memory T lymphocytes; Tem, effector memory T lymphocytes; Treg, regulatory T lymphocytes)."
22110273|NCT04531046|"Axicabtagene ciloleucel (axi-cel) is a chimeric antigen receptor (CAR) T-cell therapy directed against CD19 which has been approved for the treatment of relapse/refractory diffuse large B-cell lymphoma DLBCL and primary mediastinal large B-cell lymphoma (PMBCL) after 2 or more lines of systemic therapy.~But administrating CAR T-cells earlier in the therapeutic strategy may be beneficial to patients.~Axi-cel will improve the outcome of patients with DLBCL who are refractory or relapse early (i.e. within 1 year from end of treatment) after first-line therapy and who are not eligible for Autologous Stem Cell Transplantation (ASCT).~Transplant-ineligible patients will include those who are deemed ineligible for high-dose chemotherapy and Hematopoietic Stem Cell Transplantation (HSCT) due to age, comorbidity, or prior ASCT.~The primary endpoint will be complete metabolic response (CMR) at 3 months after Axi-cel infusion."
22362366|NCT05127135|This is a single-center, nonrandomized, open-label, dose-escalation study to evaluate the safety and clinical activity of ThisCART7 in patients with refractory or relapsed CD7 positive T cell malignancies, such as T-cell Acute Lymphoblastic Leukemia, T-cell Acute Lymphoblastic Lymphoma and T-cell Non-Hodgkin Lymphoma. The dose range is 0.5-6 x 10^6 cells per kg body weight.
22362514|NCT03349255|"The molecular target for ET1402L1-CART is alpha fetoprotein (AFP), which is expressed on 60-80 percent of hepatocellular carcinoma (HCC). ET1402L1-CART is a second generation (CD28/CD3ζ) chimeric antigen receptor (CAR) engineered with a human single-chain variable antibody fragments (scFv) against the anti-HLA-A02/AFP complex. This clinical study evaluates the safety and pharmacokinetics of ET1402L1-CART-cells in patients with HCC who have no available curative therapeutic options and a poor overall prognosis.~Patients with lesion(s) localized in liver will be enrolled in the IA arm, with the ET1402L1-CART-cells administered via intrahepatic artery catheter. Patients with extrahepatic metastasis will be enrolled in the IV arm, with the ET1402L1-CART-cells administered through intravenous infusion."
22299534|NCT03716856|"This study is designed to determine the safety, tolerability and engraftment potential of anti-BCMA lentivirus-transduced autologous T cells in patients with refractory or relapsed multiple myeloma.~Primary objectives:~Determine the safety and tolerability of CAR-BCMA T cells (autologous T cells transduced with chimeric antigen receptors recognizing BCMA) in patients with refractory or relapsed multiple myeloma.~Observe the cytokinetics of CAR-BCMA T cells.~Secondary objectives:~Observe the anti-tumor response of CAR-BCMA T cells to refractory or relapsed multiple myeloma (evaluated by diagnostic criteria International Myeloma Working Group (IMWG2014 version) as CR, sCR, ICR, MCR or VGPR).~Make an evaluation on the distribution and in vivo survival of CAR-BCMA T cells in peripheral blood, lymph node, and bone marrow.~Observe the immunogenicity of CAR-BCMA T cells, and determine if there is anti-BCMA scFv cellular immune response and anti-BCMA scFv humoral immune response.~Observe the change of T cell subsets relative to CAR-BCMA T。 (Tcm, central memory T lymphocytes; Tem, effector memory T lymphocytes; Treg, regulatory T lymphocytes)."
22299557|NCT03902197|CD19+ B-ALL patients who have relapsed after murine-based CD19 CAR-T (CD19mCAR-T) treatment and/or have limited clinical response to CD19mCAR-T will be enrolled to receive CD19 hsCAR-T treatment.
22362811|NCT05430945|In this study, 100 patients with relapsed refractory multiple myeloma were proposed to undergo BCMA CAR-T cell therapy. Under the premise that its safety has been clarified in previous studies, further observation and evaluation of the effectiveness of BCMA CAR-T cell therapy for relapsed refractory multiple myeloma; At the same time, on the basis of expanding the sample size, more safety data on BCMA CAR-T cell treatment for relapsed refractory multiple myeloma were accumulated, including rare and delayed complications.
