id|nct_id|result_group_id|ctgov_group_code|period|reason|count|drop_withdraw_comment|reason_comment|count_units
31327142|NCT03288493|59585546|FG000|Overall Study|Withdrawal by Subject|4|||
31327143|NCT03288493|59585547|FG001|Overall Study|Withdrawal by Subject|0|||
31327144|NCT03288493|59585548|FG002|Overall Study|Withdrawal by Subject|0|||
31327145|NCT03288493|59585549|FG003|Overall Study|Withdrawal by Subject|0|||
31327146|NCT03288493|59585550|FG004|Overall Study|Withdrawal by Subject|0|||
31327147|NCT03288493|59585551|FG005|Overall Study|Withdrawal by Subject|2|||
31327148|NCT03288493|59585552|FG006|Overall Study|Withdrawal by Subject|0|||
31327149|NCT03288493|59585546|FG000|Overall Study|Significant progression of malignancy requiring alternative, medical, radiation or surgical interven|52|||
31327150|NCT03288493|59585547|FG001|Overall Study|Significant progression of malignancy requiring alternative, medical, radiation or surgical interven|3|||
31327151|NCT03288493|59585548|FG002|Overall Study|Significant progression of malignancy requiring alternative, medical, radiation or surgical interven|1|||
31327152|NCT03288493|59585549|FG003|Overall Study|Significant progression of malignancy requiring alternative, medical, radiation or surgical interven|6|||
31327153|NCT03288493|59585550|FG004|Overall Study|Significant progression of malignancy requiring alternative, medical, radiation or surgical interven|5|||
31327154|NCT03288493|59585551|FG005|Overall Study|Significant progression of malignancy requiring alternative, medical, radiation or surgical interven|10|||
31327155|NCT03288493|59585552|FG006|Overall Study|Significant progression of malignancy requiring alternative, medical, radiation or surgical interven|3|||
31327156|NCT03288493|59585546|FG000|Overall Study|Termination of the study by the PI, the sponsor, the study funder, the IRB/IEC or the FDA|6|||
31327157|NCT03288493|59585547|FG001|Overall Study|Termination of the study by the PI, the sponsor, the study funder, the IRB/IEC or the FDA|0|||
31327158|NCT03288493|59585548|FG002|Overall Study|Termination of the study by the PI, the sponsor, the study funder, the IRB/IEC or the FDA|0|||
31327159|NCT03288493|59585549|FG003|Overall Study|Termination of the study by the PI, the sponsor, the study funder, the IRB/IEC or the FDA|2|||
31327160|NCT03288493|59585550|FG004|Overall Study|Termination of the study by the PI, the sponsor, the study funder, the IRB/IEC or the FDA|0|||
31327161|NCT03288493|59585551|FG005|Overall Study|Termination of the study by the PI, the sponsor, the study funder, the IRB/IEC or the FDA|4|||
31327162|NCT03288493|59585552|FG006|Overall Study|Termination of the study by the PI, the sponsor, the study funder, the IRB/IEC or the FDA|0|||
31327163|NCT03288493|59585546|FG000|Overall Study|Death|2|||
31327164|NCT03288493|59585547|FG001|Overall Study|Death|0|||
31327165|NCT03288493|59585548|FG002|Overall Study|Death|0|||
31327166|NCT03288493|59585549|FG003|Overall Study|Death|0|||
31327167|NCT03288493|59585550|FG004|Overall Study|Death|0|||
31327168|NCT03288493|59585551|FG005|Overall Study|Death|0|||
31327169|NCT03288493|59585552|FG006|Overall Study|Death|0|||
31327170|NCT03288493|59585546|FG000|Overall Study|other reason not listed above|2|||
31327171|NCT03288493|59585547|FG001|Overall Study|other reason not listed above|0|||
31327172|NCT03288493|59585548|FG002|Overall Study|other reason not listed above|0|||
31327173|NCT03288493|59585549|FG003|Overall Study|other reason not listed above|0|||
31327174|NCT03288493|59585550|FG004|Overall Study|other reason not listed above|0|||
31327175|NCT03288493|59585551|FG005|Overall Study|other reason not listed above|0|||
31327176|NCT03288493|59585552|FG006|Overall Study|other reason not listed above|0|||
31327306|NCT02030847|59585805|FG000|Overall Study|Death|10|||
31327307|NCT02030847|59585805|FG000|Overall Study|Disease Progression|15|||
31327308|NCT02030847|59585805|FG000|Overall Study|New Cancer Therapy|8|||
31327309|NCT02030847|59585805|FG000|Overall Study|Physician Decision|3|||
31327310|NCT02030847|59585805|FG000|Overall Study|Withdrawal by Subject|1|||
30992958|NCT02028455|59172430|FG000|Enrollment and Preliminary Assessments|Went off study without receiving CAR T cell infusion|0|||
30992959|NCT02028455|59172431|FG001|Enrollment and Preliminary Assessments|Went off study without receiving CAR T cell infusion|0|||
30992960|NCT02028455|59172432|FG002|Enrollment and Preliminary Assessments|Went off study without receiving CAR T cell infusion|0|||
30992961|NCT02028455|59172433|FG003|Enrollment and Preliminary Assessments|Went off study without receiving CAR T cell infusion|0|||
30992962|NCT02028455|59172434|FG004|Enrollment and Preliminary Assessments|Went off study without receiving CAR T cell infusion|0|||
30992963|NCT02028455|59172435|FG005|Enrollment and Preliminary Assessments|Went off study without receiving CAR T cell infusion|0|||
30992964|NCT02028455|59172436|FG006|Enrollment and Preliminary Assessments|Went off study without receiving CAR T cell infusion|4|||
30992965|NCT02028455|59172437|FG007|Enrollment and Preliminary Assessments|Went off study without receiving CAR T cell infusion|17|||
30992966|NCT02028455|59172430|FG000|Treatment(T Cell Infusion) and Follow up|Death|4|||
30992967|NCT02028455|59172431|FG001|Treatment(T Cell Infusion) and Follow up|Death|9|||
30992968|NCT02028455|59172432|FG002|Treatment(T Cell Infusion) and Follow up|Death|3|||
30992969|NCT02028455|59172433|FG003|Treatment(T Cell Infusion) and Follow up|Death|5|||
30992970|NCT02028455|59172434|FG004|Treatment(T Cell Infusion) and Follow up|Death|3|||
30992971|NCT02028455|59172435|FG005|Treatment(T Cell Infusion) and Follow up|Death|2|||
30992972|NCT02028455|59172436|FG006|Treatment(T Cell Infusion) and Follow up|Death|0|||
30992973|NCT02028455|59172437|FG007|Treatment(T Cell Infusion) and Follow up|Death|40|||
30992974|NCT02028455|59172430|FG000|Treatment(T Cell Infusion) and Follow up|Lost to Follow-up|0|||
30992975|NCT02028455|59172431|FG001|Treatment(T Cell Infusion) and Follow up|Lost to Follow-up|0|||
30992976|NCT02028455|59172432|FG002|Treatment(T Cell Infusion) and Follow up|Lost to Follow-up|0|||
30992977|NCT02028455|59172433|FG003|Treatment(T Cell Infusion) and Follow up|Lost to Follow-up|0|||
30992978|NCT02028455|59172434|FG004|Treatment(T Cell Infusion) and Follow up|Lost to Follow-up|0|||
30992979|NCT02028455|59172435|FG005|Treatment(T Cell Infusion) and Follow up|Lost to Follow-up|1|||
30992980|NCT02028455|59172436|FG006|Treatment(T Cell Infusion) and Follow up|Lost to Follow-up|0|||
30992981|NCT02028455|59172437|FG007|Treatment(T Cell Infusion) and Follow up|Lost to Follow-up|2|||
30992982|NCT02028455|59172430|FG000|Treatment(T Cell Infusion) and Follow up|Still in long-term follow up|3|||
