id|nct_id|status|name|city|state|zip|country
215548476|NCT02277522||Abramson Cancer Center of the University of Pennsylvania|Philadelphia|Pennsylvania|19104|United States
214389301|NCT02617134|Recruiting|PersonGen Biomedicine (Suzhou) Co., Ltd.|Suzhou|Jiangsu|215123|China
214969652|NCT03711864|Recruiting|Peking Union Medical College Hospital|Beijing|Beijing|100005|China
213811297|NCT03085173||Memorial Sloan Kettering Cancer Center|New York|New York|10065|United States
215548556|NCT02030847||Abramson Cancer Center of the University of Pennsylvania|Philadelphia|Pennsylvania|19104|United States
214390928|NCT04156178|Recruiting|Chengdu Military General Hospital|Chengdu|||China
214390929|NCT04156178|Recruiting|Peking University Shenzhen Hospital|Shanghai|||China
214975362|NCT05470777|Recruiting|The First Affiliated Hospital of Soochow University|Suzhou|Jiangsu|215006|China
213816571|NCT04514029|Recruiting|Masonic Cancer Center, University of Minnesota|Minneapolis|Minnesota|55455|United States
214976853|NCT04257175|Recruiting|Chaim Sheba Medical Center|Ramat Gan||57261|Israel
214977116|NCT03931421|Recruiting|The first affiliated hospital of Zhejiang University|Hangzhou|Zhejiang|310000|China
214977217|NCT04823091|Recruiting|Union Hospital, Huazhong University of Science and Technology|Wuhan|Hubei|430022|China
213226730|NCT02690545|Recruiting|Lineberger Comprehensive Cancer Center at University of North Carolina - Chapel Hill|Chapel Hill|North Carolina|27599|United States
214978509|NCT03814447|Recruiting|Shanghai 6th People's Hospital|Shanghai|Shanghai||China
215548792|NCT01837602||Abramson Cancer Center of the University of Pennsylvania|Philadelphia|Pennsylvania|19104|United States
214978914|NCT05164042|Recruiting|Li Yu|Shenzhen|Guangdong|518000|China
214979315|NCT03815383|Recruiting|the First Affiliated Hospital of Nanjing Medical University|Nanjing|Jiangsu|210000|China
214981979|NCT03790891|Recruiting|Hainan Cancer Hospital|Haikou|Hainan|570100|China
214981980|NCT03790891|Recruiting|Hainan General Hospital|Haikou|Hainan|570100|China
214981981|NCT03790891|Recruiting|The Second Affiliated Hospital of Hainan Medical University|Haikou|Hainan|570100|China
214982723|NCT05438368|Recruiting|Shenzhen Geno-immune Medical Institute|Shenzhen|Guangdong|518000|China
214982800|NCT05234190|Not yet recruiting|Queen Elizabeth Hospital|Birmingham|||United Kingdom
214982801|NCT05234190|Not yet recruiting|Cambridge University Hospitals NHS Foundation Trust|Cambridge||CB2 0QQ|United Kingdom
214982802|NCT05234190|Not yet recruiting|Royal Free London NHS Foundation Trust|London||NW3 2QG|United Kingdom
214982803|NCT05234190|Recruiting|King's College Hospital NHS Foundation Trust|London||SE5 9RS|United Kingdom
214983985|NCT03706326|Recruiting|First Affiliated Hospital of Guangdong Pharmaceutical University|Guangzhou|Guangdong|510080|China
