id|nct_id|facility_id|role|name
19516847|NCT05396300|215285383|Principal Investigator|Weijia fang, MD
19560272|NCT04690192|215728149|Principal Investigator|Dehui Zou, Dr.
19560344|NCT04049513|215728844|Principal Investigator|Robert Weinkove, MBBS, PhD
19560345|NCT04049513|215728844|Sub-Investigator|Philip E George, MBChB
19560346|NCT04049513|215728844|Sub-Investigator|Alwyn AB D'Souza, MBChB
19560347|NCT04049513|215728844|Sub-Investigator|Travis N Perera, MBChB
19560348|NCT04049513|215728844|Sub-Investigator|Robert C Fyfe, MBChB
19560349|NCT04049513|215728844|Sub-Investigator|Stefan Mullins, MBBCh
19560350|NCT04049513|215728844|Sub-Investigator|Hayden Jina, MBChB
19431516|NCT04013802|213996923|Principal Investigator|George Carrum, MD
19431517|NCT04013802|213996924|Principal Investigator|John Craddock, MD
19473888|NCT03796390|214731394|Principal Investigator|Peihua Lu, PhD&MD
19473889|NCT03796390|214731394|Sub-Investigator|Jianqiang Li, PhD&MD
19473948|NCT05495464|214732814|Principal Investigator|Preetesh Jain, MD, PHD
19517043|NCT03618381|215288676|Principal Investigator|Katie Albert, MD
19517342|NCT04545762|215290368|Principal Investigator|C. Babis Andreadis, MD
19345252|NCT03829540|212833691|Principal Investigator|Huda Salman, MD
19517899|NCT05117138|215296638|Principal Investigator|Yi Zhang, M.D.
19475033|NCT05631912|214754320|Sub-Investigator|Yang Liu, M.D.
19475034|NCT05631912|214754320|Sub-Investigator|Qingming Yang, M.D.
19475035|NCT05631912|214754320|Sub-Investigator|Chunmeng Wang, M.S
19475036|NCT05631912|214754320|Sub-Investigator|Jinhong Shi, M.S
19475037|NCT05631912|214754321|Sub-Investigator|Xin Lin, Ph.D
19433042|NCT04665063|214010697|Principal Investigator|Baoen Shan, PhD & MD
19433043|NCT04665063|214010697|Principal Investigator|Lihong Liu, PhD & MD
19433044|NCT04665063|214010697|Sub-Investigator|Jianqiang Li, PhD & MD
19475200|NCT05397184|214755210|Principal Investigator|Waseem Qasim, Professor
19475201|NCT05397184|214755210|Sub-Investigator|Robert Chiesa, Dr
19475202|NCT05397184|214755210|Sub-Investigator|Ajay Vora, Professor
19433864|NCT04626765|214016162|Principal Investigator|Jianmin Luo, PhD & MD
19433865|NCT04626726|214016203|Principal Investigator|Jianmin Luo, PhD & MD
19347865|NCT03159819|212857415|Principal Investigator|Xianbao Zhan, M.D.
19347866|NCT03159819|212857415|Sub-Investigator|Bin Wang, M.D.
19348017|NCT03696784|212865029|Principal Investigator|Natalie Grover, MD
19348061|NCT04088890|212868114|Principal Investigator|Matthew Frank, MD, PhD
19348062|NCT04088890|212868114|Sub-Investigator|David Miklos, MD, PhD
19348063|NCT04088890|212868114|Sub-Investigator|Sally Arai, MD
19348064|NCT04088890|212868114|Sub-Investigator|Laura Johnston, MD
19348065|NCT04088890|212868114|Sub-Investigator|Everett Meyer, MD
19348066|NCT04088890|212868114|Sub-Investigator|Andrew Rezvani, MD
19348067|NCT04088890|212868114|Sub-Investigator|Wen Kai Weng, MD, PhD
19348068|NCT04088890|212868114|Sub-Investigator|Lori Muffly, MD
19348069|NCT04088890|212868114|Sub-Investigator|Judith Shizuru, MD, PhD
19348070|NCT04088890|212868114|Sub-Investigator|Robert Lowsky, MD
19433954|NCT04890236|214017649|Principal Investigator|Edmund K. Waller, MD, PhD
19433955|NCT04890236|214017650|Principal Investigator|Peter Riedell, MD
19348071|NCT04088890|212868114|Sub-Investigator|Robert Negrin, MD
19348072|NCT04088890|212868114|Sub-Investigator|Parveen Shiraz, MD
19348073|NCT04088890|212868114|Sub-Investigator|Surbhi Sidana, MD
19434068|NCT04601181|214020159|Principal Investigator|Xingbing Wang, M.D.
19349980|NCT02935257|212899882|Principal Investigator|Prof. Karl Peggs
19434681|NCT04991948|214032136|Principal Investigator|Kim Dae Won
19434682|NCT04991948|214032137|Principal Investigator|Hans Prenen, MD
19434683|NCT04991948|214032138|Principal Investigator|Sylvie Rottey, MD
19434684|NCT04991948|214032139|Principal Investigator|Eric Van Cutsem, MD
19434720|NCT04546893|214033803|Principal Investigator|Peihua Lu, PhD&MD
19434721|NCT04546893|214033803|Sub-Investigator|Jianqiang Li, PhD&MD
19350155|NCT05204160|212900676|Principal Investigator|Ajay K. Nooka, MD,MPH,FACP
19350488|NCT03291444|212906860|Principal Investigator|Yuhua Li, M.D, Ph.D
19434886|NCT04553393|214035350|Principal Investigator|Weidong Han, M.D
19434887|NCT04553393|214035350|Principal Investigator|Yajing Zhang, M.D
19434888|NCT04553393|214035350|Principal Investigator|Zhiqiang Wu, M.D
19434889|NCT04553393|214035350|Principal Investigator|Yao Wang, M.D.
19434890|NCT04553393|214035350|Principal Investigator|Yang Liu, M.D.
19434891|NCT04553393|214035350|Principal Investigator|Qingming Yang, M.D.
19434892|NCT04553393|214035350|Sub-Investigator|Chuan Tong, M.S.
19434893|NCT04553393|214035350|Sub-Investigator|Chunmeng Wang, M.S.
19434894|NCT04553393|214035350|Sub-Investigator|Dongdong Ti, M.S.
19434895|NCT04553393|214035350|Sub-Investigator|Jianshu Wei, M.D.
19434896|NCT04553393|214035350|Sub-Investigator|Deyun Chen, M.S.
19351767|NCT03166878|212920936|Principal Investigator|Weidong Han, Dr.
19351768|NCT03166878|212920936|Principal Investigator|Daihong Liu, Dr.
19477888|NCT03778346|214808908|Sub-Investigator|Jiang Jinhong
19477889|NCT03778346|214808909|Principal Investigator|Bingmu Fang, M.D
19477890|NCT03778346|214808910|Principal Investigator|Jimin Gao, M.D., Ph.D.
19477891|NCT03778346|214808910|Sub-Investigator|Ai Zhao, M.D., Ph.D.
19478591|NCT05359211|214824839|Principal Investigator|Alexandre Hirayama
19478828|NCT04889716|214825791|Principal Investigator|Stephen J. Schuster, MD
19478829|NCT04889716|214825791|Sub-Investigator|Elise A. Chong, MD
19478830|NCT04889716|214825791|Sub-Investigator|Jakub Svoboda, MD
