id|nct_id|id_source|id_value|id_type|id_type_description|id_link
42808980|NCT05023707|org_study_id|2021136|||
43298372|NCT02081937|org_study_id|CN301-XYK-CAR001|||
43298765|NCT05472610|org_study_id|BZ019R-A-01|||
43053834|NCT05664217|org_study_id|18-255-01|||
43053866|NCT05621291|org_study_id|10000792|||
43053867|NCT05621291|secondary_id|000792-C|||
43299138|NCT05243212|org_study_id|SHEBA-21-8048-HM-CTIL|||
43299164|NCT05128786|org_study_id|CCT301-38-SAR|||
42809823|NCT03291444|org_study_id|2017-XYNK-001|||
43299249|NCT04782193|org_study_id|PBC026|||
43299250|NCT04781634|org_study_id|PBC025|||
43299251|NCT04776330|org_study_id|PBC027|||
43299285|NCT04649983|org_study_id|PBC012|||
43299286|NCT04648475|org_study_id|PBC019|||
43299316|NCT04511871|org_study_id|CCT303-406-mST01|||
43054201|NCT04960579|org_study_id|P-BCMA-ALLO1-001|||
43299336|NCT04348643|org_study_id|PBC017|||
43299346|NCT04272151|org_study_id|PBC015|||
43299347|NCT04272125|org_study_id|PBC016|||
43299348|NCT04271800|org_study_id|PBC014|||
43299349|NCT04271644|org_study_id|PBC002|||
43299350|NCT04271410|org_study_id|PBC004|||
43299351|NCT04265963|org_study_id|PBC011|||
43054312|NCT04637763|org_study_id|CB10A|||
43054350|NCT04530565|org_study_id|NCI-2020-06381|||
43054351|NCT04530565|secondary_id|NCI-2020-06381|Registry Identifier|CTRP (Clinical Trial Reporting Program)|
43054352|NCT04530565|secondary_id|EA9181|Other Identifier|ECOG-ACRIN Cancer Research Group|
43054353|NCT04530565|secondary_id|EA9181|Other Identifier|CTEP|
43054354|NCT04530565|secondary_id|U10CA180820|U.S. NIH Grant/Contract||https://reporter.nih.gov/quickSearch/U10CA180820
42810552|NCT05605197|org_study_id|U87-3|||
43054503|NCT04099797|org_study_id|H-45668 GAIL-B|||
43054520|NCT04013802|org_study_id|H-44843 TETRAVI|||
43299698|NCT04788472|org_study_id|CD19-006|||
43054703|NCT02830724|org_study_id|160131|||
43054704|NCT02830724|secondary_id|16-C-0131|||
42811673|NCT03196830|org_study_id|SZ5601|||
42812217|NCT04877080|org_study_id|211|||
42812219|NCT05381662|org_study_id|UCT19-T19 v1.1|||
43055151|NCT04639739|org_study_id|CAR NK for NHL|||
42813307|NCT05248048|org_study_id|CART-002|||
42813485|NCT04480788|org_study_id|PG-CART-07-001|||
43055904|NCT02930993|org_study_id|K16-4|||
42813692|NCT03166878|org_study_id|CHN-PLAGH-BT-021|||
42936240|NCT05239143|org_study_id|P-MUC1C-ALLO1-001|||
42936449|NCT04205409|org_study_id|RG1005491|||
