id|nct_id|intervention_id|name
28441486|NCT05032820|56021091|ide-cel, revlimid
28675604|NCT04097301|56502264|CAR-T cells
28675974|NCT04385173|56503290|BP102
28675975|NCT04385173|56503291|TMZ
28441936|NCT04855136|56021355|ide-cel
28441937|NCT04855136|56021357|JSMD194
28753583|NCT04134325|56666282|Opdivo
28753584|NCT04134325|56666283|Keytruda
28676291|NCT01192464|56504259|CD30 EBV CTL
28753861|NCT04892277|56667329|Autologous CAR-T Cells IC19/1563
28753862|NCT04892277|56667329|CD19-directed CAR-T Cells IC19/1563
28753863|NCT04892277|56667329|IC19 1563
28753864|NCT04892277|56667329|IC19-1563
28753865|NCT04892277|56667329|IC19/1563
28753866|NCT04892277|56667330|SDX-105
28753867|NCT04892277|56667331|Biological Sample Collection
28753868|NCT04892277|56667331|Biospecimen Collected
28753869|NCT04892277|56667331|Specimen Collection
28753870|NCT04892277|56667333|Biopsy of Bone Marrow
28753871|NCT04892277|56667333|Biopsy, Bone Marrow
28753872|NCT04892277|56667334|CAT
28753873|NCT04892277|56667334|CAT Scan
28753874|NCT04892277|56667334|Computed Axial Tomography
28753875|NCT04892277|56667334|Computerized Axial Tomography
28753876|NCT04892277|56667334|Computerized axial tomography (procedure)
28753877|NCT04892277|56667334|Computerized Tomography
28753878|NCT04892277|56667334|CT
28753879|NCT04892277|56667334|CT Scan
28753880|NCT04892277|56667334|tomography
28753881|NCT04892277|56667335|(-)-Cyclophosphamide
28753882|NCT04892277|56667335|2H-1,3,2-Oxazaphosphorine, 2-[bis(2-chloroethyl)amino]tetrahydro-, 2-oxide, monohydrate
28753883|NCT04892277|56667335|Carloxan
28753884|NCT04892277|56667335|Ciclofosfamida
28753885|NCT04892277|56667335|Ciclofosfamide
28753886|NCT04892277|56667335|Cicloxal
28753887|NCT04892277|56667335|Clafen
28753888|NCT04892277|56667335|Claphene
28753889|NCT04892277|56667335|CP monohydrate
28753890|NCT04892277|56667335|CTX
28753891|NCT04892277|56667335|CYCLO-cell
28753892|NCT04892277|56667335|Cycloblastin
28753893|NCT04892277|56667335|Cycloblastine
28753894|NCT04892277|56667335|Cyclophospham
28753895|NCT04892277|56667335|Cyclophosphamid monohydrate
28753896|NCT04892277|56667335|Cyclophosphamide Monohydrate
28753897|NCT04892277|56667335|Cyclophosphamidum
28753898|NCT04892277|56667335|Cyclophosphan
28753899|NCT04892277|56667335|Cyclophosphane
28753900|NCT04892277|56667335|Cyclophosphanum
28753901|NCT04892277|56667335|Cyclostin
28753902|NCT04892277|56667335|Cyclostine
28753903|NCT04892277|56667335|Cytophosphan
28753904|NCT04892277|56667335|Cytophosphane
28753905|NCT04892277|56667335|Cytoxan
28753906|NCT04892277|56667335|Fosfaseron
28753907|NCT04892277|56667335|Genoxal
28753908|NCT04892277|56667335|Genuxal
28753909|NCT04892277|56667335|Ledoxina
28753910|NCT04892277|56667335|Mitoxan
28753911|NCT04892277|56667335|Neosar
28753912|NCT04892277|56667335|Revimmune
28753913|NCT04892277|56667335|Syklofosfamid
28753914|NCT04892277|56667335|WR- 138719
28753915|NCT04892277|56667336|Fluradosa
28753916|NCT04892277|56667337|Magnetic Resonance
28753917|NCT04892277|56667337|Magnetic resonance imaging (procedure)
28753918|NCT04892277|56667337|Magnetic Resonance Imaging Scan
28753919|NCT04892277|56667337|Medical Imaging, Magnetic Resonance / Nuclear Magnetic Resonance
