id|nct_id|intervention_type|name|description
56576087|NCT04652219|Biological|gucy2c cart cells|Patients with advanced malignant gastrointestinal tumors were injected with CART cells
55946649|NCT05063682|Biological|EGFRvIII-specific hinge-optimized CD3 ζ-stimulatory/41BB-co-stimulatory Chimeric Antigen Receptor autologous T-lymphocytes|ICV administration
55946752|NCT05060796|Biological|CXCR5 modified EGFR Chimeric Antigen Receptor Autologous T cells|The first dose group: 0.5 × 10^6/kg CAR positive T cells; The second dose group: 1.58 × 10^6/ kg CAR positive T cells; The third dose group: 5 × 10^6/kg CAR positive T cells. The above dose allows a 20 % error; For subjects with body weight greater than 60 kg, the number of cells can only be calculated according to 60 kg of body weight.
55946941|NCT03097770|Biological|anti-CD19/20-CAR vector-transduced T cells|genetically engineered lymphocyte therapy
55947269|NCT03599375|Biological|CD19-targeted CART cells|CD19 CAR T cells was transduced with a lentiviral vector to express anti-CD19 scFv.This is a second generation CRAT.
55947390|NCT03407859|Biological|Sequential Treatment With different CART|Sequential Treatment With CD20/CD22/CD10-CART After CD19-CART Treatment in Relapsed/Refractory B-ALL
55947811|NCT04191941|Biological|Novel CAR-T|A conditioning chemotherapy regimen of fludarabine and cyclophosphamide may be administered, followed by a single infusion of Novel CAR-T cells
55949097|NCT04249947|Biological|P-PSMA-101 CAR-T cells|P-PSMA-101 is an autologous chimeric antigen receptor (CAR) T-cell therapy designed to target prostate cancer cells expressing the cell surface antigen prostate-specific membrane antigen (PSMA).
55949098|NCT04249947|Drug|Rimiducid|Rimiducid (safety switch activator) may be administered as indicated
55949128|NCT05619861|Biological|CAR-T|Patients will receive CAR-T treatment
55949805|NCT03154775|Biological|C-CAR011|Autologous 2nd generation CD19-directed CAR-T cells, single infusion intravenously at a target dose of 0.5-5.0 x 10^6 anti-CD19 CAR+ T cells/kg
55950320|NCT03018093|Biological|C-CAR-011|CD19-targeted chimeric antigen receptor T cells
56105713|NCT01735604|Biological|anti-CD20-CAR vector-transduced autologous T cells|anti-CD20-CAR vector-transduced autologous T cells
56105714|NCT01735604|Other|genetically engineered lymphocyte therapy|genetically engineered lymphocyte therapy
55951447|NCT05105867|Biological|Anti-CD19 Universal CAR-T Cells injection|Anti-CD19 Universal CAR-T Cells injection will be administered by vein after lymphodepletion.
55951963|NCT03915184|Biological|zevor-cel|A single autologous chimeric antigen receptor-B-cell maturation antigen (CAR-BCMA T cell) infusion
56152934|NCT02958384|Biological|Anti-LeY-CAR-transduced T cells|The first 3 enrolled patients will receive autologous-derived LeY-targeted CAR-T cells on day 1, 2 and 3 with respective 10%, 30% and 60% of the total expected dosage after receiving lymphodepleting chemotherapy. If the 3 patients don't display severe toxicity,the next patients enrolled will get infused in 2 days with respective 40% and 60% total dosage.
55953674|NCT03818165|Biological|CAR2 Anti-CEA CAR-T cells|doses will be delivered by hepatic arterial infusions using pressure enhanced delivery device (PEDD)
55954138|NCT04129099|Biological|GC022F|GC022F is the CAR-T cell immunotherapy targeted CD19 and CD22. The subjects will receive GC022F as one dose. The dosage ranges from 6×10^4 to 1.5×10^5 CAR+T/Kg.
56421371|NCT03890198|Biological|LCAR-C182A cells|Patients receive fludarabine (3×300 mg/ m^2) and cyclophosphamide (3×30 mg/m^2) IV on days -5 to-3, and then Patients receive CAR-T cells. PS：The specific dose of fludarabine and cyclophosphamide is adjusted according to the individual condition of the subject and the judgment of the investigator.
