id|nct_id|name|downcase_name
86094539|NCT02194374|CLL|cll
86109383|NCT04776330|BCMA|bcma
86227938|NCT03267173|CAR-T|car-t
86252116|NCT04499339|CAR|car
86094537|NCT02194374|Leukemia|leukemia
86094538|NCT02194374|Chronic lymphocytic leukemia|chronic lymphocytic leukemia
86094540|NCT02194374|Small lymphocytic lymphoma|small lymphocytic lymphoma
86094541|NCT02194374|SLL|sll
86094542|NCT02194374|B cell|b cell
86094543|NCT02194374|ROR1-specific T cells|ror1-specific t cells
86094544|NCT02194374|Fludarabine|fludarabine
86094545|NCT02194374|Fludarabine Phosphate|fludarabine phosphate
86094546|NCT02194374|Fludara|fludara
86094547|NCT02194374|Cyclophosphamide|cyclophosphamide
86094548|NCT02194374|Cytoxan|cytoxan
86094549|NCT02194374|Neosar|neosar
86094550|NCT02194374|Rituximab|rituximab
86094551|NCT02194374|Rituxan|rituxan
86094552|NCT02194374|Bendamustine|bendamustine
86094553|NCT02194374|Bendamustine Hydrochloride|bendamustine hydrochloride
86094554|NCT02194374|Bendamustine HCL|bendamustine hcl
86094555|NCT02194374|CEP-18083|cep-18083
86094556|NCT02194374|SDX-105|sdx-105
86094557|NCT02194374|Treanda|treanda
86095912|NCT02905188|hepatocellular carcinoma|hepatocellular carcinoma
86095913|NCT02905188|GPC3-CAR T cells|gpc3-car t cells
86095914|NCT02905188|GPC3-positive hepatocellular carcinoma|gpc3-positive hepatocellular carcinoma
86098692|NCT04969354|Carbonic anhydrase|carbonic anhydrase
86098693|NCT04969354|advanced renal cell carcinoma|advanced renal cell carcinoma
86098694|NCT04969354|CAR-T|car-t
86098695|NCT04969354|Chimeric antigen receptor|chimeric antigen receptor
86098696|NCT04969354|T cell|t cell
86098697|NCT04969354|CAIX|caix
86100506|NCT03434769|Cyclophosphamide|cyclophosphamide
86100507|NCT03434769|Fludarabine|fludarabine
86100508|NCT03434769|Chimeric antigen receptor T cells|chimeric antigen receptor t cells
86102727|NCT04430530|4S CAR-T CD22|4s car-t cd22
86102728|NCT04430530|4S CAR-T CD123|4s car-t cd123
86102729|NCT04430530|4S CAR-T CD38|4s car-t cd38
86102730|NCT04430530|4S CAR-T CD10|4s car-t cd10
86102731|NCT04430530|4S CAR-T CD20|4s car-t cd20
86102732|NCT04430530|CD19 Negative B cell leukemiaB-ALL|cd19 negative b cell leukemiab-all
86103140|NCT04861480|Multiple Myeloma|multiple myeloma
86103141|NCT04861480|CAR-T|car-t
86103332|NCT04429438|CAR-T|car-t
86103333|NCT04429438|CD19|cd19
86103334|NCT04429438|CD20|cd20
86103335|NCT04429438|CD22|cd22
86103336|NCT04429438|CD70|cd70
86103337|NCT04429438|PSMA|psma
86103338|NCT04429438|CD13|cd13
86103339|NCT04429438|CD79b|cd79b
86103340|NCT04429438|GD2|gd2
86103341|NCT04429438|PMBCL|pmbcl
86103342|NCT04429438|CNS-BCL|cns-bcl
86107653|NCT02081937|chimeric antigen receptor|chimeric antigen receptor
86107654|NCT02081937|immunotherapy|immunotherapy
86107655|NCT02081937|T lymphocyte|t lymphocyte
86107656|NCT02081937|mantle cell lymphoma|mantle cell lymphoma
86109229|NCT05128786|AXL, CAR-T, CCT301-38, sarcoma|axl, car-t, cct301-38, sarcoma
86109230|NCT05128786|CAR-T|car-t
86109231|NCT05128786|CCT301-38|cct301-38
86109232|NCT05128786|sarcoma|sarcoma
86109376|NCT04782193|CD19|cd19
86109377|NCT04782193|CD22|cd22
86109378|NCT04782193|CAR-T|car-t
86109379|NCT04781634|CD19|cd19
86109380|NCT04781634|CD22|cd22
86109381|NCT04781634|CAR-T|car-t
86109382|NCT04776330|Multiple Myeloma|multiple myeloma
86109384|NCT04776330|prime Chimeric Antigen Receptor T Cell|prime chimeric antigen receptor t cell
86109449|NCT04649983|CD19|cd19
86109450|NCT04649983|CD22|cd22
86109451|NCT04649983|CAR-T|car-t
86109452|NCT04648475|CAR-T|car-t
86109453|NCT04648475|CD19|cd19
86109454|NCT04648475|CD22|cd22
86109494|NCT04511871|HER2|her2
86109495|NCT04511871|CAR-T|car-t
86109496|NCT04511871|Solid tumors|solid tumors
86109544|NCT04348643|CAR-T|car-t
