id|nct_id|url|description
4730052|NCT02348216|https://www.gileadclinicaltrials.com/study/?id=KTE-C19-101|Gilead Clinical Trials Website
4717465|NCT03318861|https://www.gileadclinicaltrials.com/study/?id=KITE-585-501|Gilead Clinical Trials Website
4730324|NCT03651128|https://www.bms.com/researchers-and-partners/clinical-trials-and-research.html|BMS Clinical Trial Information
4730325|NCT03651128|https://www.bmsstudyconnect.com/s/US/English/USenHome|BMS Clinical Trial Patient Recruiting
4679158|NCT05464719|http://www.mdanderson.org|MD Anderson Cancer Center
4679287|NCT04432506|http://www.mdanderson.org|University of Texas MD Anderson Cancer Center Website
4679431|NCT01087294|https://clinicalstudies.info.nih.gov/cgi/detail.cgi?B_2010-C-0054.html|NIH Clinical Center Detailed Web Page
4717902|NCT05665725|http://cancer.osu.edu|The Jamesline
4680041|NCT04148430|http://www.mskcc.org|Memorial Sloan Kettering Cancer Center
4730560|NCT01454596|https://clinicalstudies.info.nih.gov/cgi/detail.cgi?B_2011-C-0266.html|NIH Clinical Center Detailed Web Page
4718033|NCT04083495|https://unclineberger.org/|UNC Lineberger Comprehensive Cancer Center
4730575|NCT02215967|https://clinicalstudies.info.nih.gov/cgi/detail.cgi?B_2014-C-0168.html|NIH Clinical Center Detailed Web Page
4718040|NCT03648372|https://clinicaltrials.takeda.com/study-detail/5f6b60354db2bf003ab4a092|To obtain more information on the study, click here/on this link
4718105|NCT03579888|http://www.mdanderson.org|MD Anderson Cancer Center Website
4718194|NCT03181126|https://www.abbvie.com/content/dam/abbvie-dotcom/us/clinical-trials/venetoclax_M16-106.pdf|clinical study report synopsis
4667249|NCT04789408|https://www.gileadclinicaltrials.com/study/?id=KT-US-486-0201|Gilead Clinical Trials Website
4667264|NCT04318678|http://www.stjude.org|St. Jude Children's Research Hospital
4667265|NCT04318678|http://www.stjude.org/protocols|Clinical Trials Open at St. Jude
4680664|NCT05418088|http://cancer.osu.edu|The Jamesline
4718362|NCT05020392|https://ashpublications.org/blood/article/136/Supplement%201/39/470300/Transcend-CLL-004-Phase-1-Cohort-of-Lisocabtagene?searchresult=1|Related Info
4718365|NCT04881240|http://www.stjude.org|St. Jude Children's Research Hospital
4718366|NCT04881240|http://www.stjude.org/protocols|Clinical Trials Open at St. Jude
4718378|NCT04512716|http://www.mskcc.org|Memorial Sloan Kettering Cancer Center
4718381|NCT04146051|https://cartformg.org/|Additional information can be found at Cartformg.org
4680959|NCT03761056|https://www.gileadclinicaltrials.com/study/?id=KTE-C19-112|Gilead Clinical Trials Website
4705430|NCT03573700|http://www.stjude.org|St. Jude Children's Research Hospital
4705431|NCT03573700|http://www.stjude.org/protocols|Clinical Trials Open at St. Jude
4667396|NCT01460901|http://www.childrensmercy.org/|Children's Mercy Hospitals and Clinics
4667398|NCT04556266|http://www.mskcc.org|Memorial Sloan Kettering Cancer Center
4693368|NCT05621291|https://clinicalstudies.info.nih.gov/cgi/detail.cgi?B_000792-C.html|NIH Clinical Center Detailed Web Page
4693512|NCT02830724|https://clinicalstudies.info.nih.gov/cgi/detail.cgi?A_2016-C-0131.html|NIH Clinical Center Detailed Web Page
4719889|NCT02194374|http://www.mdanderson.org|University of Texas MD Anderson Cancer Center Website
4667737|NCT03696784|https://unclineberger.org/patientcare/clinical-trials|University of North Carolina Lineberger Comprehensive Cancer Center Clinical Trials
4706289|NCT03958656|https://clinicalstudies.info.nih.gov/cgi/detail.cgi?B_2019-C-0102.html|NIH Clinical Center Detailed Web Page
4668064|NCT03602157|https://unclineberger.org/|Related Info
4668069|NCT03049449|https://clinicalstudies.info.nih.gov/cgi/detail.cgi?B_2017-C-0048.html|NIH Clinical Center Detailed Web Page
4668300|NCT03126864|http://www.mdanderson.org|University of Texas MD Anderson Cancer Center Website
4695261|NCT01218867|http://clinicalstudies.info.nih.gov/cgi/detail.cgi?B_2011-C-0013.html|NIH Clinical Center Detailed Web Page
