id|nct_id|result_group_id|ctgov_group_code|title|period|description|count|milestone_description|count_units
44062818|NCT03624036|59323469|FG000|STARTED|Overall Study||7||
44062819|NCT03624036|59323470|FG001|STARTED|Overall Study||3||
44062820|NCT03624036|59323471|FG002|STARTED|Overall Study||3||
44062821|NCT03624036|59323472|FG003|STARTED|Overall Study||3||
44062822|NCT03624036|59323469|FG000|COMPLETED|Overall Study||0||
44062823|NCT03624036|59323470|FG001|COMPLETED|Overall Study||0||
44062824|NCT03624036|59323471|FG002|COMPLETED|Overall Study||0||
44062825|NCT03624036|59323472|FG003|COMPLETED|Overall Study||0||
44062826|NCT03624036|59323469|FG000|NOT COMPLETED|Overall Study||7||
44062827|NCT03624036|59323470|FG001|NOT COMPLETED|Overall Study||3||
44062828|NCT03624036|59323471|FG002|NOT COMPLETED|Overall Study||3||
44062829|NCT03624036|59323472|FG003|NOT COMPLETED|Overall Study||3||
43930452|NCT02650999|59180058|FG000|STARTED|Overall Study||12||
43930453|NCT02650999|59180058|FG000|COMPLETED|Overall Study||12||
43930454|NCT02650999|59180058|FG000|NOT COMPLETED|Overall Study||0||
44312347|NCT01865617|59570122|FG000|STARTED|Overall Study||39||
44312348|NCT01865617|59570123|FG001|STARTED|Overall Study||5||
44312349|NCT01865617|59570124|FG002|STARTED|Overall Study||2||
44312350|NCT01865617|59570125|FG003|STARTED|Overall Study||1||
44312351|NCT01865617|59570126|FG004|STARTED|Overall Study||18||
44312352|NCT01865617|59570127|FG005|STARTED|Overall Study||5||
44312353|NCT01865617|59570128|FG006|STARTED|Overall Study||22||
44312354|NCT01865617|59570129|FG007|STARTED|Overall Study||1||
44312355|NCT01865617|59570130|FG008|STARTED|Overall Study||20||
44312356|NCT01865617|59570131|FG009|STARTED|Overall Study||5||
44312357|NCT01865617|59570132|FG010|STARTED|Overall Study||49||
44312358|NCT01865617|59570133|FG011|STARTED|Overall Study||10||
44312359|NCT01865617|59570134|FG012|STARTED|Overall Study||20||
44312360|NCT01865617|59570122|FG000|COMPLETED|Overall Study||9||
44312361|NCT01865617|59570123|FG001|COMPLETED|Overall Study||2||
44312362|NCT01865617|59570124|FG002|COMPLETED|Overall Study||1||
44312363|NCT01865617|59570125|FG003|COMPLETED|Overall Study||0||
44312364|NCT01865617|59570126|FG004|COMPLETED|Overall Study||11||
44312365|NCT01865617|59570127|FG005|COMPLETED|Overall Study||4||
44312366|NCT01865617|59570128|FG006|COMPLETED|Overall Study||10||
