id|nct_id|outcome_id|result_group_id|ctgov_group_code|scope|units|count
79231761|NCT03019055|32984505|59165650|OG000|Measure|Participants|0
79231762|NCT03019055|32984505|59165651|OG001|Measure|Participants|3
79231763|NCT03019055|32984505|59165652|OG002|Measure|Participants|3
79231764|NCT03019055|32984505|59165653|OG003|Measure|Participants|16
79014257|NCT03049449|32887597|59002685|OG000|Measure|Participants|22
79014258|NCT03049449|32887598|59002686|OG000|Measure|Participants|3
79014259|NCT03049449|32887598|59002687|OG001|Measure|Participants|3
79014260|NCT03049449|32887598|59002688|OG002|Measure|Participants|7
79014261|NCT03049449|32887598|59002689|OG003|Measure|Participants|5
79014262|NCT03049449|32887598|59002690|OG004|Measure|Participants|3
79014263|NCT03049449|32887598|59002691|OG005|Measure|Participants|1
79014264|NCT03049449|32887599|59002686|OG000|Measure|Participants|3
79014265|NCT03049449|32887599|59002687|OG001|Measure|Participants|3
79014266|NCT03049449|32887599|59002688|OG002|Measure|Participants|7
79014267|NCT03049449|32887599|59002689|OG003|Measure|Participants|5
79014268|NCT03049449|32887599|59002690|OG004|Measure|Participants|3
79014269|NCT03049449|32887599|59002691|OG005|Measure|Participants|1
79014270|NCT03049449|32887600|59002686|OG000|Measure|Participants|3
79014271|NCT03049449|32887600|59002687|OG001|Measure|Participants|3
79014272|NCT03049449|32887600|59002688|OG002|Measure|Participants|7
79014273|NCT03049449|32887600|59002689|OG003|Measure|Participants|5
79014274|NCT03049449|32887600|59002692|OG004|Measure|Participants|3
79014275|NCT03049449|32887600|59002693|OG005|Measure|Participants|1
79014276|NCT03049449|32887601|59002686|OG000|Measure|Participants|3
79014277|NCT03049449|32887601|59002687|OG001|Measure|Participants|3
79014278|NCT03049449|32887601|59002688|OG002|Measure|Participants|7
79014279|NCT03049449|32887601|59002689|OG003|Measure|Participants|5
79014280|NCT03049449|32887601|59002694|OG004|Measure|Participants|3
79014281|NCT03049449|32887601|59002693|OG005|Measure|Participants|1
79241999|NCT02028455|32989009|59172438|OG000|Measure|Participants|7
79242000|NCT02028455|32989009|59172439|OG001|Measure|Participants|12
79242001|NCT02028455|32989009|59172440|OG002|Measure|Participants|7
79242002|NCT02028455|32989009|59172441|OG003|Measure|Participants|5
79242003|NCT02028455|32989009|59172442|OG004|Measure|Participants|6
79242004|NCT02028455|32989009|59172443|OG005|Measure|Participants|6
79242005|NCT02028455|32989009|59172444|OG006|Measure|Participants|81
79242006|NCT02028455|32989010|59172445|OG000|Measure|Participants|71
79242007|NCT02028455|32989011|59172446|OG000|Measure|Participants|7
79242008|NCT02028455|32989011|59172439|OG001|Measure|Participants|12
79242009|NCT02028455|32989011|59172440|OG002|Measure|Participants|7
79242010|NCT02028455|32989011|59172441|OG003|Measure|Participants|5
79242011|NCT02028455|32989011|59172442|OG004|Measure|Participants|6
79242012|NCT02028455|32989011|59172443|OG005|Measure|Participants|6
79242013|NCT02028455|32989011|59172447|OG006|Measure|Participants|3
79242014|NCT02028455|32989011|59172448|OG007|Measure|Participants|119
79242015|NCT02028455|32989012|59172449|OG000|Measure|Participants|70
79242016|NCT02028455|32989013|59172438|OG000|Measure|Participants|7
79242017|NCT02028455|32989013|59172439|OG001|Measure|Participants|7
79242018|NCT02028455|32989013|59172440|OG002|Measure|Participants|4
79242019|NCT02028455|32989013|59172441|OG003|Measure|Participants|3
79242020|NCT02028455|32989013|59172442|OG004|Measure|Participants|4
79242021|NCT02028455|32989013|59172443|OG005|Measure|Participants|3
79242022|NCT02028455|32989013|59172450|OG006|Measure|Participants|36
79242023|NCT02028455|32989014|59172438|OG000|Measure|Participants|0
79242024|NCT02028455|32989014|59172439|OG001|Measure|Participants|0
79242025|NCT02028455|32989014|59172440|OG002|Measure|Participants|0
79242026|NCT02028455|32989014|59172441|OG003|Measure|Participants|0
79242027|NCT02028455|32989014|59172442|OG004|Measure|Participants|0
79242028|NCT02028455|32989014|59172443|OG005|Measure|Participants|0
79242029|NCT02028455|32989014|59172450|OG006|Measure|Participants|2
79024014|NCT01583686|32891884|59010249|OG000|Measure|Participants|3
79024015|NCT01583686|32891884|59010250|OG001|Measure|Participants|3
79024016|NCT01583686|32891884|59010251|OG002|Measure|Participants|3
79024017|NCT01583686|32891884|59010252|OG003|Measure|Participants|3
79024018|NCT01583686|32891884|59010253|OG004|Measure|Participants|3
79024019|NCT01583686|32891885|59010254|OG000|Measure|Participants|3
79024020|NCT01583686|32891885|59010255|OG001|Measure|Participants|3
79024021|NCT01583686|32891885|59010256|OG002|Measure|Participants|3
79024022|NCT01583686|32891885|59010252|OG003|Measure|Participants|3
79024023|NCT01583686|32891885|59010253|OG004|Measure|Participants|3
79951980|NCT02706405|33282390|59558259|OG000|Measure|Participants|5
79951981|NCT02706405|33282390|59558260|OG001|Measure|Participants|3
79951982|NCT02706405|33282390|59558261|OG002|Measure|Participants|3
79951983|NCT02706405|33282390|59558262|OG003|Measure|Participants|1
79951984|NCT02706405|33282390|59558263|OG004|Measure|Participants|1
79951985|NCT02706405|33282390|59558264|OG005|Measure|Participants|3
79951986|NCT02706405|33282390|59558265|OG006|Measure|Participants|6
79951987|NCT02706405|33282390|59558266|OG007|Measure|Participants|7
79951988|NCT02706405|33282391|59558259|OG000|Measure|Participants|5
79951989|NCT02706405|33282391|59558260|OG001|Measure|Participants|3
79951990|NCT02706405|33282391|59558261|OG002|Measure|Participants|3
79951991|NCT02706405|33282391|59558262|OG003|Measure|Participants|1
79951992|NCT02706405|33282391|59558263|OG004|Measure|Participants|1
79951993|NCT02706405|33282391|59558264|OG005|Measure|Participants|3
79951994|NCT02706405|33282391|59558265|OG006|Measure|Participants|6
79951995|NCT02706405|33282391|59558266|OG007|Measure|Participants|7
79951996|NCT02706405|33282392|59558267|OG000|Measure|Participants|29
79951997|NCT02706405|33282393|59558268|OG000|Measure|Participants|3
79951998|NCT02706405|33282393|59558269|OG001|Measure|Participants|8
79951999|NCT02706405|33282393|59558270|OG002|Measure|Participants|1
79952000|NCT02706405|33282393|59558271|OG003|Measure|Participants|1
