id|nct_id|outcome_id|result_group_id|ctgov_group_code|classification|category|title|description|units|param_type|param_value|param_value_num|dispersion_type|dispersion_value|dispersion_value_num|dispersion_lower_limit|dispersion_upper_limit|explanation_of_na
251484893|NCT01460901|32876220|58983653|OG000||Immediate Infusion Toxicity|Number of Participants With Immediate and Short Term Toxicity of Infusion Over 8 Weeks|"Immediate: Patients were monitored following infusion to assess for toxicity related to infusion. Potential toxicities related to cellular therapy infusions, such as allergic reaction to the cellular product or cryopreservation media, hemolytic reactions, volume overload, and hemodynamic instability, were monitored.~Short Term: Patients were monitored for 8 weeks for short term toxicity related to infusion. Such adverse reactions monitored were acute graft versus host disease and cytokine release syndrome."|Participants|Count of Participants|0|0.0||||||
251484894|NCT01460901|32876220|58983653|OG000||Short Term Toxicity (Week 8)|Number of Participants With Immediate and Short Term Toxicity of Infusion Over 8 Weeks|"Immediate: Patients were monitored following infusion to assess for toxicity related to infusion. Potential toxicities related to cellular therapy infusions, such as allergic reaction to the cellular product or cryopreservation media, hemolytic reactions, volume overload, and hemodynamic instability, were monitored.~Short Term: Patients were monitored for 8 weeks for short term toxicity related to infusion. Such adverse reactions monitored were acute graft versus host disease and cytokine release syndrome."|Participants|Count of Participants|0|0.0||||||
251484895|NCT01460901|32876220|58983653|OG000||No Toxicity|Number of Participants With Immediate and Short Term Toxicity of Infusion Over 8 Weeks|"Immediate: Patients were monitored following infusion to assess for toxicity related to infusion. Potential toxicities related to cellular therapy infusions, such as allergic reaction to the cellular product or cryopreservation media, hemolytic reactions, volume overload, and hemodynamic instability, were monitored.~Short Term: Patients were monitored for 8 weeks for short term toxicity related to infusion. Such adverse reactions monitored were acute graft versus host disease and cytokine release syndrome."|Participants|Count of Participants|3|3.0||||||
251484896|NCT01460901|32876221|58983654|OG000|Participant 1||Peak Transgene Copy Number Per 1000ng PBMC DNA|Peak Transgene Copy Number per 1000ng PBMC DNA from peripheral blood samples measured during study participation.|Transgene Copy per 1000ng PBMC DNA|Number|10562|10562.0||||||
251484897|NCT01460901|32876221|58983654|OG000|Participant 3||Peak Transgene Copy Number Per 1000ng PBMC DNA|Peak Transgene Copy Number per 1000ng PBMC DNA from peripheral blood samples measured during study participation.|Transgene Copy per 1000ng PBMC DNA|Number|44|44.0||||||
251484898|NCT01460901|32876221|58983654|OG000|Participant 5||Peak Transgene Copy Number Per 1000ng PBMC DNA|Peak Transgene Copy Number per 1000ng PBMC DNA from peripheral blood samples measured during study participation.|Transgene Copy per 1000ng PBMC DNA|Number|1464|1464.0||||||
251484899|NCT01460901|32876222|58983654|OG000|||Death Within 8 Weeks of Infusion||participants|Number|1|1.0||||||
251484900|NCT01460901|32876223|58983655|OG000|Participant 1||Peak Viral Specific SFU/2x10e5 Mononuclear Cells Per Well|"The following analyses were performed on peripheral blood samples from patients at protocol assigned time points (pre-infusion, post-infusion at 4 hrs, weeks 1,2,4,6 and 8, month 3, 6 and 12:~ELISPOT assay for CMV, Adenovirus and EBV specific CTL reported as SFU (spot forming unit) per 2x10e5 mononuclear cells"|SFU/2x10e5 Mononuclear Cells|Number|180|180.0||||||
251484901|NCT01460901|32876223|58983655|OG000|Participant 3||Peak Viral Specific SFU/2x10e5 Mononuclear Cells Per Well|"The following analyses were performed on peripheral blood samples from patients at protocol assigned time points (pre-infusion, post-infusion at 4 hrs, weeks 1,2,4,6 and 8, month 3, 6 and 12:~ELISPOT assay for CMV, Adenovirus and EBV specific CTL reported as SFU (spot forming unit) per 2x10e5 mononuclear cells"|SFU/2x10e5 Mononuclear Cells|Number|175|175.0||||||
251484902|NCT01460901|32876223|58983655|OG000|Participant 5||Peak Viral Specific SFU/2x10e5 Mononuclear Cells Per Well|"The following analyses were performed on peripheral blood samples from patients at protocol assigned time points (pre-infusion, post-infusion at 4 hrs, weeks 1,2,4,6 and 8, month 3, 6 and 12:~ELISPOT assay for CMV, Adenovirus and EBV specific CTL reported as SFU (spot forming unit) per 2x10e5 mononuclear cells"|SFU/2x10e5 Mononuclear Cells|Number|150|150.0||||||
251484903|NCT01460901|32876224|58983656|OG000|Complete Response||Maximum Tumor Response (RECIST 1.1)|Pre and post-therapy evaluation by modalities consistent with prior disease evaluation in each patient. When possible, tumors were assessed per Response Evaluation Criteria In Solid Tumors (RECIST v1.0): Complete Response (CR), disappearance of all target lesions; Partial Response (PR), >/=30% decrease in the sum of the longest diameter of target lesions; Progressive Disease (PD) at least a 20% increase in the sum of diameters of target lesions; Stable Disease (SD) neither sufficient shrinkage to qualify for PR nor sufficient increase to qualify for PD. Bone marrow aspirations and biopsies were evaluated by histopathology and appropriate immunohistochemistry; Modified Curie score was used for MIBG evaluation.|Response|Number|0|0.0||||||
251484904|NCT01460901|32876224|58983656|OG000|Non-complete Response||Maximum Tumor Response (RECIST 1.1)|Pre and post-therapy evaluation by modalities consistent with prior disease evaluation in each patient. When possible, tumors were assessed per Response Evaluation Criteria In Solid Tumors (RECIST v1.0): Complete Response (CR), disappearance of all target lesions; Partial Response (PR), >/=30% decrease in the sum of the longest diameter of target lesions; Progressive Disease (PD) at least a 20% increase in the sum of diameters of target lesions; Stable Disease (SD) neither sufficient shrinkage to qualify for PR nor sufficient increase to qualify for PD. Bone marrow aspirations and biopsies were evaluated by histopathology and appropriate immunohistochemistry; Modified Curie score was used for MIBG evaluation.|Response|Number|3|3.0||||||
251484905|NCT01460901|32876224|58983656|OG000|Progressive Disease||Maximum Tumor Response (RECIST 1.1)|Pre and post-therapy evaluation by modalities consistent with prior disease evaluation in each patient. When possible, tumors were assessed per Response Evaluation Criteria In Solid Tumors (RECIST v1.0): Complete Response (CR), disappearance of all target lesions; Partial Response (PR), >/=30% decrease in the sum of the longest diameter of target lesions; Progressive Disease (PD) at least a 20% increase in the sum of diameters of target lesions; Stable Disease (SD) neither sufficient shrinkage to qualify for PR nor sufficient increase to qualify for PD. Bone marrow aspirations and biopsies were evaluated by histopathology and appropriate immunohistochemistry; Modified Curie score was used for MIBG evaluation.|Response|Number|0|0.0||||||
252186157|NCT02650999|32994102|59180059|OG000|||Dose-limiting Toxicity|Percentage of subjects who discontinued therapy due to dose-limiting toxicity|percentage of subjects|Number|8.33|8.33|95% Confidence Interval|||0.4|40.2|
252186158|NCT02650999|32994103|59180059|OG000|||Overall Response Rates|3 months Overall response rates|percentage of subjects|Number|25|25.0|95% Confidence Interval|||6.7|57.2|
251559714|NCT03049449|32887599|59002691|OG005|Progressive Disease||Number of Participants With Complete Response (CR), Partial Response (PR), Stable Disease (SD), or Progression as Their Best Response|Response was measured using the Cheson et al. Revised Response Criteria for Malignant Lymphoma, Journal of Clinical Oncology 2007 and Recommendations for Initial Evaluation, Staging, and Response Assessment of Non-Hodgkin Lymphoma: The Lugano Classification Journal of Clinical Oncology, 2014). Complete Response (CR) is complete disappearance of all detectable clinical evidence of disease and disease-related symptoms if present before therapy. Partial Response (PR) is ≥ 50% decrease in sum of the product of the diameters (SPD) of up to 6 of the largest dominant nodes or nodal masses. Progressive Disease (PD) ≥ 50% increase from nadir in the sum of the products of at least two lymph nodes, or appearance of a new lesion greater than 1.5 cm in any axis even if other lesions are decreasing in size. Stable Disease (SD) is neither sufficient shrinkage to qualify for PR nor sufficient increase to qualify for PD.|Participants|Count of Participants|NA|||||||This participant did not finish chemotherapy and did not receive CAR-T cells so response cannot be assessed.
251559715|NCT03049449|32887600|59002686|OG000|||Number of Participants With Serious and/or Non-serious Adverse Events Assessed by the Common Terminology Criteria for Adverse Events (CTCAE v5.0)|Here is the number of participants with serious and/or non-serious adverse events assessed by the Common Terminology Criteria for Adverse Events (CTCAE v5.0). A non-serious adverse event is any untoward medical occurrence. A serious adverse event is an adverse event or suspected adverse reaction that results in death, a life-threatening adverse drug experience, hospitalization, disruption of the ability to conduct normal life functions, congenital anomaly/birth defect or important medical events that jeopardize the patient or subject and may require medical or surgical intervention to prevent one of the previous outcomes mentioned.|Participants|Count of Participants|3|3.0||||||
251559716|NCT03049449|32887600|59002687|OG001|||Number of Participants With Serious and/or Non-serious Adverse Events Assessed by the Common Terminology Criteria for Adverse Events (CTCAE v5.0)|Here is the number of participants with serious and/or non-serious adverse events assessed by the Common Terminology Criteria for Adverse Events (CTCAE v5.0). A non-serious adverse event is any untoward medical occurrence. A serious adverse event is an adverse event or suspected adverse reaction that results in death, a life-threatening adverse drug experience, hospitalization, disruption of the ability to conduct normal life functions, congenital anomaly/birth defect or important medical events that jeopardize the patient or subject and may require medical or surgical intervention to prevent one of the previous outcomes mentioned.|Participants|Count of Participants|3|3.0||||||
251559717|NCT03049449|32887600|59002688|OG002|||Number of Participants With Serious and/or Non-serious Adverse Events Assessed by the Common Terminology Criteria for Adverse Events (CTCAE v5.0)|Here is the number of participants with serious and/or non-serious adverse events assessed by the Common Terminology Criteria for Adverse Events (CTCAE v5.0). A non-serious adverse event is any untoward medical occurrence. A serious adverse event is an adverse event or suspected adverse reaction that results in death, a life-threatening adverse drug experience, hospitalization, disruption of the ability to conduct normal life functions, congenital anomaly/birth defect or important medical events that jeopardize the patient or subject and may require medical or surgical intervention to prevent one of the previous outcomes mentioned.|Participants|Count of Participants|7|7.0||||||
