id|nct_id|outcome_type|title|description|time_frame|population|anticipated_posting_date|anticipated_posting_month_year|units|units_analyzed|dispersion_type|param_type
32887597|NCT03049449|Primary|Maximum Tolerated Dose of Anti-Tumor Necrosis Factor (TNF) Receptor Superfamily Member 8 (CD30) Chimeric Antigen Receptor (CAR) in Participants With Advanced CD30-expressing Lymphomas|Maximum tolerated dose is defined as the dose at which a maximum of 1 of 6 participants has a dose-limiting toxicity (DLT). A DLT is defined as toxicities occurring within 30 days of CAR T-cell infusion. DLT's are Grade 3 or Grade 4 toxicities possibly, probably, or definitely related to either the anti-CD30 CAR T cells or the fludarabine and cyclophosphamide chemotherapy conditioning regimen and lasting more than 7 days. A DLT will only be considered in participants who have received CAR T-cell infusions.|4-5 weeks after first dose||||million CAR T-cells/kg|||Number
32887598|NCT03049449|Secondary|Peak Percentage and Persistence at 1 Month of Peripheral Blood Mononuclear Cells (PBMC) That Expressed the Chimeric Antigen Receptor (CAR) T-cells|Peak percentage and the percentage 1 month after infusion of peripheral blood mononuclear cells (PBMC) that expressed the Chimeric Antigen Receptor (CAR) T-cells assessed by polymerase chain reaction (PCR).|From time of infusion until 1 month after infusion|Participants #8, and 23 were not assigned to a dose level since they didn't receive chemo or cells. Participant # 5 first enrolled as #3 did not result in cell infusion and was re-enrolled with a new number for cell infusion. This is the same for #18 who was first enrolled as #16.|||peak percentage|||Number
32887599|NCT03049449|Secondary|Number of Participants With Complete Response (CR), Partial Response (PR), Stable Disease (SD), or Progression as Their Best Response|Response was measured using the Cheson et al. Revised Response Criteria for Malignant Lymphoma, Journal of Clinical Oncology 2007 and Recommendations for Initial Evaluation, Staging, and Response Assessment of Non-Hodgkin Lymphoma: The Lugano Classification Journal of Clinical Oncology, 2014). Complete Response (CR) is complete disappearance of all detectable clinical evidence of disease and disease-related symptoms if present before therapy. Partial Response (PR) is ≥ 50% decrease in sum of the product of the diameters (SPD) of up to 6 of the largest dominant nodes or nodal masses. Progressive Disease (PD) ≥ 50% increase from nadir in the sum of the products of at least two lymph nodes, or appearance of a new lesion greater than 1.5 cm in any axis even if other lesions are decreasing in size. Stable Disease (SD) is neither sufficient shrinkage to qualify for PR nor sufficient increase to qualify for PD.|Responses will be assessed as long as the patient is on-study at the following time-points: 1, 2, 3, 4, 6, 9, and 12 months after CAR T-cell infusion. Then responses were assessed every 6 months up until 3 years after CAR T-cell infusion.||||Participants|||Count of Participants
32887600|NCT03049449|Other Pre-specified|Number of Participants With Serious and/or Non-serious Adverse Events Assessed by the Common Terminology Criteria for Adverse Events (CTCAE v5.0)|Here is the number of participants with serious and/or non-serious adverse events assessed by the Common Terminology Criteria for Adverse Events (CTCAE v5.0). A non-serious adverse event is any untoward medical occurrence. A serious adverse event is an adverse event or suspected adverse reaction that results in death, a life-threatening adverse drug experience, hospitalization, disruption of the ability to conduct normal life functions, congenital anomaly/birth defect or important medical events that jeopardize the patient or subject and may require medical or surgical intervention to prevent one of the previous outcomes mentioned.|Date treatment consent signed to date off study, approximately 11 months and 26 days, 7 months and 10 days, 39 months and 7 days, 17 months and 3 days, 6 months and 15 days, and 1 month and 7 days for each group respectively.||||Participants|||Count of Participants
32887601|NCT03049449|Other Pre-specified|Number of Participants With a Dose Limiting Toxicity (DLT)|A DLT is defined as toxicities occurring within 30 days of CAR T-cell infusion. DLT's are Grade 3 or Grade 4 toxicities possibly, probably, or definitely related to either the anti-CD30 CAR T cells or the fludarabine and cyclophosphamide chemotherapy conditioning regimen and lasting more than 7 days. A DLT will only be considered in participants who have received CAR T-cell infusions.|30 days within CAR T-cell infusion||||Participants|||Count of Participants
32984505|NCT03019055|Primary|Number of Adverse Events After CAR 20/19-T Cell Infusion|This measure is the number of adverse events with grade 3 to 5 severity per Common Terminology Criteria for Adverse Events (ver. 4.03) occurring within the first 28 days following infusion.|28 days after infusion|Of the eligible subjects, CAR cell product did not reach the required cell concentration for infusion for 4 subjects in the highest dosage level. These subjects were withdrawn by the investigator. Overall, 22 subjects received the investigational product in this study. The initial concentration for the study was 2.5x10^5 cells/kg. No dose limiting toxicities were experienced at this concentration and the reduced dose of 1.0x10^5 cells/kg was not used.|||Serious Adverse Events|||Number
32989009|NCT02028455|Primary|Number of Participants Who Experienced an Adverse Event Meeting the Dose-Limiting Toxicity Definition|The safety of the T cell infusion at the maximum tolerated dose determined in Phase 1, and further characterized in Phase 2, will be described|Initial CAR T cell infusion through 30 days post infusion|Phase 1 cohorts: Toxicity-evaluable leukemia patients who received CAR T cells; Phase 2 cohort: Toxicity-evaluable leukemia patients treated with the Phase 2 dose, 1 x 10^6 CAR T cells/kg, following lymphodepletion with fludarabine and cyclophosphamide|||Participants|||Count of Participants
32989010|NCT02028455|Primary|Number of Participants With an MRD Negative Complete Remission After Initial CAR T Cell Infusion|The efficacy of the T cell infusion will be estimated based on the number of participants who have an MRD negative bone marrow aspirate following the initial T cell infusion|Initial CAR T cell infusion through Day 63 post infusion assessment (+/- 14 days)|Efficacy-evaluable leukemia patients in Phase 2, plus Phase 1 patients treated at the Phase 2 dose in cohort 1F2, who received SCRIv1 or SCRIv1.5 CAR T cells following prescribed lymphodepletion with fludarabine and cyclophosphamide|||Participants|||Count of Participants
32989011|NCT02028455|Primary|Number of Participants Who Have a Releasable Cell Product Generated|The feasibility of manufacturing and releasing T cell products from pediatric and young adult patients with CD19+ relapsed or refractory leukemia|Up to 28 days per manufacturing attempt|Participants evaluable for manufacturing feasibility.|||Participants|||Count of Participants
32989012|NCT02028455|Secondary|Persistence of Functional CD19 CAR+ T Cells|Participants will be followed for 63 days to determine if the transferred T cells remain detectable in the blood and bone marrow|Initial CAR T Infusion through Day 63 post infusion assessment (+/- 14 days)|Efficacy-evaluable leukemia patients in Phase 2, plus Phase 1 patients treated at the Phase 2 dose in Cohort 1F2, who received SCRIv1 or SCRIv1.5 CAR T cells following prescribed lymphodepletion with fludarabine and cyclophosphamide and who were followed for loss of persistence through the Day 63 assessment window. Excludes one participant with insufficient samples collected to determine Day 63 persistence status.|||Participants|||Count of Participants
