id|nct_id|role|name|affiliation
31515326|NCT03912480|Principal Investigator|Qin Huang, Doctor|Changhai houspital
31515377|NCT03910842|Principal Investigator|Xiangling He|Hunan Provincial People's Hospital
31515405|NCT05571540|Principal Investigator|Li Li, MD|Kunming Hope of Health Hospital
31218718|NCT02935257|Study Chair|Karl Peggs|University College London Hospitals
31247583|NCT05370430|Principal Investigator|Elizabeth Budde, MD|City of Hope Medical Center
31605670|NCT05626322|Study Director|Pfizer CT.gov Call Center|Pfizer
31338887|NCT03682744|Principal Investigator|Steven C Katz, MD|Roger Williams Medical Center
31605708|NCT05396885|Study Chair|Tim Welliver, MD, PhD|Arcellx, Inc.
31339093|NCT05638828|Principal Investigator|Lin Shen, Prof. Dr.|Peking University Cancer Hospital & Institute
31339395|NCT05618041|Study Director|Jia Wei, MD|Shanxi Bethune Hospital
31247750|NCT04381741|Principal Investigator|Wenbin Qian, MD, PhD|2nd Affiliated Hospital, School of Medicine, Zhejiang University, China
31340307|NCT05641428|Principal Investigator|T. (Tom) van Meerten|UMCG / HOVON
31606006|NCT02107963|Principal Investigator|Rosandra N Kaplan, M.D.|National Cancer Institute (NCI)
31341122|NCT02958397|Principal Investigator|Cheng Qian, MD, PhD|Biotherapy Center of Southwest Hospital
31515921|NCT04155749|Study Director|Arcellx, Inc.|Arcellx, Inc.
31427337|NCT02876978|Principal Investigator|Jiang Liyan, MD|Shanghai Chest Hospital,Shanghai Jiaotong University
31342989|NCT05432401|Principal Investigator|Heng Mei, MD|Union Hospital, affiliated with TongJi Medical College, HuaZhong University of Science and Technology
31343385|NCT05576181|Principal Investigator|Yongping Song, Ph.D|The First Affiliated Hospital of Zhengzhou University
31428758|NCT02873390|Study Director|Jiangtao Wang|Ningbo No.5 Hospital (Ningbo Cancer Hospital)
31428759|NCT02873390|Study Chair|Huajun Jin|Shanghai Cell Therapy Research Institute
31428760|NCT02873390|Study Chair|Qijun Qian|Shanghai Cell Therapy Research Institute
31344023|NCT03960060|Principal Investigator|Yuhong Zhou|Shanghai Zhongshan Hospital
31345189|NCT01818323|Principal Investigator|John Maher, MD PhD|King's College London
31429377|NCT02729493|Principal Investigator|Xianping Cheng, PI|associate chief physician
31607263|NCT02203825|Principal Investigator|Sarah Nikiforow, MD; PhD|Dana-Farber Cancer Institute
31429526|NCT02725125|Principal Investigator|Yifu He, PI|Associate chief physician
31429808|NCT02710149|Study Chair|Cheng Qian, MD, PhD|Biotherapy Center of Southwest Hospital
31346717|NCT05020444|Principal Investigator|Matthew J Frigault, MD|Massachusetts General Hospital
31346831|NCT04214392|Principal Investigator|Behnam Badie|City of Hope Medical Center
31429981|NCT03500991|Study Chair|Nicholas Vitanza, MD|Seattle Children's Hospital
