id|nct_id|document_type|has_protocol|has_icf|has_sap|document_date|url
2802966|NCT03289455|Study Protocol|t|f|f|2019-05-10|https://ClinicalTrials.gov/ProvidedDocs/55/NCT03289455/Prot_000.pdf
2802967|NCT03289455|Statistical Analysis Plan|f|f|t|2020-07-30|https://ClinicalTrials.gov/ProvidedDocs/55/NCT03289455/SAP_001.pdf
2812090|NCT02706405|Study Protocol and Statistical Analysis Plan|t|f|t|2021-12-22|https://ClinicalTrials.gov/ProvidedDocs/05/NCT02706405/Prot_SAP_000.pdf
2812096|NCT02761915|Study Protocol|t|f|f|2019-10-18|https://ClinicalTrials.gov/ProvidedDocs/15/NCT02761915/Prot_000.pdf
2776638|NCT05108805|Informed Consent Form|f|t|f|2022-06-23|https://ClinicalTrials.gov/ProvidedDocs/05/NCT05108805/ICF_000.pdf
2794851|NCT04160195|Study Protocol and Statistical Analysis Plan|t|f|t|2020-05-27|https://ClinicalTrials.gov/ProvidedDocs/95/NCT04160195/Prot_SAP_000.pdf
2794852|NCT04160195|Informed Consent Form|f|t|f|2020-06-30|https://ClinicalTrials.gov/ProvidedDocs/95/NCT04160195/ICF_001.pdf
2786391|NCT01593696|Study Protocol and Statistical Analysis Plan|t|f|t|2018-01-12|https://ClinicalTrials.gov/ProvidedDocs/96/NCT01593696/Prot_SAP_000.pdf
2786392|NCT01593696|Informed Consent Form: Standard Consent|f|t|f|2016-05-04|https://ClinicalTrials.gov/ProvidedDocs/96/NCT01593696/ICF_001.pdf
2786393|NCT01593696|Informed Consent Form: Screening Consent|f|t|f|2016-05-04|https://ClinicalTrials.gov/ProvidedDocs/96/NCT01593696/ICF_002.pdf
2778757|NCT04381741|Study Protocol and Statistical Analysis Plan|t|f|t|2020-03-20|https://ClinicalTrials.gov/ProvidedDocs/41/NCT04381741/Prot_SAP_000.pdf
2778758|NCT04381741|Informed Consent Form|f|t|f|2020-03-20|https://ClinicalTrials.gov/ProvidedDocs/41/NCT04381741/ICF_001.pdf
2795881|NCT02664363|Study Protocol and Statistical Analysis Plan|t|f|t|2018-04-02|https://ClinicalTrials.gov/ProvidedDocs/63/NCT02664363/Prot_SAP_000.pdf
2795905|NCT03958656|Study Protocol and Statistical Analysis Plan|t|f|t|2020-04-14|https://ClinicalTrials.gov/ProvidedDocs/56/NCT03958656/Prot_SAP_000.pdf
2795906|NCT03958656|Informed Consent Form|f|t|f|2020-06-16|https://ClinicalTrials.gov/ProvidedDocs/56/NCT03958656/ICF_001.pdf
2787858|NCT03330834|Study Protocol and Statistical Analysis Plan|t|f|t|2017-08-12|https://ClinicalTrials.gov/ProvidedDocs/34/NCT03330834/Prot_SAP_000.pdf
2813361|NCT01865617|Study Protocol|t|f|f|2021-06-01|https://ClinicalTrials.gov/ProvidedDocs/17/NCT01865617/Prot_000.pdf
2805671|NCT04097301|Study Protocol and Statistical Analysis Plan|t|f|t|2020-01-08|https://ClinicalTrials.gov/ProvidedDocs/01/NCT04097301/Prot_SAP_000.pdf
2788697|NCT03761056|Study Protocol|t|f|f|2022-03-25|https://ClinicalTrials.gov/ProvidedDocs/56/NCT03761056/Prot_000.pdf
2788698|NCT03761056|Statistical Analysis Plan: Statistical analysis plan|f|f|t|2019-09-25|https://ClinicalTrials.gov/ProvidedDocs/56/NCT03761056/SAP_001.pdf
2788699|NCT03761056|Statistical Analysis Plan: Translational Statistical analysis plan|f|f|t|2021-02-25|https://ClinicalTrials.gov/ProvidedDocs/56/NCT03761056/SAP_002.pdf
2788853|NCT04205409|Informed Consent Form|f|t|f|2021-10-04|https://ClinicalTrials.gov/ProvidedDocs/09/NCT04205409/ICF_000.pdf
2806044|NCT01192464|Informed Consent Form|f|t|f|2018-03-27|https://ClinicalTrials.gov/ProvidedDocs/64/NCT01192464/ICF_000.pdf
2814228|NCT01318317|Study Protocol and Statistical Analysis Plan|t|f|t|2014-06-10|https://ClinicalTrials.gov/ProvidedDocs/17/NCT01318317/Prot_SAP_000.pdf
2780665|NCT03602612|Study Protocol and Statistical Analysis Plan|t|f|t|2021-04-26|https://ClinicalTrials.gov/ProvidedDocs/12/NCT03602612/Prot_SAP_000.pdf
2780666|NCT03602612|Informed Consent Form|f|t|f|2021-05-25|https://ClinicalTrials.gov/ProvidedDocs/12/NCT03602612/ICF_001.pdf
2814649|NCT02659943|Study Protocol and Statistical Analysis Plan|t|f|t|2020-09-17|https://ClinicalTrials.gov/ProvidedDocs/43/NCT02659943/Prot_SAP_000.pdf
2814650|NCT02659943|Informed Consent Form|f|t|f|2020-09-17|https://ClinicalTrials.gov/ProvidedDocs/43/NCT02659943/ICF_001.pdf
2806580|NCT03318861|Study Protocol|t|f|f|2017-09-11|https://ClinicalTrials.gov/ProvidedDocs/61/NCT03318861/Prot_000.pdf
2806581|NCT03318861|Statistical Analysis Plan|f|f|t|2019-03-26|https://ClinicalTrials.gov/ProvidedDocs/61/NCT03318861/SAP_001.pdf
2814954|NCT02442297|Informed Consent Form|f|t|f|2022-09-14|https://ClinicalTrials.gov/ProvidedDocs/97/NCT02442297/ICF_000.pdf
2815075|NCT03288493|Study Protocol and Statistical Analysis Plan|t|f|t|2019-09-20|https://ClinicalTrials.gov/ProvidedDocs/93/NCT03288493/Prot_SAP_000.pdf
2815088|NCT02935543|Study Protocol and Statistical Analysis Plan|t|f|t|2017-03-15|https://ClinicalTrials.gov/ProvidedDocs/43/NCT02935543/Prot_SAP_000.pdf
