id|nct_id|ctgov_group_code|event_type|classification|subjects_affected|subjects_at_risk|created_at|updated_at
30030352|NCT03624036|EG000|serious|Total, serious adverse events|3|6|2023-09-02 12:42:15.877105|2023-09-02 12:42:15.877105
30030353|NCT03624036|EG000|other|Total, other adverse events|6|6|2023-09-02 12:42:15.877105|2023-09-02 12:42:15.877105
30030354|NCT03624036|EG000|deaths|Total, all-cause mortality|1|7|2023-09-02 12:42:15.877105|2023-09-02 12:42:15.877105
30030355|NCT03624036|EG001|serious|Total, serious adverse events|2|3|2023-09-02 12:42:15.877105|2023-09-02 12:42:15.877105
30030356|NCT03624036|EG001|other|Total, other adverse events|3|3|2023-09-02 12:42:15.877105|2023-09-02 12:42:15.877105
30030357|NCT03624036|EG001|deaths|Total, all-cause mortality|2|3|2023-09-02 12:42:15.877105|2023-09-02 12:42:15.877105
30030358|NCT03624036|EG002|serious|Total, serious adverse events|2|3|2023-09-02 12:42:15.877105|2023-09-02 12:42:15.877105
30030359|NCT03624036|EG002|other|Total, other adverse events|3|3|2023-09-02 12:42:15.877105|2023-09-02 12:42:15.877105
30030360|NCT03624036|EG002|deaths|Total, all-cause mortality|0|3|2023-09-02 12:42:15.877105|2023-09-02 12:42:15.877105
30030361|NCT03624036|EG003|serious|Total, serious adverse events|0|3|2023-09-02 12:42:15.877105|2023-09-02 12:42:15.877105
30030362|NCT03624036|EG003|other|Total, other adverse events|3|3|2023-09-02 12:42:15.877105|2023-09-02 12:42:15.877105
30030363|NCT03624036|EG003|deaths|Total, all-cause mortality|0|3|2023-09-02 12:42:15.877105|2023-09-02 12:42:15.877105
30125194|NCT03338972|EG000|serious|Total, serious adverse events|5|7|2023-09-03 15:12:48.213009|2023-09-03 15:12:48.213009
30125195|NCT03338972|EG000|other|Total, other adverse events|7|7|2023-09-03 15:12:48.213009|2023-09-03 15:12:48.213009
30125196|NCT03338972|EG000|deaths|Total, all-cause mortality|4|7|2023-09-03 15:12:48.213009|2023-09-03 15:12:48.213009
30125197|NCT03338972|EG001|serious|Total, serious adverse events|8|8|2023-09-03 15:12:48.213009|2023-09-03 15:12:48.213009
30125198|NCT03338972|EG001|other|Total, other adverse events|8|8|2023-09-03 15:12:48.213009|2023-09-03 15:12:48.213009
30125199|NCT03338972|EG001|deaths|Total, all-cause mortality|3|8|2023-09-03 15:12:48.213009|2023-09-03 15:12:48.213009
30125200|NCT03338972|EG002|serious|Total, serious adverse events|5|7|2023-09-03 15:12:48.213009|2023-09-03 15:12:48.213009
30125201|NCT03338972|EG002|other|Total, other adverse events|7|7|2023-09-03 15:12:48.213009|2023-09-03 15:12:48.213009
30125202|NCT03338972|EG002|deaths|Total, all-cause mortality|0|7|2023-09-03 15:12:48.213009|2023-09-03 15:12:48.213009
30125203|NCT03338972|EG003|serious|Total, serious adverse events|3|3|2023-09-03 15:12:48.213009|2023-09-03 15:12:48.213009
30125204|NCT03338972|EG003|other|Total, other adverse events|3|3|2023-09-03 15:12:48.213009|2023-09-03 15:12:48.213009
30125205|NCT03338972|EG003|deaths|Total, all-cause mortality|0|3|2023-09-03 15:12:48.213009|2023-09-03 15:12:48.213009
30126181|NCT03287804|EG000|serious|Total, serious adverse events|6|11|2023-09-03 15:47:31.388709|2023-09-03 15:47:31.388709
30126182|NCT03287804|EG000|other|Total, other adverse events|11|11|2023-09-03 15:47:31.388709|2023-09-03 15:47:31.388709
30126183|NCT03287804|EG000|deaths|Total, all-cause mortality|8|11|2023-09-03 15:47:31.388709|2023-09-03 15:47:31.388709
30039016|NCT03483103|EG000|serious|Total, serious adverse events|20|61|2023-09-02 14:42:10.568895|2023-09-02 14:42:10.568895
30039017|NCT03483103|EG000|other|Total, other adverse events|59|61|2023-09-02 14:42:10.568895|2023-09-02 14:42:10.568895
30039018|NCT03483103|EG000|deaths|Total, all-cause mortality|26|74|2023-09-02 14:42:10.568895|2023-09-02 14:42:10.568895
30132766|NCT00924326|EG000|serious|Total, serious adverse events|7|8|2023-09-03 18:01:20.300391|2023-09-03 18:01:20.300391
30132767|NCT00924326|EG000|other|Total, other adverse events|8|8|2023-09-03 18:01:20.300391|2023-09-03 18:01:20.300391
30132768|NCT00924326|EG000|deaths|Total, all-cause mortality|1|8|2023-09-03 18:01:20.300391|2023-09-03 18:01:20.300391
30132769|NCT00924326|EG001|serious|Total, serious adverse events|1|3|2023-09-03 18:01:20.300391|2023-09-03 18:01:20.300391
30132770|NCT00924326|EG001|other|Total, other adverse events|3|3|2023-09-03 18:01:20.300391|2023-09-03 18:01:20.300391
30132771|NCT00924326|EG001|deaths|Total, all-cause mortality|0|3|2023-09-03 18:01:20.300391|2023-09-03 18:01:20.300391
