id|nct_id|responsible_party_type|name|title|organization|affiliation|old_name_title
31028598|NCT03614858|Sponsor|||||
31028637|NCT05064787|Sponsor|||||
31117829|NCT03287804|Sponsor|||||
30824141|NCT03029338|Principal Investigator|Zou Dehui|Dr.||Institute of Hematology & Blood Diseases Hospital|
30849825|NCT05287165|Sponsor|||||
31207967|NCT04473937|Principal Investigator|Chirayu G. Patel|Principal Investigator||Massachusetts General Hospital|
31208161|NCT04923919|Sponsor|||||
31028970|NCT04712864|Sponsor|||||
30850397|NCT04318327|Sponsor|||||
30850471|NCT03241940|Sponsor-Investigator|Crystal Mackall, MD|Professor of Pediatrics||Stanford University|
30850472|NCT03233854|Sponsor-Investigator|Crystal Mackall, MD|Professor of Pediatrics||Stanford University|
30850534|NCT00085930|Principal Investigator|Andras Heczey|MD||Baylor College of Medicine|
30850649|NCT04766840|Sponsor|||||
31209784|NCT01953900|Principal Investigator|Sarah Whittle|Assistant Professor||Baylor College of Medicine|
31209816|NCT03528421|Sponsor|||||
31210027|NCT03927261|Sponsor|||||
31118744|NCT03767751|Principal Investigator|Han weidong|Director of Molecular & Immunological Department,Biotherapeutic Department||Chinese PLA General Hospital|
31119087|NCT03751293|Sponsor|||||
30852362|NCT03086954|Sponsor|||||
30852800|NCT03084380|Principal Investigator|Qingzhu Jia, M.D.|Secretary of research||Xinqiao Hospital of Chongqing|
31119565|NCT04077866|Sponsor|||||
31210471|NCT04581473|Sponsor|||||
30854993|NCT05370430|Sponsor|||||
30855148|NCT04381741|Sponsor|||||
31120062|NCT05268172|Sponsor|||||
30857025|NCT02980315|Sponsor|||||
30942959|NCT03765177|Sponsor|||||
30857324|NCT03030001|Sponsor|||||
30857447|NCT05583201|Sponsor-Investigator|jianming xu|Leading Site Principal Investigator||The Affiliated Hospital of the Chinese Academy of Military Medical Sciences|
30943242|NCT03682744|Sponsor|||||
30943368|NCT05638828|Sponsor-Investigator|Shen Lin|Professor||Peking University|
30943543|NCT05618041|Sponsor|||||
30857884|NCT05241392|Principal Investigator|Yang Zhang|Clinical Professor||Beijing Tiantan Hospital|
30944092|NCT05641428|Sponsor|||||
30859378|NCT05509530|Principal Investigator|Kai Lin Xu，MD|Principal Investigator||Xuzhou Medical University|
30860111|NCT04544592|Sponsor|||||
30944795|NCT02958397|Principal Investigator|Shiqi Li|Principal Investigator of Biotherapy Center||Southwest Hospital, China|
30861137|NCT04394650|Sponsor|||||
30861154|NCT03081910|Principal Investigator|Rayne Rouce|Assistant Professor||Baylor College of Medicine|
31211312|NCT03497533|Sponsor|||||
31121503|NCT02186860|Sponsor|||||
30861721|NCT04605666|Principal Investigator|Qifa Liu|Professor||Nanfang Hospital, Southern Medical University|
30861724|NCT04531046|Sponsor|||||
30945810|NCT05432401|Sponsor|||||
30946087|NCT05576181|Sponsor|||||
30946095|NCT05640713|Sponsor|||||
30863061|NCT05621096|Principal Investigator|Christopher Dangelo|Assistant Professor, Division of Hematology/Oncology, Department of Internal Medicine||University of Nebraska|
31122110|NCT02259556|Principal Investigator|Han weidong|Director||Chinese PLA General Hospital|
30863869|NCT05070156|Principal Investigator|Qing Xu|Principle Investigator||Tongji University|
