id|nct_id|pi_employee|agreement|restriction_type|other_details|restrictive_agreement
4159835|NCT01865617|Yes||||
4160318|NCT01318317|Yes||||
4124644|NCT03019055|Yes||||
4136137|NCT01218867|No||||
4160724|NCT02659943|No||||
4125264|NCT02028455|No||||
4161016|NCT03288493|No||||
4161023|NCT02935543|Yes||||
4161039|NCT02030847|Yes||||
4125979|NCT02650999|Yes||||
4163280|NCT02348216|No||OTHER|"After conclusion of the study and without prior written approval from Gilead, investigators in this study may communicate, orally present, or publish in scientific journals or other media only after the following conditions have been met:~The results of the study in their entirety have been publicly disclosed by or with the consent of Gilead in an abstract, manuscript, or presentation form; or~The study has been completed at all study sites for at least 2 years"|"After conclusion of the study and without prior written approval from Gilead, investigators in this study may communicate, orally present, or publish in scientific journals or other media only after the following conditions have been met:~The results of the study in their entirety have been publicly disclosed by or with the consent of Gilead in an abstract, manuscript, or presentation form; or~The study has been completed at all study sites for at least 2 years"
4128580|NCT01593696|No||||
4164646|NCT01454596|No||||
4151561|NCT03338972|Yes||||
4164680|NCT02215967|No||||
4151676|NCT03287804|No||GT60||
4152518|NCT00924326|No||||
4138849|NCT03624036|No||OTHER|"After conclusion of the study and without prior written approval from Gilead, investigators in this study may communicate, orally present, or publish in scientific journals or other media only after the following conditions have been met:~The results of the study in their entirety have been publicly disclosed by or with the consent of Gilead in an abstract, manuscript, or presentation form; or~The study has been completed at all study sites for at least 2 years"|"After conclusion of the study and without prior written approval from Gilead, investigators in this study may communicate, orally present, or publish in scientific journals or other media only after the following conditions have been met:~The results of the study in their entirety have been publicly disclosed by or with the consent of Gilead in an abstract, manuscript, or presentation form; or~The study has been completed at all study sites for at least 2 years"
4153120|NCT03289455|No||GT60||
4139996|NCT03483103|No||OTHER|Bristol-Myers Squibb Co. agreements with investigators vary; constant is our right to embargo communications regarding trial results prior to public release for a period ≤60 days from submittal for review. We will not prohibit investigators from publishing, but will prohibit the disclosure of previously undisclosed confidential information other than study results, and request postponement of single-center publications until after disclosure of the clinical trial's primary publication.|Bristol-Myers Squibb Co. agreements with investigators vary; constant is our right to embargo communications regarding trial results prior to public release for a period ≤60 days from submittal for review. We will not prohibit investigators from publishing, but will prohibit the disclosure of previously undisclosed confidential information other than study results, and request postponement of single-center publications until after disclosure of the clinical trial's primary publication.
4121276|NCT03602612|No||||
4131986|NCT03330834|No||||
4132629|NCT03761056|No||OTHER|"After conclusion of the study and without prior written approval from Gilead, investigators in this study may communicate, orally present, or publish in scientific journals or other media only after the following conditions have been met:~The results of the study in their entirety have been publicly disclosed by or with the consent of Gilead in an abstract, manuscript, or presentation form; or~The study has been completed at all study sites for at least 2 years"|"After conclusion of the study and without prior written approval from Gilead, investigators in this study may communicate, orally present, or publish in scientific journals or other media only after the following conditions have been met:~The results of the study in their entirety have been publicly disclosed by or with the consent of Gilead in an abstract, manuscript, or presentation form; or~The study has been completed at all study sites for at least 2 years"
4154693|NCT04097301|No||OTHER|The Company will keep the information related to the trial in the strictest confidence and won't disclose such confidential information to third parties without the written consent of the Sponsor. It warrants that the obligation of confidentiality will be extended to the PI, his collaborators and to any other person who may become aware of confidential data. These obligations will remain in effect until the information is released into the public domain by the by the Sponsor.|The Company will keep the information related to the trial in the strictest confidence and won't disclose such confidential information to third parties without the written consent of the Sponsor. It warrants that the obligation of confidentiality will be extended to the PI, his collaborators and to any other person who may become aware of confidential data. These obligations will remain in effect until the information is released into the public domain by the by the Sponsor.
4142009|NCT04160195|No||||
4155245|NCT03318861|No||OTHER|"After conclusion of the study and without prior written approval from Gilead, investigators in this study may communicate, orally present, or publish in scientific journals or other media only after the following conditions have been met:~The results of the study in their entirety have been publicly disclosed by or with the consent of Gilead in an abstract, manuscript, or presentation form; or~The study has been completed at all study sites for at least 2 years"|"After conclusion of the study and without prior written approval from Gilead, investigators in this study may communicate, orally present, or publish in scientific journals or other media only after the following conditions have been met:~The results of the study in their entirety have been publicly disclosed by or with the consent of Gilead in an abstract, manuscript, or presentation form; or~The study has been completed at all study sites for at least 2 years"
4107192|NCT01460901|No||||
4108945|NCT03049449|No||||
4157235|NCT02601313|No||OTHER|"After conclusion of the study and without prior written approval from Gilead, investigators in this study may communicate, orally present, or publish in scientific journals or other media only after the following conditions have been met:~The results of the study in their entirety have been publicly disclosed by or with the consent of Gilead in an abstract, manuscript, or presentation form; or~The study has been completed at all study sites for at least 2 years"|"After conclusion of the study and without prior written approval from Gilead, investigators in this study may communicate, orally present, or publish in scientific journals or other media only after the following conditions have been met:~The results of the study in their entirety have been publicly disclosed by or with the consent of Gilead in an abstract, manuscript, or presentation form; or~The study has been completed at all study sites for at least 2 years"
4157490|NCT02706392|Yes||||
4157520|NCT02535364|No||OTHER|Investigators have the right to publish and/or present study data after publication of the sponsor's multicenter study publication provided that the investigator shall (i) provide the sponsor a copy of any proposed publication or presentation generally thirty (30) days in advance of the submission; (ii) delete any confidential information of the sponsor; and (iii) delay submission for generally up to ninety (90) days to permit the sponsor to prepare and file intellectual property applications.|Investigators have the right to publish and/or present study data after publication of the sponsor's multicenter study publication provided that the investigator shall (i) provide the sponsor a copy of any proposed publication or presentation generally thirty (30) days in advance of the submission; (ii) delete any confidential information of the sponsor; and (iii) delay submission for generally up to ninety (90) days to permit the sponsor to prepare and file intellectual property applications.
4109652|NCT01583686|No||||
4158831|NCT02706405|Yes||||
4158836|NCT02761915|No||||
4145145|NCT02664363|No||||
4145214|NCT03958656|No||||
