id|nct_id|ctgov_group_code|result_type|title|description
59010238|NCT01583686|BG000|Baseline|Arm A01 Anti-mesothelin CAR PBL 1x10^6 + IL-2|"1/Phase I:~Drug: Fludarabine~Days -5 to Day -1: Fludarabine 25 mg/m^2/day intravenous piggyback (IVPB) daily over 30 minutes for 5 days.~Other Names: •Fludara~Biological/Vaccine: Anti-mesothelin chimeric T cell receptor (CAR) transduced peripheral blood lymphocytes (PBL)~Day 0: Cells will be infused intravenously (IV) on the Patient Care Unit over 20 to 30 minutes.~Drug: Cyclophosphamide Days -7 and -6: Cyclophosphamide 60 mg/kg/day X 2 days intravenous (IV) in 250 ml 5% dextrose in water (D5W) with Mesna 15 mg/kg/day X 2 days over 1 hr.~Other Names: •Cytoxan~Drug: Aldesleukin~Aldesleukin 72,000 IU/kg intravenous (IV) (based on total body weight) over 15 minutes every eight hours (+/- 1 hour) beginning within 24 hours of cell infusion and continuing for up to 5 days (maximum of 15 doses).~Other Names: •Proleukin"
59010239|NCT01583686|BG001|Baseline|Arm A02 Anti-mesothelin CAR PBL 3x10^6 + IL-2|"1/Phase I:~Drug: Fludarabine~Days -5 to Day -1: Fludarabine 25 mg/m^2/day intravenous piggyback (IVPB) daily over 30 minutes for 5 days.~Other Names: •Fludara~Biological/Vaccine: Anti-mesothelin chimeric T cell receptor (CAR) transduced peripheral blood lymphocytes (PBL)~Day 0: Cells will be infused intravenously (IV) on the Patient Care Unit over 20 to 30 minutes.~Drug: Cyclophosphamide~Days -7 and -6: Cyclophosphamide 60 mg/kg/day X 2 days intravenous (IV) in 250 ml 5% dextrose in water (D5W) with Mesna 15 mg/kg/day X 2 days over 1 hr.~Other Names: •Cytoxan~Drug: Aldesleukin Aldesleukin 72,000 IU/kg intravenous (IV) (based on total body weight) over 15 minutes every eight hours (+/- 1 hour) beginning within 24 hours of cell infusion and continuing for up to 5 days (maximum of 15 doses).~Other Names: •Proleukin"
59010240|NCT01583686|BG002|Baseline|Arm A03 Anti-mesothelin CAR PBL 1x10^7 + IL-2|"1/Phase I:~Drug: Fludarabine~Days -5 to Day -1: Fludarabine 25 mg/m^2/day intravenous piggyback (IVPB) daily over 30 minutes for 5 days.~Other Names: •Fludara~Biological/Vaccine: Anti-mesothelin chimeric T cell receptor (CAR) transduced peripheral blood lymphocytes (PBL)~Day 0: Cells will be infused intravenously (IV) on the Patient Care Unit over 20 to 30 minutes.~Drug: Cyclophosphamide~Days -7 and -6: Cyclophosphamide 60 mg/kg/day X 2 days intravenous (IV) in 250 ml 5% dextrose in water (D5W) with Mesna 15 mg/kg/day X 2 days over 1 hr.~Other Names: •Cytoxan~Drug: Aldesleukin Aldesleukin 72,000 IU/kg intravenous (IV) (based on total body weight) over 15 minutes every eight hours (+/- 1 hour) beginning within 24 hours of cell infusion and continuing for up to 5 days (maximum of 15 doses).~Other Names: •Proleukin"
59010241|NCT01583686|BG003|Baseline|Arm A04 Anti-mesothelin CAR PBL 3x10^7 + IL-2|"1/Phase I:~Drug: Fludarabine~Days -5 to Day -1: Fludarabine 25 mg/m^2/day intravenous piggyback (IVPB) daily over 30 minutes for 5 days.~Other Names: •Fludara~Biological/Vaccine: Anti-mesothelin chimeric T cell receptor (CAR) transduced peripheral blood lymphocytes (PBL)~Day 0: Cells will be infused intravenously (IV) on the Patient Care Unit over 20 to 30 minutes.~Drug: Cyclophosphamide~Days -7 and -6: Cyclophosphamide 60 mg/kg/day X 2 days intravenous (IV) in 250 ml 5% dextrose in water (D5W) with Mesna 15 mg/kg/day X 2 days over 1 hr.~Other Names: •Cytoxan~Drug: Aldesleukin Aldesleukin 72,000 IU/kg intravenous (IV) (based on total body weight) over 15 minutes every eight hours (+/- 1 hour) beginning within 24 hours of cell infusion and continuing for up to 5 days (maximum of 15 doses).~Other Names: •Proleukin"
59010242|NCT01583686|BG004|Baseline|Arm A05 Anti-mesothelin CAR PBL 1x10^8 + IL-2|"1/Phase I:~Drug: Fludarabine~Days -5 to Day -1: Fludarabine 25 mg/m^2/day intravenous piggyback (IVPB) daily over 30 minutes for 5 days.~Other Names: •Fludara~Biological/Vaccine: Anti-mesothelin chimeric T cell receptor (CAR) transduced peripheral blood lymphocytes (PBL)~Day 0: Cells will be infused intravenously (IV) on the Patient Care Unit over 20 to 30 minutes.~Drug: Cyclophosphamide~Days -7 and -6: Cyclophosphamide 60 mg/kg/day X 2 days intravenous (IV) in 250 ml 5% dextrose in water (D5W) with Mesna 15 mg/kg/day X 2 days over 1 hr.~Other Names: •Cytoxan~Drug: Aldesleukin Aldesleukin 72,000 IU/kg intravenous (IV) (based on total body weight) over 15 minutes every eight hours (+/- 1 hour) beginning within 24 hours of cell infusion and continuing for up to 5 days (maximum of 15 doses).~Other Names: •Proleukin"
59010243|NCT01583686|BG005|Baseline|Total|Total of all reporting groups
59010244|NCT01583686|FG000|Participant Flow|Arm A01 Anti-mesothelin CAR PBL 1x10^6 + IL-2|"1/Phase I:~Drug: Fludarabine~Days -5 to Day -1: Fludarabine 25 mg/m^2/day intravenous piggyback (IVPB) daily over 30 minutes for 5 days.~Other Names: •Fludara~Biological/Vaccine: Anti-mesothelin chimeric T cell receptor (CAR) transduced peripheral blood lymphocytes (PBL)~Day 0: Cells will be infused intravenously (IV) on the Patient Care Unit over 20 to 30 minutes.~Drug: Cyclophosphamide~Days -7 and -6: Cyclophosphamide 60 mg/kg/day X 2 days intravenous (IV) in 250 ml 5% dextrose in water (D5W) with Mesna 15 mg/kg/day X 2 days over 1 hr.~Other Names: •Cytoxan~Drug: Aldesleukin~Aldesleukin 72,000 IU/kg intravenous (IV) (based on total body weight) over 15 minutes every eight hours (+/- 1 hour) beginning within 24 hours of cell infusion and continuing for up to 5 days (maximum of 15 doses).~Other Names: •Proleukin"
59010245|NCT01583686|FG001|Participant Flow|Arm A02 Anti-mesothelin CAR PBL 3x10^6 + IL-2|"1/Phase I:~Drug: Fludarabine~Days -5 to Day -1: Fludarabine 25 mg/m^2/day intravenous piggyback (IVPB) daily over 30 minutes for 5 days.~Other Names: •Fludara~Biological/Vaccine: Anti-mesothelin chimeric T cell receptor (CAR) transduced peripheral blood lymphocytes (PBL)~Day 0: Cells will be infused intravenously (IV) on the Patient Care Unit over 20 to 30 minutes.~Drug: Cyclophosphamide~Days -7 and -6: Cyclophosphamide 60 mg/kg/day X 2 days intravenous (IV) in 250 ml 5% dextrose in water (D5W) with Mesna 15 mg/kg/day X 2 days over 1 hr.~Other Names: •Cytoxan~Drug: Aldesleukin~Aldesleukin 72,000 IU/kg intravenous (IV) (based on total body weight) over 15 minutes every eight hours (+/- 1 hour) beginning within 24 hours of cell infusion and continuing for up to 5 days (maximum of 15 doses).~Other Names: •Proleukin"
59010246|NCT01583686|FG002|Participant Flow|Arm A03 Anti-mesothelin CAR PBL 1x10^7 + IL-2|"1/Phase I:~Drug: Fludarabine~Days -5 to Day -1: Fludarabine 25 mg/m^2/day intravenous piggyback (IVPB) daily over 30 minutes for 5 days.~Other Names: •Fludara~Biological/Vaccine: Anti-mesothelin chimeric T cell receptor (CAR) transduced peripheral blood lymphocytes (PBL)~Day 0: Cells will be infused intravenously (IV) on the Patient Care Unit over 20 to 30 minutes.~Drug: Cyclophosphamide~Days -7 and -6: Cyclophosphamide 60 mg/kg/day X 2 days intravenous (IV) in 250 ml 5% dextrose in water (D5W) with Mesna 15 mg/kg/day X 2 days over 1 hr.~Other Names: •Cytoxan~Drug: Aldesleukin~Aldesleukin 72,000 IU/kg intravenous (IV) (based on total body weight) over 15 minutes every eight hours (+/- 1 hour) beginning within 24 hours of cell infusion and continuing for up to 5 days (maximum of 15 doses).~Other Names: •Proleukin"
59010247|NCT01583686|FG003|Participant Flow|Arm A04 Anti-mesothelin CAR PBL 3x10^7 + IL-2|"1/Phase I:~Drug: Fludarabine~Days -5 to Day -1: Fludarabine 25 mg/m^2/day intravenous piggyback (IVPB) daily over 30 minutes for 5 days.~Other Names: •Fludara~Biological/Vaccine: Anti-mesothelin chimeric T cell receptor (CAR) transduced peripheral blood lymphocytes (PBL)~Day 0: Cells will be infused intravenously (IV) on the Patient Care Unit over 20 to 30 minutes.~Drug: Cyclophosphamide~Days -7 and -6: Cyclophosphamide 60 mg/kg/day X 2 days intravenous (IV) in 250 ml 5% dextrose in water (D5W) with Mesna 15 mg/kg/day X 2 days over 1 hr.~Other Names: •Cytoxan~Drug: Aldesleukin~Aldesleukin 72,000 IU/kg intravenous (IV) (based on total body weight) over 15 minutes every eight hours (+/- 1 hour) beginning within 24 hours of cell infusion and continuing for up to 5 days (maximum of 15 doses).~Other Names: •Proleukin"
