id|nct_id|agency_class|lead_or_collaborator|name
51910512|NCT05451212|INDUSTRY|lead|Cabaletta Bio
51910663|NCT05077527|NETWORK|lead|AIDS Malignancy Consortium
51910664|NCT05077527|NIH|collaborator|National Cancer Institute (NCI)
51910665|NCT05077527|OTHER|collaborator|Memorial Sloan Kettering Cancer Center
51910666|NCT05077527|INDUSTRY|collaborator|Kite, A Gilead Company
51910896|NCT04340154|OTHER|lead|Beijing Boren Hospital
51911012|NCT03635632|OTHER|lead|Baylor College of Medicine
51911013|NCT03635632|OTHER|collaborator|Center for Cell and Gene Therapy, Baylor College of Medicine
51911014|NCT03635632|OTHER|collaborator|The Methodist Hospital Research Institute
51911015|NCT03635632|OTHER|collaborator|Cancer Prevention Research Institute of Texas
51834071|NCT04700319|INDUSTRY|lead|PersonGen BioTherapeutics (Suzhou) Co., Ltd.
51834072|NCT04700319|OTHER_GOV|collaborator|Anhui Provincial Hospital
51614308|NCT05370430|INDUSTRY|lead|PeproMene Bio, Inc.
51614309|NCT05370430|OTHER|collaborator|City of Hope Medical Center
51614575|NCT04381741|OTHER|lead|Second Affiliated Hospital, School of Medicine, Zhejiang University
51761935|NCT03765177|OTHER|lead|Ottawa Hospital Research Institute
51762623|NCT03682744|INDUSTRY|lead|Sorrento Therapeutics, Inc.
51762956|NCT05638828|OTHER|lead|Shen Lin
51617819|NCT02980315|OTHER|lead|The Second Hospital of Nanjing Medical University
51618303|NCT03030001|INDUSTRY|lead|Ningbo Cancer Hospital
51618464|NCT05583201|OTHER|lead|jianming xu
51618465|NCT05583201|OTHER|collaborator|KAEDI
51763439|NCT05618041|INDUSTRY|lead|Hebei Senlang Biotechnology Inc., Ltd.
51619192|NCT05241392|OTHER|lead|Beijing Tiantan Hospital
52060407|NCT05103631|OTHER|lead|Baylor College of Medicine
52060408|NCT05103631|OTHER|collaborator|Center for Cell and Gene Therapy, Baylor College of Medicine
52060409|NCT05103631|OTHER|collaborator|The Methodist Hospital Research Institute
52060410|NCT05094206|OTHER|lead|Medical College of Wisconsin
52060411|NCT05094206|INDUSTRY|collaborator|Miltenyi Biomedicine GmbH
51764701|NCT05641428|OTHER|lead|University Medical Center Groningen
51764702|NCT05641428|OTHER|collaborator|Stichting Hemato-Oncologie voor Volwassenen Nederland
51621589|NCT05509530|OTHER|lead|Xuzhou Medical University
52060510|NCT04633148|INDUSTRY|lead|AvenCell Europe GmbH
52060511|NCT04633148|UNKNOWN|collaborator|PHARMALOG Institut für klinische Forschung GmbH
52060542|NCT04464200|OTHER|lead|Memorial Sloan Kettering Cancer Center
52060543|NCT04464200|INDUSTRY|collaborator|Takeda
52060546|NCT04442022|INDUSTRY|lead|Karyopharm Therapeutics Inc
51622734|NCT04544592|OTHER|lead|University of Colorado, Denver
51622735|NCT04544592|NIH|collaborator|National Cancer Institute (NCI)
52060578|NCT04196491|INDUSTRY|lead|Celgene
51765963|NCT02958397|OTHER|lead|Southwest Hospital, China
51624829|NCT04394650|INDUSTRY|lead|Juno Therapeutics, a Subsidiary of Celgene
51624859|NCT03081910|OTHER|lead|Baylor College of Medicine
51624860|NCT03081910|OTHER|collaborator|Center for Cell and Gene Therapy, Baylor College of Medicine
51624861|NCT03081910|OTHER|collaborator|The Methodist Hospital Research Institute
51625941|NCT04605666|OTHER|lead|Nanfang Hospital, Southern Medical University
51625946|NCT04531046|OTHER|lead|The Lymphoma Academic Research Organisation
52060679|NCT03448393|NIH|lead|National Cancer Institute (NCI)
51628411|NCT05621096|OTHER|lead|University of Nebraska
51628412|NCT05621096|INDUSTRY|collaborator|Bristol-Myers Squibb
51629701|NCT05070156|OTHER|lead|Tongji University
51629702|NCT05070156|INDUSTRY|collaborator|Shanghai Pharmaceuticals Holding Co., Ltd
51629719|NCT05013372|OTHER|lead|Peking University People's Hospital
51629729|NCT04214886|OTHER|lead|Loyola University
51629730|NCT04214886|UNKNOWN|collaborator|Leukemia Research Foundation
51629760|NCT05621486|OTHER|lead|Shanghai East Hospital
51629761|NCT05621486|INDUSTRY|collaborator|Bio4T2 LLC
52210421|NCT01953900|OTHER|lead|Baylor College of Medicine
52210422|NCT01953900|NIH|collaborator|National Cancer Institute (NCI)
52210423|NCT01953900|OTHER|collaborator|Center for Cell and Gene Therapy, Baylor College of Medicine
52210424|NCT01953900|OTHER|collaborator|The Methodist Hospital Research Institute
51768744|NCT05432401|INDUSTRY|lead|PersonGen BioTherapeutics (Suzhou) Co., Ltd.
51632930|NCT05431608|OTHER|lead|Memorial Sloan Kettering Cancer Center
51632952|NCT05397496|INDUSTRY|lead|Novartis Pharmaceuticals
52210481|NCT03528421|INDUSTRY|lead|Beijing Immunochina Medical Science & Technology Co., Ltd.
52210482|NCT03528421|OTHER|collaborator|Peking University Cancer Hospital & Institute
51769435|NCT05576181|INDUSTRY|lead|Fundamenta Therapeutics, Ltd.
51769436|NCT05576181|OTHER|collaborator|The First Affiliated Hospital of Zhengzhou University
51769454|NCT05640713|OTHER_GOV|lead|Henan Cancer Hospital
51769455|NCT05640713|INDUSTRY|collaborator|Fundamenta Therapeutics, Ltd.
51634906|NCT02663297|OTHER|lead|UNC Lineberger Comprehensive Cancer Center
51634907|NCT02663297|NIH|collaborator|National Heart, Lung, and Blood Institute (NHLBI)
51634940|NCT02159495|OTHER|lead|City of Hope Medical Center
51634941|NCT02159495|NIH|collaborator|National Cancer Institute (NCI)
51634942|NCT02159495|INDUSTRY|collaborator|Mustang Bio, Inc.
51636098|NCT03013712|OTHER|lead|First Affiliated Hospital of Chengdu Medical College
51770470|NCT03960060|INDUSTRY|lead|Shanghai PerHum Therapeutics Co., Ltd.
51770471|NCT03960060|OTHER|collaborator|Shanghai Zhongshan Hospital
51637102|NCT05544526|OTHER|lead|University College, London
51637442|NCT03602612|NIH|lead|National Cancer Institute (NCI)
51638708|NCT02050347|OTHER|lead|Baylor College of Medicine
51638709|NCT02050347|OTHER|collaborator|Center for Cell and Gene Therapy, Baylor College of Medicine
51638710|NCT02050347|OTHER|collaborator|The Methodist Hospital Research Institute
52061811|NCT03287804|INDUSTRY|lead|Autolus Limited
51638990|NCT03287817|INDUSTRY|lead|Autolus Limited
51639171|NCT05445765|INDUSTRY|lead|iCell Gene Therapeutics
51639172|NCT05445765|UNKNOWN|collaborator|iCar Bio Therapeutics
51640154|NCT05141253|OTHER|lead|Tongji Hospital
51640155|NCT05141253|UNKNOWN|collaborator|Shanghai IASO Biotechnology Co., Ltd
51772292|NCT01818323|OTHER|lead|King's College London
51772293|NCT01818323|OTHER|collaborator|Guy's and St Thomas' NHS Foundation Trust
51641500|NCT03029273|OTHER|lead|Guangzhou Institute of Respiratory Disease
51641501|NCT03029273|UNKNOWN|collaborator|Xiangxue Life Science Research Center
51641502|NCT03029273|INDUSTRY|collaborator|Guangdong Xiangxue Precision Medical Technology Co., Ltd.
51641503|NCT03029273|OTHER|collaborator|Xiangxue Pharmaceutical
52210829|NCT03927261|INDUSTRY|lead|Precigen, Inc
51642080|NCT04499573|OTHER|lead|Federal Research Institute of Pediatric Hematology, Oncology and Immunology
51642796|NCT04351022|OTHER|lead|The First Affiliated Hospital of Soochow University
51642932|NCT04835519|OTHER|lead|Beijing Boren Hospital
51644572|NCT02959151|INDUSTRY|lead|Shanghai GeneChem Co., Ltd.
51644573|NCT02959151|OTHER|collaborator|Shanghai Cancer Hospital, China
51644728|NCT05362331|OTHER|lead|University of California, San Francisco
51774897|NCT05020444|OTHER|lead|Marcela V. Maus, M.D.,Ph.D.
51775101|NCT04214392|OTHER|lead|City of Hope Medical Center
51775102|NCT04214392|NIH|collaborator|National Cancer Institute (NCI)
52211540|NCT04581473|INDUSTRY|lead|CARsgen Therapeutics Co., Ltd.
52211541|NCT04581473|OTHER|collaborator|Peking University Cancer Hospital & Institute
52211542|NCT04581473|OTHER|collaborator|Fudan University
51645524|NCT04827745|OTHER|lead|University of Maryland, Baltimore
51645700|NCT02445222|INDUSTRY|lead|Novartis Pharmaceuticals
51645701|NCT02445222|OTHER|collaborator|University of Pennsylvania
51645767|NCT02976857|INDUSTRY|lead|Cellular Biomedicine Group Ltd.
51645768|NCT02976857|OTHER|collaborator|The First Affiliated Hospital with Nanjing Medical University
51645908|NCT04003649|OTHER|lead|City of Hope Medical Center
51645909|NCT04003649|NIH|collaborator|National Cancer Institute (NCI)
51646041|NCT02975687|OTHER|lead|Institute of Hematology & Blood Diseases Hospital
51646042|NCT02975687|UNKNOWN|collaborator|Union Stem cell & gene engineering Co.LTD
51646043|NCT02975687|INDUSTRY|collaborator|Juventas Cell Therapy Ltd.
52063161|NCT03767751|OTHER|lead|Chinese PLA General Hospital
51646824|NCT03430011|INDUSTRY|lead|Juno Therapeutics, a Subsidiary of Celgene
51777634|NCT05432882|OTHER|lead|Shenzhen Geno-Immune Medical Institute
51777684|NCT02958384|OTHER|lead|Southwest Hospital, China
51648785|NCT04740203|OTHER|lead|Zhejiang University
51648786|NCT04740203|INDUSTRY|collaborator|Yake Biotechnology Ltd.
51648937|NCT00586391|OTHER|lead|Baylor College of Medicine
51648938|NCT00586391|OTHER|collaborator|The Methodist Hospital Research Institute
51648939|NCT00586391|OTHER|collaborator|Center for Cell and Gene Therapy, Baylor College of Medicine
51649152|NCT05445011|OTHER|lead|Wuhan Union Hospital, China
51649153|NCT05445011|INDUSTRY|collaborator|PersonGen BioTherapeutics (Suzhou) Co., Ltd.
52212892|NCT03497533|INDUSTRY|lead|Timmune Biotech Inc.
52212893|NCT03497533|OTHER|collaborator|Hunan Provincial People's Hospital
51649833|NCT05326243|INDUSTRY|lead|Pell Bio-Med Technology Co., Ltd.
51779384|NCT04727008|OTHER|lead|Sichuan University
51911589|NCT04283006|OTHER|lead|He Huang
