nct_id|nlm_download_date_description|study_first_submitted_date|results_first_submitted_date|disposition_first_submitted_date|last_update_submitted_date|study_first_submitted_qc_date|study_first_posted_date|study_first_posted_date_type|results_first_submitted_qc_date|results_first_posted_date|results_first_posted_date_type|disposition_first_submitted_qc_date|disposition_first_posted_date|disposition_first_posted_date_type|last_update_submitted_qc_date|last_update_posted_date|last_update_posted_date_type|start_month_year|start_date_type|start_date|verification_month_year|verification_date|completion_month_year|completion_date_type|completion_date|primary_completion_month_year|primary_completion_date_type|primary_completion_date|target_duration|study_type|acronym|baseline_population|brief_title|official_title|overall_status|last_known_status|phase|enrollment|enrollment_type|source|limitations_and_caveats|number_of_arms|number_of_groups|why_stopped|has_expanded_access|expanded_access_type_individual|expanded_access_type_intermediate|expanded_access_type_treatment|has_dmc|is_fda_regulated_drug|is_fda_regulated_device|is_unapproved_device|is_ppsd|is_us_export|biospec_retention|biospec_description|ipd_time_frame|ipd_access_criteria|ipd_url|plan_to_share_ipd|plan_to_share_ipd_description|created_at|updated_at|source_class|delayed_posting|expanded_access_nctid|expanded_access_status_for_nctid|fdaaa801_violation|baseline_type_units_analyzed
NCT05665062||2022-12-08|||2023-02-08|2022-12-16|2022-12-27|Actual|||||||2023-02-08|2023-02-10|Actual|February 2023|Anticipated|2023-02-28|January 2023|2023-01-31|November 2026|Anticipated|2026-11-30|June 2024|Anticipated|2024-06-30||Interventional|||Autologous CD19 CAR-T Cell Therapy (SYNCAR-001) + Orthogonal IL-2 (STK-009) in Subjects With CD19+ Hematologic Malignancies|A Phase 1 Study to Evaluate the Safety and Tolerability of a Combination Autologous CD19 CAR T Cell Therapy (SYNCAR-001 + STK-009) in Subjects With Relapsed or Refractory CD19+ Hematologic Malignancies|Recruiting||Phase 1|36|Anticipated|Synthekine||1|||f||||f|t|f|||||||||No||2023-09-01 05:49:41.473704|2023-09-01 05:49:41.473704|INDUSTRY|||||
NCT05322330||2022-03-21|||2023-02-07|2022-04-03|2022-04-11|Actual|||||||2023-02-07|2023-02-09|Actual|February 10, 2022|Actual|2022-02-10|March 2022|2022-03-31|February 10, 2024|Anticipated|2024-02-10|February 10, 2024|Anticipated|2024-02-10||Interventional|||Clinical Study of XPO-1 Inhibitors Plus CAR-T Cells in Relapsed Refractory B-cell Non-Hodgkin's Lymphoma|Clinical Study of the Efficacy and Safety of XPO-1 Inhibitors in Combination With CAR-T Cells in Relapsed Refractory B-cell Non-Hodgkin's Lymphoma|Recruiting||Phase 2|20|Anticipated|The First Affiliated Hospital of Soochow University||1|||f||||f|f|f|||||||||||2023-09-01 05:50:08.068044|2023-09-01 05:50:08.068044|OTHER|||||
NCT05212584||2022-01-16|||2022-06-30|2022-01-16|2022-01-28|Actual|||||||2022-06-30|2022-07-06|Actual|July 1, 2022|Actual|2022-07-01|January 2022|2022-01-31|June 30, 2024|Anticipated|2024-06-30|June 30, 2024|Anticipated|2024-06-30||Interventional|||CD7 CAR-T Cell Treatment of Relapsed/Refractory CD7+ T -Acute Lymphoblastic Leukemia/ Lymphoma|CD7 CAR-T Cell Treatment of Relapsed/Refractory CD7+ T -Acute Lymphoblastic Leukemia/ Lymphoma|Recruiting||Phase 1|24|Anticipated|iCell Gene Therapeutics||1|||f|||||f|f|||||||||||2023-09-01 05:59:41.845638|2023-09-01 05:59:41.845638|INDUSTRY|||||
NCT03208556||2017-06-27|||2017-09-12|2017-07-03|2017-07-05|Actual|||||||2017-09-12|2017-09-14|Actual|June 21, 2017|Actual|2017-06-21|July 2017|2017-07-31|June 1, 2020|Anticipated|2020-06-01|June 1, 2019|Anticipated|2019-06-01||Interventional|||Safety and Efficacy of iPD1 CD19 eCAR T Cells in Relapsed or Refractory B-cell Lymphoma|Pilot Study of Autologous Anti-CD19 4-1BB CAR T Cells With Cell-intrinsic PD1 Inhibition in Relapsed or Refractory B-cell Lymphoma|Unknown status|Recruiting|Phase 1|20|Anticipated|Peking University||1|||f||||t|f|f|||||||||||2023-09-04 09:12:53.49732|2023-09-04 09:12:53.49732|OTHER|||||
NCT05170568||2021-12-24|||2022-10-31|2021-12-24|2021-12-28|Actual|||||||2022-10-31|2022-11-01|Actual|December 1, 2021|Actual|2021-12-01|October 2022|2022-10-31|December 1, 2024|Anticipated|2024-12-01|December 1, 2022|Anticipated|2022-12-01||Interventional|||PA3-17 Injection Treatment of Adult Patients With CD7-positive Relapsed/Refractory Lymphoid Hematologic Malignancies|A Phase I Open-label, Dose-escalation Trial of PA3-17 Injection in Adult Patients With CD7-positive Relapsed/Refractory Lymphoid Hematologic Malignancies|Recruiting||Phase 1|22|Anticipated|PersonGen BioTherapeutics (Suzhou) Co., Ltd.||1|||f|||||f|f|||||||||Undecided||2023-09-03 11:18:45.836795|2023-09-03 11:18:45.836795|INDUSTRY|||||
NCT02744287||2016-04-11|||2023-04-18|2016-04-15|2016-04-20|Estimate|||||||2023-04-18|2023-04-20|Actual|November 2016|Actual|2016-11-30|April 2023|2023-04-30|February 2026|Anticipated|2026-02-28|October 2025|Anticipated|2025-10-31||Interventional|||Safety and Activity Study of PSCA-Targeted CAR-T Cells (BPX-601) in Subjects With Selected Advanced Solid Tumors|A Phase 1/2 Feasibility, Safety, and Activity Study of PSCA-Specific Chimeric Antigen Receptor Engineered T Cells (BPX-601) in Subjects With Previously Treated Advanced Solid Tumors|Suspended||Phase 1/Phase 2|151|Anticipated|Bellicum Pharmaceuticals||2||Due to a Dose Limiting Toxicity.|f||||f|t|f|||||||||No||2023-08-31 13:01:10.917031|2023-08-31 13:01:10.917031|INDUSTRY|||||
NCT05341492||2022-04-18|||2023-02-26|2022-04-18|2022-04-22|Actual|||||||2023-02-26|2023-02-28|Actual|May 1, 2022|Actual|2022-05-01|February 2023|2023-02-28|May 1, 2025|Anticipated|2025-05-01|May 1, 2025|Anticipated|2025-05-01||Interventional|||EGFR/B7H3 CAR-T on Lung Cancer and Triple Negative Breast Cancer|A Single-arm, Open, Exploratory Clinical Study Evaluating the Safety and Efficacy of EGFR/B7H3 CAR-T in Patients With EGFR/ B7H3-positive Advanced Solid Tumors (Lung and Triple-negative Breast Cancer)|Recruiting||Early Phase 1|30|Anticipated|Second Affiliated Hospital of Guangzhou Medical University||1|||f|||||f|f|||||||||No||2023-08-31 08:01:02.025179|2023-08-31 08:01:02.025179|OTHER|||||
NCT03330834||2017-10-01|2020-04-15||2020-07-09|2017-10-30|2017-11-06|Actual|2020-07-09|2020-07-13|Actual||||2020-07-09|2020-07-13|Actual|November 20, 2017|Actual|2017-11-20|July 2020|2020-07-31|April 14, 2020|Actual|2020-04-14|April 14, 2020|Actual|2020-04-14||Interventional|||CAR-T Cell Immunotherapy for Advanced Lung Cancer|Safety and Toxicity of CAR-T Cell Immunotherapy in Patients With Advanced Lung Cancer After Standard Treatment Failure: A Single-Arm and Single-Center Phase I Clinical Study|Terminated||Phase 1|1|Actual|Sun Yat-sen University||1||Serious adverse events|f||||t|f|f|||||||||Undecided||2023-09-01 06:09:57.453436|2023-09-01 06:09:57.453436|OTHER|||||
NCT03310008||2017-08-02|||2020-06-15|2017-10-10|2017-10-16|Actual|||||||2020-06-15|2020-06-16|Actual|August 7, 2017|Actual|2017-08-07|June 2020|2020-06-30|May 2021|Anticipated|2021-05-31|May 2021|Anticipated|2021-05-31||Interventional|SHRINK||Dose Escalation and Dose Expansion Phase I Study to Assess the Safety and Clinical Activity of Multiple Doses of NKR-2 Administered Concurrently With FOLFOX in Colorectal Cancer With Potentially Resectable Liver Metastases|An Open-label, Phase I Study to Assess the Safety and Clinical Activity of Multiple Doses of NKR-2, Administered Concurrently With the Neoadjuvant FOLFOX Treatment in Patients With Potentially Resectable Liver Metastases From Colorectal Cancer|Unknown status|Active, not recruiting|Phase 1|36|Anticipated|Celyad Oncology SA||4|||f||||t|f|f|||||||||No||2023-08-31 08:01:09.735849|2023-08-31 08:01:09.735849|INDUSTRY|||||
NCT02303821||2014-11-20|||2023-03-07|2014-11-25|2014-12-01|Estimate|||||||2023-03-07|2023-03-09|Actual|February 16, 2015|Actual|2015-02-16|February 2023|2023-02-28|February 22, 2026|Anticipated|2026-02-22|February 22, 2024|Anticipated|2024-02-22||Interventional|||Study of Carfilzomib in Combination With Induction Chemotherapy in Children With Relapsed or Refractory Acute Lymphoblastic Leukemia|Phase 1b/2 Study of Carfilzomib in Combination With Induction Chemotherapy in Children With Relapsed or Refractory Acute Lymphoblastic Leukemia|Recruiting||Phase 1|118|Anticipated|Amgen||4|||f||||t|||||||||||||2023-09-04 09:14:46.671406|2023-09-04 09:14:46.671406|INDUSTRY|||||
